,Unnamed: 0,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E,True Strain Rate 1W,True Strain Rate 3W
0,0,0.0,-9.4268995e-05,-7.3994497e-06,-8.3021834e-05,-0.5035964,-0.41123378,-1.4487327,-1.1830263,-0.0029966878,-0.011525739,0.0,0.0,-0.045602035,-0.037238345,0.0,0.0,-0.045602035,-0.037238345,38.597115,29.936548,0.23780222,8.422763,8.351893,16.774656,-0.011592675152555514,0.0029922066812253225
1,1,7.468000000000058e-06,-9.441698e-05,-7.251462e-06,-8.316981e-05,-0.5035964,-0.41196677,-1.4487327,-1.185135,-0.0031119538,-0.0112952255,-2.2811752e-08,-8.522127e-08,-0.04560203,-0.037304718,-2.2811752e-08,-8.5221274e-08,-0.04560203,-0.037304718,38.718388,30.043362,0.22838536,8.446641,8.375571,16.822212,-0.011359501022235891,0.003107121694038193
2,2,1.4936000000000116e-05,-9.4564966e-05,-7.251462e-06,-8.33178e-05,-0.50432944,-0.4126998,-1.4508414,-1.1872437,-0.0031119538,-0.0112952255,-4.6053948e-08,-1.6958172e-07,-0.04566841,-0.037371095,-4.6053948e-08,-1.6958174e-07,-0.045668405,-0.037371095,38.839855,30.15037,0.22838536,8.461102,8.38991,16.851011,-0.011359501022235891,0.003107121694038193
3,3,2.240599999999912e-05,-9.486093e-05,-7.251462e-06,-8.346583e-05,-0.5057954,-0.41343302,-1.4550588,-1.1893531,-0.003227169,-0.0112952255,-6.97264e-08,-2.5394218e-07,-0.04580116,-0.03743749,-6.97264e-08,-2.539422e-07,-0.045801155,-0.037437487,39.083355,30.257599,0.22838536,8.597371,8.525033,17.122404,-0.011359501022235891,0.0032219728663225532
4,4,2.9872999999999705e-05,-9.500896e-05,-7.251462e-06,-8.361381e-05,-0.5065287,-0.41416603,-1.4571681,-1.1914618,-0.003227203,-0.0112952255,-9.382922e-08,-3.3830264e-07,-0.045867555,-0.03750387,-9.382923e-08,-3.383027e-07,-0.04586755,-0.037503865,39.205425,30.36499,0.22838536,8.612051,8.539589,17.15164,-0.011359501022235891,0.003222006756951118
5,5,3.734299999999871e-05,-9.5156945e-05,-7.251462e-06,-8.37618e-05,-0.5072617,-0.41489905,-1.4592769,-1.1935705,-0.003227203,-0.0112952255,-1.17932174e-07,-4.226631e-07,-0.045933932,-0.037570246,-1.1793218e-07,-4.226632e-07,-0.04593393,-0.03757024,39.327656,30.472569,0.22838536,8.6267,8.554115,17.180817,-0.011359501022235891,0.003222006756951118
6,6,4.481199999999824e-05,-9.545291e-05,-7.251462e-06,-8.390978e-05,-0.50872767,-0.41563204,-1.4634942,-1.1956792,-0.0033424578,-0.0112952255,-1.4246554e-07,-5.0702357e-07,-0.046066683,-0.03763662,-1.4246554e-07,-5.070237e-07,-0.046066675,-0.037636615,39.572674,30.580332,0.22838536,8.763956,8.690216,17.454172,-0.011359501022235891,0.003336884204147119
7,7,5.228100000000124e-05,-9.5600895e-05,-7.251462e-06,-8.405776e-05,-0.5094607,-0.41636506,-1.465603,-1.1977879,-0.0033424578,-0.0112952255,-1.6742929e-07,-5.9138404e-07,-0.04613306,-0.037702996,-1.674293e-07,-5.913842e-07,-0.046133053,-0.03770299,39.695473,30.688293,0.22838536,8.778794,8.704929,17.483723,-0.011359501022235891,0.003336884204147119
8,8,5.974799999999836e-05,-9.5748874e-05,-7.251462e-06,-8.420574e-05,-0.5101937,-0.41709805,-1.4677116,-1.1998966,-0.0033424578,-0.0112952255,-1.9239305e-07,-6.7574445e-07,-0.046199434,-0.03776937,-1.9239306e-07,-6.7574473e-07,-0.046199426,-0.037769362,39.81846,30.796436,0.22838536,8.793634,8.719645,17.513279,-0.011359501022235891,0.003336884204147119
9,9,6.721800000000083e-05,-9.604489e-05,-7.251462e-06,-8.435372e-05,-0.51166,-0.41783103,-1.4719297,-1.2020051,-0.0034577523,-0.0112952255,-2.1778735e-07,-7.601049e-07,-0.046332207,-0.037835743,-2.1778737e-07,-7.601052e-07,-0.046332195,-0.037835736,40.065044,30.904772,0.22838536,8.931885,8.856731,17.788616,-0.011359501022235891,0.0034517880192318443
10,10,7.468600000000089e-05,-9.6192874e-05,-7.251462e-06,-8.4501706e-05,-0.512393,-0.41856405,-1.4740384,-1.204114,-0.0034577523,-0.0112952255,-2.436122e-07,-8.444654e-07,-0.046398584,-0.03790212,-2.4361225e-07,-8.444657e-07,-0.046398573,-0.037902113,40.188602,31.013304,0.22838536,8.946913,8.871633,17.818546,-0.011359501022235891,0.0034517880192318443
