,Unnamed: 0,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E,True Strain Rate 1W,True Strain Rate 3W
0,0,0.0,-0.0004299081,0.00029005844,-0.000103296334,-0.6927203,-0.51165986,-1.9927992,-1.4719294,-0.4802776,0.45180893,0.0,0.0,-0.06272771,-0.046332203,0.0,0.0,-0.06272771,-0.046332203,802.72784,46.343292,365.4164,390.96814,387.6785,778.6466,0.37281031683467003,0.39222963775499436
1,1,7.005999999996904e-06,-0.00043050005,0.00029065044,-0.00010344432,-0.69272,-0.5123929,-1.9927983,-1.4740382,-0.4810844,0.45273107,-3.3676936e-06,3.1686436e-06,-0.06272769,-0.046398576,-3.3676993e-06,3.1686386e-06,-0.06272748,-0.04639842,804.93994,46.476173,366.90958,391.5542,388.25964,779.81384,0.3734452814287073,0.3927745221831471
2,2,1.401299999999675e-05,-0.00043109202,0.0002912424,-0.0001035923,-0.69272,-0.5131259,-1.9927983,-1.4761468,-0.48189124,0.45365316,-6.7410397e-06,6.343748e-06,-0.06272769,-0.046464954,-6.7410624e-06,6.343728e-06,-0.062727265,-0.04646464,807.1552,46.609238,368.40567,392.14032,388.84082,780.98114,0.3740798087024381,0.39331913686647446
3,3,2.1018999999997123e-05,-0.00043168396,0.00029183432,-0.00010374028,-0.6927201,-0.5138589,-1.9927988,-1.4782556,-0.48269805,0.45457515,-1.0120039e-05,9.525312e-06,-0.062727705,-0.046531327,-1.012009e-05,9.525266e-06,-0.06272707,-0.046530858,809.37335,46.7425,369.90466,392.7262,389.42178,782.14795,0.3747138648580146,0.3938634348727044
4,4,2.802599999999697e-05,-0.0004324239,0.00029242632,-0.00010388827,-0.6934529,-0.51459193,-1.9949068,-1.4803643,-0.48362008,0.4554973,-1.3505094e-05,1.2713336e-05,-0.06279405,-0.046597704,-1.3505185e-05,1.2713255e-05,-0.0627932,-0.046597075,812.1504,46.875954,371.40695,393.8675,390.55347,784.42096,0.37534762916918546,0.3944851011871633
5,5,3.503199999999734e-05,-0.0004330159,0.00029301824,-0.00010403629,-0.6934533,-0.5153251,-1.994908,-1.4824736,-0.4844269,0.4564193,-1.6896205e-05,1.590782e-05,-0.0627941,-0.0466641,-1.6896349e-05,1.5907694e-05,-0.06279304,-0.04666331,814.3756,47.00963,372.91202,394.45395,391.13498,785.5889,0.3759808890852225,0.39502877184016144
6,6,4.203699999999824e-05,-0.0004336078,0.00029361024,-0.00010403629,-0.6934529,-0.5153251,-1.9949068,-1.4824736,-0.48534894,0.4573414,-2.0293373e-05,1.9108764e-05,-0.06279405,-0.0466641,-2.0293579e-05,1.9108582e-05,-0.06279278,-0.046663154,816.6036,47.00963,374.42038,395.17355,391.84854,787.0221,0.3766138168550168,0.39564972108300167
7,7,4.904399999999809e-05,-0.0004341998,0.00029420215,-0.00010418428,-0.6934533,-0.51605815,-1.994908,-1.4845823,-0.48615572,0.4582634,-2.3696597e-05,2.231617e-05,-0.0627941,-0.046730477,-2.3696879e-05,2.231592e-05,-0.06279261,-0.04672937,818.8349,47.14346,375.93155,395.75992,392.42996,788.1899,0.3772462757059102,0.3961927321916055
8,8,5.604999999999846e-05,-0.00043493972,0.00029479415,-0.00010448024,-0.694186,-0.5175241,-1.9970156,-1.4887997,-0.48696253,0.4591855,-2.7105474e-05,2.5530033e-05,-0.06286044,-0.046863228,-2.7105842e-05,2.5529707e-05,-0.06285873,-0.046861958,821.628,47.411686,377.44595,396.77036,393.43192,790.2023,0.37787840333680367,0.39673546877452126
9,9,6.305499999999936e-05,-0.00043553163,0.00029538607,-0.00010448024,-0.694186,-0.5175241,-1.9970156,-1.4887997,-0.48788452,0.4601075,-3.0520405e-05,2.8750357e-05,-0.06286044,-0.046863228,-3.052087e-05,2.8749944e-05,-0.062858514,-0.046861798,823.86584,47.411686,378.96323,397.49094,394.14642,791.6373,0.3785100631466658,0.3973553258723984
