Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E,True Strain Rate 1W,True Strain Rate 3W
0.0,-0.00017092733,1.923857e-05,-5.4903907e-05,-0.7513631,-0.27195665,-2.1615012,-0.7823577,-0.1053453,0.02996692,0.0,0.0,-0.06803798,-0.024626419,0.0,0.0,-0.06803798,-0.024626419,190.34058,19.638794,2.411315,168.29047,166.87447,335.16492,0.029526716,0.10015773
7.938566e-06,-0.00017137128,1.953455e-05,-5.4903907e-05,-0.75209606,-0.27195665,-2.16361,-0.7823577,-0.10592157,0.030427953,-8.3857805e-07,2.3972436e-07,-0.06810436,-0.024626419,-8.3857844e-07,2.3972433e-07,-0.0681043,-0.024626398,191.3306,19.638794,2.4860802,169.20572,167.78203,336.98773,0.029974183,0.100678936
1.5877133e-05,-0.00017166724,1.9682537e-05,-5.505189e-05,-0.75282896,-0.27268967,-2.1657183,-0.7844663,-0.10615208,0.030658463,-1.6803584e-06,4.821936e-07,-0.06817072,-0.024692794,-1.6803598e-06,4.821935e-07,-0.06817061,-0.024692753,191.99202,19.744802,2.5238903,169.72333,168.29527,338.01862,0.030197902,0.10088738
2.3815699e-05,-0.00017211123,1.9978517e-05,-5.505189e-05,-0.75356215,-0.27268967,-2.1678276,-0.7844663,-0.10672838,0.031119497,-2.5253412e-06,7.274079e-07,-0.06823712,-0.024692794,-2.5253444e-06,7.274076e-07,-0.06823695,-0.024692733,192.98643,19.744802,2.6003683,170.64128,169.20549,339.84677,0.030645072,0.10140831
3.1754265e-05,-0.0001725552,2.0126505e-05,-5.5199922e-05,-0.7550282,-0.27342293,-2.172045,-0.78657573,-0.10707411,0.031350013,-3.3739839e-06,9.75367e-07,-0.06836987,-0.024759194,-3.3739896e-06,9.753666e-07,-0.06836964,-0.02475911,193.98334,19.851131,2.6390345,171.49318,170.05022,341.5434,0.030868642,0.101720616
3.969283e-05,-0.00017285116,2.0422483e-05,-5.5199922e-05,-0.7550281,-0.27342293,-2.1720448,-0.78657573,-0.107535124,0.03181104,-4.225829e-06,1.2260712e-06,-0.068369865,-0.024759194,-4.2258375e-06,1.2260705e-06,-0.068369575,-0.02475909,194.64934,19.851131,2.717224,172.08098,170.63309,342.71405,0.031315506,0.10213694
4.7631398e-05,-0.00017314713,2.0570473e-05,-5.53479e-05,-0.75576115,-0.2741559,-2.1741533,-0.78868437,-0.107765645,0.032041557,-5.0804183e-06,1.4795203e-06,-0.068436235,-0.024825567,-5.0804315e-06,1.4795191e-06,-0.068435885,-0.02482544,195.31648,19.957706,2.7567468,172.60204,171.14975,343.75177,0.031538926,0.10234508
5.5569963e-05,-0.00017359112,2.0866453e-05,-5.53479e-05,-0.7564943,-0.2741559,-2.1762624,-0.78868437,-0.108341955,0.03250259,-5.9382105e-06,1.7357142e-06,-0.06850262,-0.024825567,-5.9382282e-06,1.7357128e-06,-0.06850221,-0.02482542,196.31944,19.957706,2.836649,173.5251,172.06505,345.59015,0.03198561,0.10286514
6.350853e-05,-0.00017388708,2.101444e-05,-5.5495886e-05,-0.75722724,-0.27488893,-2.1783712,-0.7907931,-0.10857245,0.0327331,-6.7992055e-06,1.994653e-06,-0.068569,-0.024891945,-6.7992287e-06,1.9946513e-06,-0.06856853,-0.024891775,196.98944,20.064571,2.8770275,174.04785,172.5834,346.63126,0.032208767,0.10307313
7.1447095e-05,-0.00017433104,2.131042e-05,-5.5495886e-05,-0.7579602,-0.27488893,-2.1804798,-0.7907931,-0.10914875,0.033194132,-7.663402e-06,2.256337e-06,-0.068635374,-0.024891945,-7.6634315e-06,2.2563345e-06,-0.068634845,-0.024891755,197.99663,20.064571,2.9586413,174.97342,173.50117,348.4746,0.032655153,0.10359282
