,Time,Incident Raw,Transmitted Raw
0,-0.399971,3.1077675e-06,3.09297e-05
1,-0.39995852,3.1077675e-06,3.09297e-05
2,-0.39994603,3.1077675e-06,2.8117915e-05
3,-0.39993352,3.1077675e-06,3.3741497e-05
4,-0.39992103,3.1077675e-06,3.09297e-05
5,-0.3999085,3.1077675e-06,3.3741497e-05
6,-0.39989603,3.1077675e-06,2.8117915e-05
7,-0.3998835,3.1077675e-06,3.3741497e-05
8,-0.39987102,3.1077675e-06,3.09297e-05
9,-0.39985853,3.1077675e-06,3.3741497e-05
10,-0.39984602,3.1077675e-06,3.09297e-05
11,-0.39983353,3.1077675e-06,3.09297e-05
12,-0.399821,3.1077675e-06,3.09297e-05
13,-0.39980853,3.1077675e-06,3.6553287e-05
14,-0.399796,3.1077675e-06,3.3741497e-05
15,-0.39978352,3.1077675e-06,2.8117915e-05
16,-0.39977103,3.1077675e-06,3.09297e-05
17,-0.39975852,3.1077675e-06,3.6553287e-05
18,-0.39974603,3.1077675e-06,3.3741497e-05
19,-0.3997335,3.1077675e-06,3.09297e-05
20,-0.39972103,3.1077675e-06,3.09297e-05
21,-0.3997085,3.1077675e-06,3.3741497e-05
22,-0.39969602,2.95978e-06,2.8117915e-05
23,-0.3996835,2.95978e-06,3.09297e-05
24,-0.39967102,2.95978e-06,2.8117915e-05
25,-0.39965853,2.95978e-06,2.8117915e-05
26,-0.399646,2.95978e-06,3.3741497e-05
27,-0.39963353,2.95978e-06,3.09297e-05
28,-0.399621,2.95978e-06,2.8117915e-05
29,-0.39960852,2.95978e-06,3.09297e-05
30,-0.399596,2.8117925e-06,3.6553287e-05
31,-0.39958352,2.8117925e-06,3.6553287e-05
32,-0.39957103,2.8117925e-06,3.3741497e-05
33,-0.3995585,2.8117925e-06,3.6553287e-05
34,-0.39954603,2.8117925e-06,3.3741497e-05
35,-0.3995335,2.8117925e-06,3.3741497e-05
36,-0.39952102,2.8117925e-06,3.9365077e-05
37,-0.3995085,2.8117925e-06,3.6553287e-05
38,-0.39949602,2.8117925e-06,3.3741497e-05
39,-0.39948353,2.8117925e-06,3.3741497e-05
40,-0.399471,2.8117925e-06,3.3741497e-05
41,-0.39945853,2.8117925e-06,3.3741497e-05
42,-0.399446,2.8117925e-06,3.3741497e-05
43,-0.39943352,2.8117925e-06,2.8117915e-05
44,-0.399421,2.8117925e-06,3.3741497e-05
45,-0.39940852,2.8117925e-06,3.3741497e-05
46,-0.39939603,2.8117925e-06,3.3741497e-05
47,-0.39938352,2.8117925e-06,3.6553287e-05
48,-0.39937103,2.8117925e-06,3.6553287e-05
49,-0.3993585,2.8117925e-06,3.6553287e-05
50,-0.39934602,2.8117925e-06,3.09297e-05
51,-0.3993335,2.8117925e-06,2.8117915e-05
52,-0.39932102,2.8117925e-06,3.3741497e-05
53,-0.39930853,2.95978e-06,3.09297e-05
54,-0.39929602,2.8117925e-06,3.3741497e-05
55,-0.39928353,2.8117925e-06,3.3741497e-05
56,-0.399271,2.8117925e-06,3.09297e-05
57,-0.39925852,2.8117925e-06,3.09297e-05
58,-0.399246,2.8117925e-06,3.09297e-05
59,-0.39923352,2.8117925e-06,3.3741497e-05
60,-0.39922103,2.8117925e-06,3.3741497e-05
61,-0.39920852,2.8117925e-06,2.8117915e-05
62,-0.39919603,2.8117925e-06,3.09297e-05
63,-0.3991835,2.8117925e-06,3.09297e-05
64,-0.39917102,2.8117925e-06,3.3741497e-05
65,-0.3991585,2.8117925e-06,2.8117915e-05
66,-0.39914602,2.8117925e-06,3.3741497e-05
67,-0.39913353,2.8117925e-06,3.3741497e-05
68,-0.39912102,2.8117925e-06,3.6553287e-05
69,-0.39910853,2.8117925e-06,3.6553287e-05
70,-0.399096,2.8117925e-06,4.2176864e-05
71,-0.39908352,2.8117925e-06,3.6553287e-05
72,-0.399071,2.8117925e-06,3.6553287e-05
73,-0.39905852,2.663805e-06,3.09297e-05
74,-0.39904603,2.663805e-06,3.3741497e-05
75,-0.39903352,2.663805e-06,3.09297e-05
76,-0.39902103,2.663805e-06,3.3741497e-05
77,-0.3990085,2.663805e-06,3.3741497e-05
78,-0.39899603,2.663805e-06,3.09297e-05
79,-0.3989835,2.663805e-06,3.09297e-05
80,-0.39897102,2.663805e-06,3.3741497e-05
81,-0.39895853,2.663805e-06,3.3741497e-05
82,-0.39894602,2.663805e-06,3.09297e-05
83,-0.39893353,2.663805e-06,3.3741497e-05
84,-0.398921,2.663805e-06,3.6553287e-05
85,-0.39890853,2.663805e-06,3.3741497e-05
86,-0.398896,2.663805e-06,3.6553287e-05
87,-0.39888352,2.663805e-06,3.3741497e-05
88,-0.39887103,2.663805e-06,3.6553287e-05
89,-0.39885852,2.663805e-06,3.6553287e-05
90,-0.39884603,2.663805e-06,3.6553287e-05
91,-0.3988335,2.663805e-06,3.3741497e-05
92,-0.39882103,2.663805e-06,3.3741497e-05
93,-0.3988085,2.5158126e-06,3.3741497e-05
94,-0.39879602,2.5158126e-06,3.6553287e-05
95,-0.39878353,2.5158126e-06,3.3741497e-05
96,-0.39877102,2.5158126e-06,3.09297e-05
97,-0.39875853,2.5158126e-06,3.6553287e-05
98,-0.398746,2.5158126e-06,3.3741497e-05
99,-0.39873353,2.5158126e-06,3.09297e-05
100,-0.398721,2.5158126e-06,3.09297e-05
101,-0.39870852,2.5158126e-06,3.3741497e-05
102,-0.398696,2.5158126e-06,3.09297e-05
103,-0.39868352,2.5158126e-06,3.3741497e-05
104,-0.39867103,2.5158126e-06,3.6553287e-05
105,-0.3986585,2.5158126e-06,3.6553287e-05
106,-0.39864603,2.5158126e-06,3.09297e-05
107,-0.3986335,2.5158126e-06,3.3741497e-05
108,-0.39862102,2.5158126e-06,3.3741497e-05
109,-0.3986085,2.5158126e-06,3.9365077e-05
110,-0.39859602,2.5158126e-06,3.9365077e-05
111,-0.39858353,2.5158126e-06,3.6553287e-05
112,-0.398571,2.5158126e-06,3.3741497e-05
113,-0.39855853,2.5158126e-06,3.3741497e-05
114,-0.398546,2.5158126e-06,3.3741497e-05
115,-0.39853352,2.5158126e-06,3.6553287e-05
116,-0.398521,2.367825e-06,2.8117915e-05
117,-0.39850852,2.367825e-06,3.3741497e-05
