,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,True Strain Rate 1W,True Strain Rate 3W
0,0,0,0,0,0.0,-0.0004615777,0.00031773243,-9.486093e-05,-0.7125118,-0.46987662,-2.0497348,-1.3517286,-0.5330655,0.49491528,0.0,0.0,-0.06451989,-0.04254861,0.0,0.0,-0.06451989,-0.04254861,0.4020695363405862,0.42726932565663145
1,1,1,1,1,8.940999999998422e-06,-0.00046290964,0.00031950828,-9.500896e-05,-0.7103129,-0.47060984,-2.043409,-1.3538378,-0.53537065,0.49768147,-4.7764074e-06,4.43737e-06,-0.06432077,-0.042615008,-4.776419e-06,4.43736e-06,-0.06432047,-0.042614803,0.4039182256354755,0.42877181768903233
2,2,2,2,2,1.7881999999996845e-05,-0.0004643895,0.00032113618,-9.5156945e-05,-0.7095797,-0.4713429,-2.0413,-1.3559467,-0.53767574,0.50021714,-9.573425e-06,8.898442e-06,-0.06425438,-0.042681385,-9.57347e-06,8.8984025e-06,-0.06425376,-0.042680975,0.40560985763144664,0.43027201660553427
3,3,3,3,3,2.682300000000221e-05,-0.00046572144,0.00032291206,-9.5304924e-05,-0.70738065,-0.47207585,-2.0349739,-1.3580552,-0.53998095,0.50298333,-1.4391052e-05,1.3383215e-05,-0.06405526,-0.04274776,-1.4391156e-05,1.3383126e-05,-0.06405433,-0.042747144,0.40745201955829885,0.43177004621915693
4,4,4,4,4,3.5763000000001155e-05,-0.0004672013,0.0003246879,-9.545291e-05,-0.70591456,-0.47280887,-2.0307562,-1.3601639,-0.5424013,0.50574946,-1.9229805e-05,1.7892722e-05,-0.063922495,-0.042814136,-1.922999e-05,1.7892562e-05,-0.063921265,-0.042813312,0.40929075431635936,0.4333404877161125
5,5,5,5,5,4.470799999999747e-05,-0.00046868122,0.00032631576,-9.5600895e-05,-0.7051818,-0.47354192,-2.0286481,-1.3622727,-0.54470646,0.5082851,-2.4089684e-05,2.242593e-05,-0.06385614,-0.042880513,-2.4089974e-05,2.2425676e-05,-0.063854605,-0.04287948,0.4109733100719234,0.43483389877114403
6,6,6,6,6,5.364800000000336e-05,-0.0004701611,0.00032809164,-9.5748874e-05,-0.70371556,-0.47427487,-2.02443,-1.3643813,-0.5471269,0.5110513,-2.8970688e-05,2.6982838e-05,-0.06372336,-0.042946886,-2.8971108e-05,2.6982474e-05,-0.063721515,-0.042945642,0.41280563374009027,0.4363995979616452
7,7,7,7,7,6.258800000000231e-05,-0.000471493,0.0003297195,-9.589686e-05,-0.7022496,-0.47500792,-2.020213,-1.3664901,-0.54931676,0.51358694,-3.3872304e-05,3.156345e-05,-0.063590616,-0.043013263,-3.3872875e-05,3.156295e-05,-0.06358846,-0.043011807,0.41448229084273375,0.43781403375027594
8,8,8,8,8,7.152800000000126e-05,-0.0004729729,0.0003314954,-9.604489e-05,-0.70078343,-0.47574115,-2.0159953,-1.3685994,-0.5517371,0.51635313,-3.8794526e-05,3.616776e-05,-0.06345786,-0.043079663,-3.879528e-05,3.616711e-05,-0.0634554,-0.04307799,0.41630819545115266,0.43937501308229016
9,9,9,9,9,8.046999999999915e-05,-0.0004744528,0.00033312326,-9.6192874e-05,-0.70005053,-0.47647417,-2.0138867,-1.3707081,-0.55404234,0.5188888,-4.3737877e-05,4.0795774e-05,-0.06339149,-0.04314604,-4.3738833e-05,4.0794945e-05,-0.06338872,-0.04314415,0.41797901487732547,0.440859497391541
