,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W
0,0.008036466,-0.00010004057,0.00010004057,-0.00010004057,0.0,-0.49553302,0.0,-1.4255362,-0.08007191,0.16014382,0.0,0.0,0.0,-0.04756076,0.0,0.0,0.0,-0.04756076
1,0.0080485325,-0.00010033654,0.000100188554,-0.00010033654,-0.00073302066,-0.49699906,-0.0021087343,-1.4297537,-0.08019036,0.1603807,-9.669237e-07,1.9338472e-06,-7.035458e-05,-0.047701467,-9.669242e-07,1.9338454e-06,-7.0354516e-05,-0.04770156
2,0.0080606,-0.00010048457,0.00010033654,-0.00010048457,-0.0007332369,-0.4977323,-0.0021093562,-1.4318631,-0.08030881,0.1606176,-1.9352767e-06,3.8705534e-06,-7.037533e-05,-0.04777184,-1.9352785e-06,3.8705457e-06,-7.0375194e-05,-0.047772028
3,0.008072667,-0.00010063255,0.00010033654,-0.00010063255,-0.0014662215,-0.4984653,-0.004217987,-1.4339716,-0.0803088,0.1606176,-2.9043442e-06,5.8086885e-06,-0.00014072645,-0.047842193,-2.9043485e-06,5.8086716e-06,-0.00014072604,-0.047842473
4,0.008084733,-0.00010092851,0.00010048457,-0.00010092851,-0.00219899,-0.4999313,-0.0063259955,-1.438189,-0.0804273,0.16085458,-3.874127e-06,7.748254e-06,-0.00021105682,-0.047982898,-3.874134e-06,7.748224e-06,-0.000211056,-0.04798327
5,0.0080968,-0.00010107649,0.00010048457,-0.00010107649,-0.0029319746,-0.5006643,-0.008434626,-1.4402976,-0.08042728,0.16085458,-4.844624e-06,9.689248e-06,-0.00028140793,-0.04805325,-4.844636e-06,9.689201e-06,-0.00028140657,-0.048053715
6,0.008108866,-0.000101224476,0.00010063255,-0.000101224476,-0.0029320105,-0.5013973,-0.00843473,-1.4424064,-0.08054573,0.16109146,-5.8158357e-06,1.1631671e-05,-0.0002814114,-0.048123606,-5.815853e-06,1.1631604e-05,-0.00028140977,-0.048124164
7,0.008120934,-0.00010152044,0.000100780526,-0.00010137246,-0.0036650312,-0.5021303,-0.010543464,-1.4445151,-0.08078261,0.16132835,-6.7891915e-06,1.3576954e-05,-0.00035176598,-0.048193958,-6.7892147e-06,1.3576861e-05,-0.0003517636,-0.048194613
8,0.008133001,-0.00010166848,0.00010092851,-0.00010166848,-0.0036652836,-0.5035966,-0.010544189,-1.4487332,-0.080782615,0.16156523,-7.763976e-06,1.5525095e-05,-0.0003517902,-0.048334688,-7.764007e-06,1.5524975e-05,-0.00035178746,-0.048335437
9,0.008145067,-0.00010196444,0.00010092851,-0.000101816455,-0.005131289,-0.50432956,-0.014761554,-1.4508418,-0.08090107,0.16156523,-8.7394765e-06,1.7474664e-05,-0.0004924959,-0.04840504,-8.739515e-06,1.7474513e-05,-0.0004924916,-0.048405886
10,0.008157134,-0.00010211242,0.00010107649,-0.00010196444,-0.005131289,-0.5050626,-0.014761554,-1.4529506,-0.081019506,0.16180211,-9.716405e-06,1.9425665e-05,-0.0004924959,-0.048475396,-9.716452e-06,1.9425475e-05,-0.0004924911,-0.04847634
11,0.0081692,-0.000102260405,0.000101224476,-0.000102260405,-0.005131289,-0.5065286,-0.014761554,-1.457168,-0.0810195,0.16203901,-1.0694049e-05,2.1379521e-05,-0.0004924959,-0.0486161,-1.0694106e-05,2.1379294e-05,-0.00049249065,-0.04861714
12,0.008181267,-0.00010255637,0.00010137246,-0.00010240839,-0.0058642733,-0.50726163,-0.016870186,-1.4592767,-0.08125639,0.1622759,-1.1673121e-05,2.3336237e-05,-0.000562847,-0.048686456,-1.1673189e-05,2.3335966e-05,-0.00056284043,-0.048687592
13,0.008193335,-0.000102704355,0.00010137246,-0.00010255637,-0.006597294,-0.5079946,-0.01897892,-1.4613853,-0.0812564,0.1622759,-1.2653623e-05,2.5294383e-05,-0.00063320156,-0.048756804,-1.2653703e-05,2.5294063e-05,-0.00063319353,-0.048758037
14,0.008205401,-0.00010300037,0.00010152044,-0.000102852384,-0.007330567,-0.50946087,-0.021088379,-1.4656034,-0.08137484,0.16251278,-1.363484e-05,2.7253958e-05,-0.0007035804,-0.048897535,-1.3634933e-05,2.7253585e-05,-0.0007035708,-0.04889887
15,0.008217468,-0.000103148355,0.00010152044,-0.00010300037,-0.008063587,-0.5101939,-0.023197114,-1.4677122,-0.08137483,0.16251278,-1.461677e-05,2.9214962e-05,-0.00077393494,-0.04896789,-1.4616878e-05,2.9214534e-05,-0.00077392365,-0.04896932
16,0.008229534,-0.00010344432,0.00010166848,-0.000103296334,-0.00879632,-0.51165986,-0.025305018,-1.4719294,-0.081493326,0.16274977,-1.5599417e-05,3.1177395e-05,-0.00084426184,-0.049108595,-1.5599539e-05,3.1176907e-05,-0.0008442487,-0.049110126
17,0.008241601,-0.0001035923,0.000101816455,-0.00010344432,-0.00879632,-0.5123929,-0.025305018,-1.4740382,-0.08161176,0.16298664,-1.6583492e-05,3.314269e-05,-0.00084426184,-0.04917895,-1.658363e-05,3.314214e-05,-0.0008442478,-0.049180582
18,0.008253668,-0.00010388827,0.00010196444,-0.0001035923,-0.009529341,-0.5131259,-0.027413752,-1.4761468,-0.08184866,0.16322353,-1.7569711e-05,3.511084e-05,-0.00091461645,-0.049249303,-1.7569866e-05,3.511022e-05,-0.0009146004,-0.04925103
19,0.008265735,-0.00010403629,0.00010196444,-0.00010374028,-0.0102625415,-0.5138589,-0.029523006,-1.4782556,-0.08184869,0.16322353,-1.855736e-05,3.708042e-05,-0.0009849883,-0.049319655,-1.8557532e-05,3.707973e-05,-0.00098497,-0.049321484
