Time (ms),Velocity (mm/ms)
0.0,0.008796453
7.948649943558302e-06,0.008796453
1.5897299887116605e-05,0.008796453
2.3845949830674907e-05,0.008796453
3.179459977423321e-05,0.008796453
3.974324971779151e-05,0.008796453
4.7691899661349814e-05,0.008796453
5.5640549604908116e-05,0.008796453
6.358919954846642e-05,0.008796453
7.153784949202473e-05,0.008796453
7.948649943558302e-05,0.008796453
8.743514937914132e-05,0.008796453
9.538379932269963e-05,0.008796453
0.00010333244926625794,0.008796453
0.00011128109920981623,0.0073303697
0.00011922974915337453,0.0073303697
0.00012717839909693284,0.0073303697
0.00013512704904049115,0.0073303697
0.00014307569898404946,0.0073303697
0.00015102434892760774,0.0073303697
0.00015897299887116605,0.0073303697
0.00016692164881472436,0.0073303697
0.00017487029875828264,0.0073303697
0.00018281894870184095,0.0073303697
0.00019076759864539926,0.0073303697
0.00019871624858895756,0.0073303697
0.00020666489853251587,0.0073303697
0.00021461354847607416,0.0073303697
0.00022256219841963246,0.0073303697
0.00023051084836319077,0.0073303697
0.00023845949830674906,0.0073303697
0.00024640814825030736,0.0073303697
0.0002543567981938657,0.0073303697
0.000262305448137424,0.0073303697
0.0002702540980809823,0.0073303697
0.0002782027480245406,0.0073303697
0.0002861513979680989,0.0073303697
0.00029410004791165716,0.0073303697
0.0003020486978552155,0.0073303697
0.0003099973477987738,0.0073303697
0.0003179459977423321,0.0073303697
0.0003258946476858904,0.0073303697
0.0003338432976294487,0.0073303697
0.000341791947573007,0.0073303697
0.0003497405975165653,0.0073303697
0.0003576892474601236,0.0073303697
0.0003656378974036819,0.0073303697
0.0003735865473472402,0.0073303697
0.0003815351972907985,0.0073303697
0.0003894838472343568,0.0073303697
0.00039743249717791513,0.0073303697
0.00040538114712147344,0.0073303697
0.00041332979706503175,0.0073303697
0.00042127844700859,0.0073303697
0.0004292270969521483,0.0073303697
0.0004371757468957066,0.0073303697
0.00044512439683926493,0.0073303697
0.00045307304678282324,0.0073303697
0.00046102169672638155,0.0073303697
0.00046897034666993986,0.0073303697
0.0004769189966134981,0.0073303697
0.0004848676465570564,0.0073303697
0.0004928162965006147,0.0073303697
0.000500764946444173,0.0073303697
0.0005087135963877313,0.0073303697
0.0005166622463312897,0.0073303697
0.000524610896274848,0.0073303697
0.0005325595462184063,0.0073303697
0.0005405081961619646,0.0073303697
0.0005484568461055229,0.0073303697
0.0005564054960490812,0.0073303697
0.0005643541459926395,0.0073303697
0.0005723027959361978,0.0073303697
0.000580251445879756,0.0073303697
0.0005882000958233143,0.0073303697
0.0005961487457668726,0.0073303697
0.000604097395710431,0.0073303697
0.0006120460456539893,0.0073303697
0.0006199946955975476,0.0073303697
0.0006279433455411059,0.0073303697
0.0006358919954846642,0.0073303697
0.0006438406454282225,0.0073303697
0.0006517892953717808,0.0073303697
0.0006597379453153391,0.0073303697
0.0006676865952588974,0.0073303697
0.0006756352452024557,0.0073303697
0.000683583895146014,0.0073303697
0.0006915325450895723,0.0073303697
0.0006994811950331305,0.0073303697
0.0007074298449766889,0.0073303697
0.0007153784949202472,0.0073303697
0.0007233271448638055,0.0073303697
0.0007312757948073638,0.0073303697
0.0007392244447509221,0.0073303697
0.0007471730946944804,0.0073303697
0.0007551217446380387,0.0073303697
0.000763070394581597,0.0073303697
0.0007710190445251553,0.0073303697
0.0007789676944687136,0.0073303697
0.000786916344412272,0.0073303697
0.0007948649943558303,0.0073303697
0.0008028136442993886,0.0073303697
0.0008107622942429469,0.0073303697
0.0008187109441865052,0.0073303697
0.0008266595941300635,0.0073303697
0.0008346082440736217,0.0073303697
0.00084255689401718,0.0073303697
0.0008505055439607383,0.0073303697
0.0008584541939042966,0.0073303697
0.0008664028438478549,0.0073303697
0.0008743514937914132,0.0073303697
0.0008823001437349715,0.0073303697
0.0008902487936785299,0.0073303697
0.0008981974436220882,0.0073303697
0.0009061460935656465,0.0073303697
0.0009140947435092048,0.0073303697
0.0009220433934527631,0.0073303697
0.0009299920433963214,0.0073303697
0.0009379406933398797,0.0073303697
0.000945889343283438,0.0073303697
0.0009538379932269962,0.0073303697
0.0009617866431705545,0.0073303697
0.0009697352931141128,0.0073303697
0.0009776839430576713,0.0073303697
0.0009856325930012295,0.0073303697
0.0009935812429447879,0.0073303697
0.001001529892888346,0.0073303697
0.0010094785428319045,0.0073303697
0.0010174271927754627,0.0073303697
0.001025375842719021,0.0073303697
0.0010333244926625793,0.0073303697
0.0010412731426061375,0.0058642863
0.001049221792549696,0.0058642863
0.0010571704424932541,0.0058642863
0.0010651190924368125,0.0058642863
0.0010730677423803708,0.0073303697
0.0010810163923239292,0.0073303697
0.0010889650422674874,0.0073303697
0.0010969136922110458,0.0073303697
0.001104862342154604,0.0073303697
0.0011128109920981624,0.0073303697
0.0011207596420417206,0.0073303697
0.001128708291985279,0.0073303697
0.0011366569419288372,0.0058642863
0.0011446055918723956,0.0058642863
0.0011525542418159538,0.0058642863
0.001160502891759512,0.0058642863
0.0011684515417030705,0.0058642863
0.0011764001916466287,0.0058642863
0.001184348841590187,0.0058642863
0.0011922974915337453,0.0058642863
0.0012002461414773037,0.0058642863
0.001208194791420862,0.0058642863
0.0012161434413644203,0.0058642863
0.0012240920913079785,0.0073303697
0.001232040741251537,0.0058642863
0.0012399893911950951,0.0073303697
0.0012479380411386536,0.0073303697
0.0012558866910822118,0.0073303697
0.0012638353410257702,0.0073303697
0.0012717839909693284,0.0073303697
0.0012797326409128866,0.0073303697
0.001287681290856445,0.0073303697
0.0012956299408000032,0.0073303697
0.0013035785907435616,0.0073303697
