,Time,Incident Raw,Transmitted Raw
101,-0.39870852,2.2198374e-06,-2.9597996e-07
102,-0.39869604,2.2198374e-06,-2.9597996e-07
103,-0.39868352,2.2198374e-06,-2.9597996e-07
104,-0.39867103,2.2198374e-06,-2.9597996e-07
105,-0.39865854,2.2198374e-06,-2.9597996e-07
106,-0.39864603,2.2198374e-06,-2.9597996e-07
107,-0.39863354,2.2198374e-06,-2.9597996e-07
108,-0.39862102,2.2198374e-06,-2.9597996e-07
109,-0.39860854,2.2198374e-06,-2.9597996e-07
110,-0.39859602,2.2198374e-06,-2.9597996e-07
111,-0.39858353,2.2198374e-06,-2.9597996e-07
112,-0.39857104,2.2198374e-06,-2.9597996e-07
113,-0.39855853,2.2198374e-06,-2.9597996e-07
114,-0.39854604,2.2198374e-06,-2.9597996e-07
115,-0.39853352,2.2198374e-06,-2.9597996e-07
116,-0.39852104,2.2198374e-06,-2.9597996e-07
117,-0.39850852,2.2198374e-06,-2.9597996e-07
118,-0.39849603,2.2198374e-06,-2.9597996e-07
119,-0.39848354,2.2198374e-06,-2.9597996e-07
120,-0.39847103,2.2198374e-06,-2.9597996e-07
121,-0.39845854,2.2198374e-06,-2.9597996e-07
122,-0.39844602,2.2198374e-06,-2.9597996e-07
123,-0.39843354,2.2198374e-06,-2.9597996e-07
124,-0.39842102,2.2198374e-06,-2.9597996e-07
125,-0.39840853,2.2198374e-06,-2.9597996e-07
126,-0.39839602,2.2198374e-06,-2.9597996e-07
127,-0.39838353,2.2198374e-06,-2.9597996e-07
128,-0.39837104,2.2198374e-06,-2.9597996e-07
129,-0.39835852,2.2198374e-06,-2.9597996e-07
130,-0.39834604,2.367825e-06,-2.9597996e-07
131,-0.39833352,2.367825e-06,-2.9597996e-07
132,-0.39832103,2.2198374e-06,-2.9597996e-07
133,-0.39830852,2.2198374e-06,-2.9597996e-07
134,-0.39829603,2.2198374e-06,-2.9597996e-07
135,-0.39828354,2.367825e-06,-2.9597996e-07
136,-0.39827102,2.367825e-06,-2.9597996e-07
137,-0.39825854,2.367825e-06,-2.9597996e-07
138,-0.39824602,2.2198374e-06,-2.9597996e-07
139,-0.39823353,2.2198374e-06,-2.9597996e-07
140,-0.39822102,2.2198374e-06,-2.9597996e-07
141,-0.39820853,2.367825e-06,-2.9597996e-07
142,-0.39819604,2.367825e-06,-2.9597996e-07
143,-0.39818352,2.367825e-06,-2.9597996e-07
144,-0.39817104,2.367825e-06,-2.9597996e-07
145,-0.39815852,2.367825e-06,-2.9597996e-07
146,-0.39814603,2.367825e-06,-2.9597996e-07
147,-0.39813352,2.367825e-06,-2.9597996e-07
148,-0.39812103,2.367825e-06,-2.9597996e-07
149,-0.39810854,2.367825e-06,-2.9597996e-07
150,-0.39809602,2.367825e-06,-2.9597996e-07
151,-0.39808354,2.367825e-06,-4.4396745e-07
152,-0.39807102,2.367825e-06,-4.4396745e-07
153,-0.39805853,2.367825e-06,-4.4396745e-07
154,-0.39804602,2.367825e-06,-4.4396745e-07
155,-0.39803353,2.367825e-06,-4.4396745e-07
156,-0.39802104,2.5158126e-06,-4.4396745e-07
157,-0.39800853,2.5158126e-06,-4.4396745e-07
158,-0.39799604,2.5158126e-06,-4.4396745e-07
159,-0.39798352,2.5158126e-06,-4.4396745e-07
160,-0.39797103,2.5158126e-06,-4.4396745e-07
161,-0.39795852,2.5158126e-06,-4.4396745e-07
162,-0.39794603,2.5158126e-06,-4.4396745e-07
163,-0.39793354,2.5158126e-06,-4.4396745e-07
164,-0.39792103,2.5158126e-06,-4.4396745e-07
165,-0.39790854,2.5158126e-06,-4.4396745e-07
166,-0.39789602,2.663805e-06,-5.9195503e-07
167,-0.39788353,2.663805e-06,-4.4396745e-07
168,-0.39787102,2.663805e-06,-4.4396745e-07
169,-0.39785853,2.663805e-06,-4.4396745e-07
170,-0.39784604,2.663805e-06,-4.4396745e-07
171,-0.39783353,2.663805e-06,-4.4396745e-07
172,-0.39782104,2.663805e-06,-5.9195503e-07
173,-0.39780852,2.663805e-06,-5.9195503e-07
174,-0.39779603,2.663805e-06,-5.9195503e-07
175,-0.39778352,2.663805e-06,-5.9195503e-07
176,-0.39777103,2.8117925e-06,-5.9195503e-07
177,-0.39775854,2.8117925e-06,-5.9195503e-07
178,-0.39774603,2.8117925e-06,-5.9195503e-07
179,-0.39773354,2.8117925e-06,-5.9195503e-07
180,-0.39772102,2.8117925e-06,-5.9195503e-07
181,-0.39770854,2.8117925e-06,-5.9195503e-07
182,-0.39769602,2.8117925e-06,-5.9195503e-07
183,-0.39768353,2.8117925e-06,-5.9195503e-07
184,-0.39767104,2.95978e-06,-5.9195503e-07
185,-0.39765853,2.95978e-06,-5.9195503e-07
186,-0.39764604,2.95978e-06,-5.9195503e-07
187,-0.39763352,2.95978e-06,-5.9195503e-07
188,-0.39762104,2.95978e-06,-5.9195503e-07
189,-0.39760852,2.95978e-06,-7.399474e-07
190,-0.39759603,2.95978e-06,-7.399474e-07
191,-0.39758354,2.95978e-06,-7.399474e-07
192,-0.39757103,2.95978e-06,-7.399474e-07
193,-0.39755854,2.95978e-06,-7.399474e-07
194,-0.39754602,2.95978e-06,-7.399474e-07
195,-0.39753354,2.95978e-06,-7.399474e-07
196,-0.39752102,2.95978e-06,-7.399474e-07
197,-0.39750853,2.95978e-06,-7.399474e-07
