Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E
0.038881537,-0.00021931971,9.6192874e-05,-4.824442e-05,-0.60988677,-0.23897009,-1.7545059,-0.68746275,-0.20815487,0.14983463,-2.2957753e-05,1.6605614e-05,-0.05522691,-0.021639396,-2.2958016e-05,1.6605476e-05,-0.055225644,-0.021638898,313.3745,15.163606,60.2829,237.92798,235.92604,473.854
0.03888899,-0.0002199117,9.648884e-05,-4.824442e-05,-0.611353,-0.23897009,-1.758724,-0.68746275,-0.20884643,0.15029564,-2.4512274e-05,1.7724456e-05,-0.055359684,-0.021639396,-2.4512574e-05,1.77243e-05,-0.055358328,-0.021638865,315.0685,15.163606,60.654423,239.25047,237.23741,476.48788
0.03889645,-0.00022020766,9.648884e-05,-4.854041e-05,-0.61281896,-0.24043621,-1.7629412,-0.6916805,-0.2088464,0.15029564,-2.6069372e-05,1.8845018e-05,-0.055492435,-0.021772157,-2.6069712e-05,1.884484e-05,-0.05549099,-0.02177159,315.9171,15.350241,60.654423,239.91246,237.89383,477.80627
0.038903903,-0.00022079959,9.648884e-05,-4.854041e-05,-0.615751,-0.24043621,-1.7713761,-0.6916805,-0.2093074,0.15029564,-2.762819e-05,1.9965579e-05,-0.05575794,-0.021772157,-2.762857e-05,1.9965379e-05,-0.055756398,-0.021771556,317.6178,15.350241,60.654423,241.61316,239.58022,481.19336
0.038911358,-0.00022139156,9.67848e-05,-4.854041e-05,-0.61721724,-0.24043621,-1.775594,-0.6916805,-0.20999895,0.15075666,-2.9191302e-05,2.1087859e-05,-0.05589071,-0.021772157,-2.919173e-05,2.1087637e-05,-0.055889077,-0.021771522,319.32318,15.350241,61.027092,242.94585,240.9017,483.84753
0.038918816,-0.00022168753,9.67848e-05,-4.8836373e-05,-0.6186833,-0.24190222,-1.7798115,-0.6958979,-0.20999897,0.15075666,-3.0756994e-05,2.2211856e-05,-0.056023464,-0.021904908,-3.0757466e-05,2.221161e-05,-0.05602174,-0.021904234,320.17752,15.538001,61.027092,243.61244,241.56268,485.1751
0.03892627,-0.0002222795,9.67848e-05,-4.8836373e-05,-0.6216155,-0.24190222,-1.7882469,-0.6958979,-0.21046,0.15075666,-3.2324406e-05,2.3335855e-05,-0.056288984,-0.021904908,-3.2324926e-05,2.3335582e-05,-0.056287166,-0.0219042,321.88974,15.538001,61.027092,245.32466,243.2605,488.58514
0.038933728,-0.00022287144,9.708082e-05,-4.8836373e-05,-0.6230813,-0.24190222,-1.7924638,-0.6958979,-0.21115157,0.15121774,-3.389611e-05,2.4461571e-05,-0.05642172,-0.021904908,-3.3896686e-05,2.4461273e-05,-0.05641981,-0.021904165,323.60645,15.538001,61.400963,246.66751,244.59203,491.25952
0.038941182,-0.00022316744,9.708082e-05,-4.9132337e-05,-0.6245475,-0.24336822,-1.7966816,-0.7001152,-0.2111516,0.15121774,-3.54704e-05,2.5589008e-05,-0.056554485,-0.022037659,-3.547103e-05,2.558868e-05,-0.05655248,-0.022036877,324.4666,15.726902,61.400963,247.33875,245.25763,492.59637
0.038948637,-0.00022375939,9.737679e-05,-4.9132337e-05,-0.6260136,-0.24336822,-1.800899,-0.7001152,-0.21184313,0.15167877,-3.704726e-05,2.6718162e-05,-0.05668724,-0.022037659,-3.7047947e-05,2.6717806e-05,-0.05668514,-0.022036843,326.19016,15.726902,61.77592,248.68733,246.59486,495.2822
