,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E,True Strain Rate 1W,True Strain Rate 3W
0,0,0,0,0,0,0,0,0,0,0,0.0,-0.00017033536,-5.164814e-05,-9.6192874e-05,-1.0995555,-0.47647417,-3.1631718,-1.3707081,-0.01751914,-0.080449626,0.0,0.0,-0.099567756,-0.04314604,0.0,0.0,-0.099567756,-0.04314604,126.0163,40.188602,11.585812,74.24188,73.61721,147.8591,-0.0838704523165512,0.017367448968502827
1,1,1,1,1,1,1,1,1,1,1,7.779327e-06,-0.0001707793,-5.1352177e-05,-9.6636824e-05,-1.1002885,-0.4786732,-3.1652806,-1.3770343,-0.017749628,-0.07998861,-1.3718363e-07,-6.2405076e-07,-0.09963413,-0.04334517,-1.3718365e-07,-6.24051e-07,-0.09963412,-0.04334516,126.67401,40.560413,11.45341,74.660194,74.032,148.6922,-0.08336922858090541,0.017593942888725206
2,2,2,2,2,2,2,2,2,2,2,1.5558653e-05,-0.0001712233,-5.1204195e-05,-9.693279e-05,-1.1017548,-0.4801392,-3.169499,-1.3812516,-0.017980183,-0.079758115,-2.7616056e-07,-1.2454118e-06,-0.09976691,-0.04347792,-2.7616062e-07,-1.2454126e-06,-0.09976688,-0.043477908,127.33355,40.80924,11.387494,75.136826,74.504616,149.64145,-0.08311872501779627,0.017820451337675406
3,3,3,3,3,3,3,3,3,3,3,2.333798e-05,-0.00017166724,-5.0908227e-05,-9.72288e-05,-1.1024877,-0.48160544,-3.1716073,-1.3854697,-0.018325891,-0.0792971,-4.1737897e-07,-1.8640831e-06,-0.09983328,-0.043610692,-4.1737906e-07,-1.8640848e-06,-0.099833235,-0.043610673,127.99468,41.058865,11.256231,75.67959,75.042816,150.72241,-0.0826178789159541,0.01815999558177061
4,4,4,4,4,4,4,4,4,4,4,3.1117306e-05,-0.00017211123,-5.0612263e-05,-9.7672746e-05,-1.1032209,-0.48380443,-3.1737165,-1.3917958,-0.01855644,-0.07883609,-5.608388e-07,-2.479168e-06,-0.09989967,-0.043809816,-5.60839e-07,-2.479171e-06,-0.09989961,-0.04380979,128.65762,41.43467,11.125731,76.09723,75.45694,151.55417,-0.08211728896327773,0.018386369975102835
5,5,5,5,5,5,5,5,5,5,5,3.8896633e-05,-0.00017270316,-5.0316252e-05,-9.796871e-05,-1.1046867,-0.48527044,-3.1779332,-1.396013,-0.019017477,-0.07837501,-7.069887e-07,-3.0906663e-06,-0.100032404,-0.043942567,-7.06989e-07,-3.090671e-06,-0.10003234,-0.043942537,129.5441,41.686157,10.995973,76.86197,76.21525,153.07721,-0.0816168735227226,0.01883890522206625
6,6,6,6,6,6,6,6,6,6,6,4.667596e-05,-0.00017314713,-5.016827e-05,-9.841271e-05,-1.1061528,-0.48746973,-3.1821508,-1.4023399,-0.01913271,-0.078144506,-8.553801e-07,-3.6994745e-06,-0.10016516,-0.044141717,-8.5538045e-07,-3.6994813e-06,-0.10016508,-0.04414168,130.21098,42.06486,10.931389,77.21474,76.56505,153.77979,-0.08136679872865574,0.018951981285702607
7,7,7,7,7,7,7,7,7,7,7,5.4455286e-05,-0.00017359112,-4.9872302e-05,-9.8708675e-05,-1.106886,-0.48893574,-3.1842604,-1.4065573,-0.019478496,-0.07768349,-1.0055647e-06,-4.305593e-06,-0.10023156,-0.044274468,-1.0055652e-06,-4.3056025e-06,-0.100231454,-0.044274423,130.87964,42.318253,10.802789,77.75859,77.10433,154.86292,-0.08086682800075892,0.01929121811742259
8,8,8,8,8,8,8,8,8,8,8,6.223461e-05,-0.00017418305,-4.9576338e-05,-9.900464e-05,-1.1083521,-0.49040174,-3.1884775,-1.4107746,-0.019939508,-0.07722248,-1.1588875e-06,-4.908125e-06,-0.100364305,-0.04440722,-1.1588882e-06,-4.9081373e-06,-0.100364186,-0.044407167,131.77373,42.572403,10.6749525,78.526375,77.86565,156.39203,-0.08036711362078947,0.01974331965516339
9,9,9,9,9,9,9,9,9,9,9,7.001394e-05,-0.00017462706,-4.9280323e-05,-9.944864e-05,-1.1090851,-0.492601,-3.1905863,-1.4171015,-0.020170059,-0.076761395,-1.3149001e-06,-5.5070705e-06,-0.10043069,-0.04460637,-1.314901e-06,-5.507086e-06,-0.100430556,-0.04460631,132.4464,42.955105,10.547855,78.943436,78.2792,157.22263,-0.07986756759478877,0.01996933790899719
10,10,10,10,10,10,10,10,10,10,10,7.7793266e-05,-0.00017507099,-4.8984355e-05,-9.9744604e-05,-1.109818,-0.494067,-3.192695,-1.4213188,-0.02051581,-0.07630038,-1.4731545e-06,-6.1024293e-06,-0.10049705,-0.04473912,-1.4731556e-06,-6.102448e-06,-0.1004969,-0.044739053,133.12067,43.211155,10.421539,79.48797,78.81915,158.30713,-0.07936834677263634,0.020308195553439864
