,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E,True Strain Rate 1W,True Strain Rate 3W
0,0,0,0,0.0,-0.00027052392,0.00010773601,-3.300155e-05,-0.80634075,-0.16346726,-2.3196595,-0.47025827,-0.2688955,0.16781478,0.0,0.0,-0.07301636,-0.0148024075,0.0,0.0,-0.07301636,-0.0148024075,317.85452,4.730268,50.412567,262.71167,260.5012,523.2129,0.15513429306396995,0.23814683703569012
1,1,1,1,7.676000000001598e-06,-0.00027126388,0.000108327935,-3.314954e-05,-0.807074,-0.1642003,-2.321769,-0.47236705,-0.26981756,0.16873679,-2.067188e-06,1.2914396e-06,-0.07308276,-0.014868787,-2.06719e-06,1.2914387e-06,-0.07308261,-0.014868756,319.59576,4.772787,50.96805,263.85492,261.63483,525.48975,0.1559234988830873,0.23887323660803422
2,2,2,2,1.535000000000078e-05,-0.0002718558,0.000108919914,-3.314954e-05,-0.80707365,-0.1642003,-2.321768,-0.47236705,-0.27073961,0.16965888,-4.1414523e-06,2.5899556e-06,-0.07308272,-0.014868787,-4.141461e-06,2.5899521e-06,-0.07308242,-0.014868725,320.99203,4.772787,51.52662,264.69266,262.4655,527.1582,0.15671215074352526,0.23959910103759502
3,3,3,3,2.3024999999999435e-05,-0.0002724478,0.00010951185,-3.314954e-05,-0.807074,-0.1642003,-2.321769,-0.47236705,-0.2716617,0.17058092,-6.2227928e-06,3.8955477e-06,-0.07308276,-0.014868787,-6.2228123e-06,3.89554e-06,-0.073082305,-0.014868694,322.39154,4.772787,52.088192,265.53058,263.2964,528.82697,0.15750013840847277,0.24032447042503496
4,4,4,4,3.0699000000002086e-05,-0.0002730397,0.00011010383,-3.314954e-05,-0.80707365,-0.1642003,-2.321768,-0.47236705,-0.27258372,0.171503,-8.31121e-06,5.2082164e-06,-0.07308272,-0.014868787,-8.3112445e-06,5.2082028e-06,-0.07308211,-0.014868663,323.79395,4.772787,52.652855,266.3683,264.12704,530.49536,0.1582875397818966,0.24104925902688518
5,5,5,5,3.837500000000021e-05,-0.00027377967,0.00011084379,-3.329753e-05,-0.8070737,-0.16493334,-2.321768,-0.47447583,-0.2736211,0.17265561,-1.0407146e-05,6.5288464e-06,-0.07308273,-0.014935165,-1.04072005e-05,6.528825e-06,-0.07308197,-0.014935009,325.55133,4.8154964,53.362946,267.3729,265.12323,532.4961,0.15927092895016323,0.24186410318180201
6,6,6,6,4.60489999999994e-05,-0.00027437165,0.00011143572,-3.329753e-05,-0.80707395,-0.16493334,-2.3217688,-0.47447583,-0.27454314,0.17357762,-1.2510601e-05,7.857437e-06,-0.07308275,-0.014935165,-1.2510679e-05,7.857406e-06,-0.073081836,-0.0149349775,326.9607,4.8154964,53.93441,268.2108,265.95404,534.1648,0.16005687813515684,0.24258779282924914
7,7,7,7,5.372300000000205e-05,-0.0002749636,0.0001120277,-3.344552e-05,-0.8070737,-0.1656664,-2.321768,-0.47658467,-0.27534997,0.17449974,-1.4620689e-05,9.193104e-06,-0.07308273,-0.015001546,-1.4620797e-05,9.1930615e-06,-0.073081665,-0.015001326,328.373,4.858397,54.508965,269.00565,266.74225,535.7479,0.16084230374600977,0.2432206272204339
8,8,8,8,6.139700000000123e-05,-0.00027555556,0.000112767615,-3.344552e-05,-0.8063409,-0.1656664,-2.31966,-0.47658467,-0.27638727,0.17565227,-1.6737855e-05,1.0536733e-05,-0.073016375,-0.015001546,-1.6737995e-05,1.0536677e-05,-0.07301515,-0.015001294,329.78845,4.858397,55.231377,269.6987,267.42944,537.1282,0.16182311697637958,0.24403364200963487
9,9,9,9,6.907100000000041e-05,-0.0002761475,0.000113359594,-3.344552e-05,-0.80634075,-0.1656664,-2.3196595,-0.47658467,-0.27730933,0.17657435,-1.8862538e-05,1.1888321e-05,-0.07301636,-0.015001546,-1.8862716e-05,1.1888251e-05,-0.07301498,-0.015001263,331.20685,4.858397,55.812775,270.53568,268.25937,538.79504,0.16260712310860417,0.24475577951028377
10,10,10,10,7.674700000000201e-05,-0.00027688747,0.00011395153,-3.344552e-05,-0.80707395,-0.1656664,-2.3217688,-0.47658467,-0.27834666,0.17749637,-2.0994741e-05,1.3246987e-05,-0.07308275,-0.015001546,-2.0994961e-05,1.3246899e-05,-0.07308122,-0.015001231,332.98425,4.858397,56.39718,271.7287,269.44235,541.171,0.1633904641011362,0.24556757112936403
11,11,11,11,8.442100000000119e-05,-0.00027747938,0.00011469148,-3.3593507e-05,-0.80634075,-0.16639942,-2.3196595,-0.4786934,-0.27926865,0.17864895,-2.3134462e-05,1.4613613e-05,-0.07301636,-0.015067922,-2.313473e-05,1.4613506e-05,-0.07301467,-0.015067574,334.40942,4.901486,57.131996,272.37595,270.08417,542.4601,0.16436882488572171,0.24628854745159148
12,12,12,12,9.209500000000036e-05,-0.00027807138,0.00011528347,-3.3593507e-05,-0.80634075,-0.16639942,-2.3196595,-0.4786934,-0.2801908,0.17957106,-2.5281259e-05,1.59882e-05,-0.07301636,-0.015067922,-2.5281579e-05,1.5988073e-05,-0.07301451,-0.015067541,335.8379,4.901486,57.723297,273.2131,270.91428,544.1274,0.16515086391777606,0.24700912932281524
13,13,13,13,9.976899999999957e-05,-0.00027881132,0.00011602338,-3.3741497e-05,-0.8063409,-0.16713245,-2.31966,-0.48080218,-0.28122807,0.18072358,-2.7435575e-05,1.7370749e-05,-0.073016375,-0.015134301,-2.7435952e-05,1.7370598e-05,-0.07301437,-0.015133886,337.62753,4.9447665,58.466637,274.21613,271.90887,546.125,0.1661274539350285,0.24781904766053825
14,14,14,14,0.000107445,-0.00027940326,0.00011661536,-3.3741497e-05,-0.80634075,-0.16713245,-2.3196595,-0.48080218,-0.28215012,0.18164568,-2.959741e-05,1.8761257e-05,-0.07301636,-0.015134301,-2.9597848e-05,1.876108e-05,-0.0730142,-0.015133853,339.0627,4.9447665,59.06478,275.05316,272.73886,547.792,0.16690811093259644,0.24853844992694082
15,15,15,15,0.000115119,-0.00027999518,0.00011720729,-3.3741497e-05,-0.8063406,-0.16713245,-2.319659,-0.48080218,-0.28307214,0.18256769,-3.176632e-05,2.0158843e-05,-0.073016346,-0.015134301,-3.1766827e-05,2.0158639e-05,-0.07301403,-0.0151338205,340.50082,4.9447665,59.665913,275.89014,273.5688,549.4589,0.1676880828745896,0.24925731164436984
16,16,16,16,0.0001227929999999,-0.00028073514,0.000117947246,-3.3741497e-05,-0.8063407,-0.16713245,-2.3196592,-0.48080218,-0.28422472,0.18372029,-3.3943194e-05,2.1564389e-05,-0.07301635,-0.015134301,-3.394377e-05,2.1564156e-05,-0.07301387,-0.015133787,342.30295,4.9447665,60.421665,276.93652,274.60635,551.54285,0.1686622669983284,0.25015520553065423
17,17,17,17,0.000130467,-0.0002813271,0.00011853918,-3.388948e-05,-0.8063409,-0.16786546,-2.31966,-0.48291087,-0.28503153,0.18464233,-3.612758e-05,2.2977896e-05,-0.073016375,-0.015200676,-3.6128236e-05,2.2977632e-05,-0.07301374,-0.015200127,343.74808,4.988234,61.029655,277.73016,275.39334,553.12354,0.1694408978032541,0.2507832550111372
18,18,18,18,0.000138143,-0.0002819191,0.000119279146,-3.388948e-05,-0.805608,-0.16786546,-2.3175516,-0.48291087,-0.2860689,0.18579493,-3.831905e-05,2.4399364e-05,-0.072950006,-0.015200676,-3.8319784e-05,2.4399067e-05,-0.07294721,-0.015200094,345.1963,4.988234,61.793972,278.41406,276.07147,554.48553,0.1704133766874545,0.2515902013631251
19,19,19,19,0.0001458169999999,-0.00028265902,0.000119871125,-3.403747e-05,-0.8063407,-0.16859852,-2.3196592,-0.4850197,-0.28699094,0.18671702,-4.0518036e-05,2.5828793e-05,-0.07301635,-0.015267056,-4.051886e-05,2.582846e-05,-0.073013395,-0.015266438,347.01065,5.031896,62.408855,279.56992,277.2176,556.7875,0.17119068787986252,0.2523068889621716
20,20,20,20,0.000153492,-0.00028325093,0.00012061103,-3.403747e-05,-0.8056076,-0.16859852,-2.3175504,-0.4850197,-0.2880282,0.18786955,-4.272454e-05,2.7266184e-05,-0.072949976,-0.015267056,-4.2725453e-05,2.7265813e-05,-0.07294686,-0.0152664045,348.46548,5.031896,63.18168,280.25192,277.89386,558.14575,0.172161408513983,0.2531125218524207
21,21,21,21,0.000161165,-0.0002839909,0.00012120301,-3.418546e-05,-0.8063406,-0.16933155,-2.319659,-0.4871285,-0.28895032,0.18879163,-4.4938562e-05,2.8711534e-05,-0.073016346,-0.0153334355,-4.4939574e-05,2.8711122e-05,-0.07301307,-0.015332746,350.2885,5.075747,63.80341,281.40936,279.04156,560.4509,0.17293735424324727,0.25382818170926486
22,22,22,22,0.0001688419999999,-0.00028458287,0.00012179495,-3.418546e-05,-0.8063408,-0.16933155,-2.3196597,-0.4871285,-0.28987235,0.18971366,-4.715966e-05,3.0163961e-05,-0.07301637,-0.0153334355,-4.7160775e-05,3.0163506e-05,-0.073012926,-0.015332713,351.7504,5.075747,64.42814,282.24652,279.87167,562.11816,0.17371265632061672,0.25454325998898925
23,23,23,23,0.000176515,-0.00028532278,0.0001225349,-3.418546e-05,-0.8063406,-0.16933155,-2.319659,-0.4871285,-0.29102492,0.19086623,-4.9388724e-05,3.162435e-05,-0.073016346,-0.0153334355,-4.9389942e-05,3.162385e-05,-0.07301274,-0.015332678,353.58185,5.075747,65.21338,283.29276,280.90912,564.2019,0.17468096668474103,0.2554364145442028
24,24,24,24,0.00018419,-0.00028591478,0.00012312684,-3.4333447e-05,-0.8063409,-0.17006458,-2.31966,-0.48923722,-0.29183173,0.19178829,-5.1625302e-05,3.30927e-05,-0.073016375,-0.015399813,-5.1626634e-05,3.309215e-05,-0.073012605,-0.015399017,355.05063,5.119787,65.844955,284.08588,281.6956,565.7815,0.17545494380839843,0.25606115694037235
25,25,25,25,0.0001918639999999,-0.00028665477,0.0001238668,-3.4333447e-05,-0.80634105,-0.17006458,-2.3196604,-0.48923722,-0.29298437,0.19294089,-5.38694e-05,3.456901e-05,-0.07301638,-0.015399813,-5.3870852e-05,3.4568413e-05,-0.07301245,-0.015398983,356.89084,5.119787,66.63876,285.13232,282.7332,567.8655,0.17642159452867046,0.25695301154960465
26,26,26,26,0.00019954,-0.0002872467,0.00012445879,-3.448144e-05,-0.8063407,-0.17079763,-2.3196592,-0.49134606,-0.29379115,0.193863,-5.6121014e-05,3.605328e-05,-0.07301635,-0.015466193,-5.612259e-05,3.6052632e-05,-0.073012255,-0.015465325,358.36627,5.164019,67.27725,285.925,283.5192,569.4442,0.17719426801872137,0.2575767842890029
27,27,27,27,0.000207214,-0.0002879866,0.0001251987,-3.448144e-05,-0.8063407,-0.17079763,-2.3196592,-0.49134606,-0.29494366,0.1950155,-5.8380152e-05,3.7545513e-05,-0.07301635,-0.015466193,-5.8381855e-05,3.7544807e-05,-0.07301209,-0.015465289,360.21484,5.164019,68.07955,286.97125,284.55667,571.52795,0.17815915601065213,0.25846718841359084
28,28,28,28,0.0002148879999999,-0.00028857857,0.00012593865,-3.462943e-05,-0.8056077,-0.17153068,-2.3175507,-0.49345484,-0.29586574,0.19616808,-6.0647246e-05,3.904659e-05,-0.072949976,-0.015532572,-6.0649087e-05,3.9045826e-05,-0.07294555,-0.01553163,361.69727,5.2084413,68.88666,287.60217,285.18228,572.7844,0.17912318077136244,0.2591789968846676
29,29,29,29,0.0002225619999999,-0.00028917057,0.00012653063,-3.462943e-05,-0.80560774,-0.17153068,-2.317551,-0.49345484,-0.29678786,0.1970902,-6.292142e-05,4.0555627e-05,-0.07294998,-0.015532572,-6.29234e-05,4.0554805e-05,-0.07294539,-0.015531595,363.18277,5.2084413,69.535805,288.43857,286.01163,574.4502,0.17989377879108895,0.25989032989026645
30,30,30,30,0.000230236,-0.00028991047,0.00012727056,-3.477742e-05,-0.8056077,-0.17226371,-2.3175507,-0.49556366,-0.29782513,0.19824272,-6.520311e-05,4.207263e-05,-0.072949976,-0.01559895,-6.520523e-05,4.2071744e-05,-0.07294522,-0.015597933,365.04373,5.2530527,70.35144,289.4392,287.00388,576.4431,0.18085608351233767,0.2606898865557558
31,31,31,31,0.0002379119999999,-0.00029050244,0.00012786253,-3.477742e-05,-0.8056077,-0.17226371,-2.3175507,-0.49556366,-0.2987472,0.19916481,-6.749232e-05,4.359759e-05,-0.072949976,-0.01559895,-6.74946e-05,4.359664e-05,-0.07294505,-0.015597898,366.536,5.2530527,71.00741,290.27554,287.83316,578.1087,0.18162532281264882,0.26140010750982307
32,32,32,32,0.0002455859999999,-0.0002912424,0.00012860243,-3.477742e-05,-0.805608,-0.17226371,-2.3175516,-0.49556366,-0.29989976,0.20031732,-6.978949e-05,4.513051e-05,-0.072950006,-0.01559895,-6.9791924e-05,4.512949e-05,-0.07294492,-0.015597861,368.40567,5.2530527,71.83158,291.321,288.86984,580.19086,0.18258595517095627,0.2622871538022324
33,33,33,33,0.00025326,-0.00029183432,0.0001293424,-3.492541e-05,-0.8048746,-0.17299677,-2.3154418,-0.49767247,-0.3008218,0.20146994,-7.209462e-05,4.6672278e-05,-0.0728836,-0.01566533,-7.209722e-05,4.6671186e-05,-0.072878346,-0.015664201,369.90466,5.297856,72.66059,291.94623,289.48978,581.43604,0.1835457571548212,0.2629962185885692
34,34,34,34,0.000260935,-0.0002925743,0.00013008236,-3.492541e-05,-0.8048746,-0.17299677,-2.3154418,-0.49767247,-0.30197442,0.20262253,-7.440771e-05,4.822289e-05,-0.0728836,-0.01566533,-7.4410484e-05,4.8221726e-05,-0.072878174,-0.015664164,371.7829,5.297856,73.49434,292.99072,290.52548,583.51624,0.18450461385662537,0.26388189689599006
35,35,35,35,0.0002686099999999,-0.0002933142,0.00013067429,-3.5073397e-05,-0.8056076,-0.17372979,-2.3175504,-0.49978122,-0.30289644,0.20354456,-7.6728764e-05,4.978146e-05,-0.072949976,-0.015731707,-7.673171e-05,4.978022e-05,-0.07294438,-0.0157305,373.6657,5.3428473,74.16472,294.15814,291.68307,585.8412,0.1852710028983189,0.2645898168567561
