,Unnamed: 0,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E,True Strain Rate 1W,True Strain Rate 3W
0,0,0.0,-9.234513e-05,-2.663805e-06,-7.9026155e-05,-0.47060975,-0.39144188,-1.3538376,-1.1260896,-0.0082985,-0.0041492702,0.0,0.0,-0.042615,-0.035446133,0.0,0.0,-0.042615,-0.035446133,37.03779,27.124315,0.03081924,9.882656,9.799503,19.68216,-0.004157902307836172,0.008264256763441669
1,1,7.281000000001342e-06,-9.2641145e-05,-2.5158126e-06,-7.917413e-05,-0.47134295,-0.39217487,-1.3559468,-1.1281983,-0.008529055,-0.0039187507,-6.12562e-08,-2.9369467e-08,-0.042681392,-0.035512507,-6.12562e-08,-2.9369469e-08,-0.04268139,-0.035512503,37.275623,27.225992,0.027489932,10.022141,9.937815,19.959957,-0.003926449122237724,0.008492888111156683
2,2,1.4562000000002684e-05,-9.278912e-05,-2.367825e-06,-7.932212e-05,-0.4713429,-0.3929079,-1.3559467,-1.130307,-0.00864431,-0.0036882376,-1.2377123e-07,-5.7060667e-08,-0.042681385,-0.035578884,-1.2377123e-07,-5.7060667e-08,-0.04268138,-0.03557888,37.3948,27.327864,0.024350967,10.042587,9.958088,20.000675,-0.0036950559185124823,0.008607161878722033
3,3,2.1842000000001083e-05,-9.293711e-05,-2.2198374e-06,-7.9470105e-05,-0.4713429,-0.39364094,-1.3559467,-1.1324157,-0.008759565,-0.0034577253,-1.8712537e-07,-8.307363e-08,-0.042681385,-0.03564526,-1.8712538e-07,-8.307363e-08,-0.042681377,-0.035645254,37.51417,27.429926,0.02140225,10.062845,9.978176,20.041021,-0.003463717047991365,0.00872142258928549
4,4,2.9123000000002425e-05,-9.323307e-05,-2.2198374e-06,-7.961808e-05,-0.47280887,-0.3943739,-1.3601639,-1.1345243,-0.00887482,-0.0034577253,-2.513186e-07,-1.0824747e-07,-0.042814136,-0.035711635,-2.5131862e-07,-1.0824748e-07,-0.042814124,-0.035711627,37.753487,27.532173,0.02140225,10.199911,10.114089,20.314,-0.003463717047991365,0.008835670245830294
5,5,3.64040000000003e-05,-9.338106e-05,-2.071845e-06,-7.976607e-05,-0.47280884,-0.39510694,-1.3601639,-1.136633,-0.00899008,-0.0032272055,-3.1635096e-07,-1.3258217e-07,-0.042814136,-0.035778012,-3.1635102e-07,-1.3258217e-07,-0.04281412,-0.035778,37.873432,27.634617,0.01864368,10.220172,10.134178,20.354351,-0.003232424158483258,0.008949909806789417
6,6,4.368300000000269e-05,-9.352904e-05,-1.9238573e-06,-7.991405e-05,-0.4728088,-0.3958399,-1.3601638,-1.1387417,-0.009105335,-0.0029966927,-3.8222248e-07,-1.552386e-07,-0.04281413,-0.035844386,-3.8222254e-07,-1.5523861e-07,-0.042814117,-0.03584437,37.99356,27.737246,0.016075436,10.240241,10.1540785,20.39432,-0.003001191774045549,0.009064131363677895
7,7,5.096400000000056e-05,-9.367702e-05,-1.7758698e-06,-8.006203e-05,-0.4728088,-0.39657292,-1.3601638,-1.1408504,-0.00922059,-0.00276618,-4.489331e-07,-1.7621679e-07,-0.04281413,-0.035910763,-4.4893318e-07,-1.762168e-07,-0.042814113,-0.035910748,38.113888,27.840069,0.013697437,10.26012,10.173792,20.433912,-0.0027700129459402017,0.009178339875492108
8,8,5.824500000000191e-05,-9.397304e-05,-1.6278776e-06,-8.021006e-05,-0.473542,-0.39730617,-1.362273,-1.1429598,-0.009451105,-0.0025356603,-5.169024e-07,-1.9551672e-07,-0.042880524,-0.03597716,-5.169025e-07,-1.9551673e-07,-0.0428805,-0.03597714,38.35514,27.943113,0.0115096085,10.400518,10.313007,20.713526,-0.002538880531338791,0.009406722729002004
9,9,6.552400000000083e-05,-9.412102e-05,-1.47989e-06,-8.035805e-05,-0.47354198,-0.3980392,-1.3622729,-1.1450685,-0.009566355,-0.0023051477,-5.8613034e-07,-2.1313838e-07,-0.04288052,-0.036043536,-5.861305e-07,-2.131384e-07,-0.042880494,-0.036043514,38.476036,28.046316,0.009512089,10.420205,10.332529,20.752735,-0.00230780864299032,0.009520887170279593
10,10,7.280500000000217e-05,-9.4268995e-05,-1.3319025e-06,-8.050603e-05,-0.47354192,-0.3987722,-1.3622727,-1.1471772,-0.009681609,-0.0020746351,-6.5619736e-07,-2.290818e-07,-0.042880513,-0.036109913,-6.561976e-07,-2.2908183e-07,-0.042880483,-0.03610989,38.597115,28.14971,0.00770481,10.4397,10.35186,20.791561,-0.002076790136524619,0.009635042541170109
11,11,8.008700000000299e-05,-9.441698e-05,-1.3319025e-06,-8.065401e-05,-0.47427493,-0.3995052,-1.3643814,-1.1492859,-0.009681615,-0.0020746351,-7.26684e-07,-2.441861e-07,-0.04294689,-0.036176287,-7.266843e-07,-2.4418614e-07,-0.04294686,-0.03617626,38.718388,28.25329,0.00770481,10.457395,10.369406,20.826801,-0.002076790136524619,0.009635048483637497
12,12,8.736600000000191e-05,-9.4712945e-05,-1.1839101e-06,-8.0802e-05,-0.47500786,-0.40023822,-1.36649,-1.1513946,-0.009912124,-0.0018441152,-7.9800975e-07,-2.5845128e-07,-0.043013263,-0.036242664,-7.980101e-07,-2.584513e-07,-0.04301323,-0.036242634,38.961506,28.357063,0.0060877176,10.598355,10.50918,21.107536,-0.0018458176737959908,0.009863321127337581
