,Unnamed: 0.1,Unnamed: 0,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,True Strain Rate 1W,True Strain Rate 3W
0,0,0,0.0,-0.00026075667,0.00021739585,-7.325459e-05,-0.21478006,-0.36285347,-0.61787355,-1.0438472,-0.31534427,0.3386262,0.0,0.0,-0.019448921,-0.032857373,0.0,0.0,-0.019448921,-0.032857373,0.29164386418074506,0.2740984336468596
1,1,1,8.547000000004579e-06,-0.00026149658,0.00021828378,-7.355055e-05,-0.21404687,-0.36431947,-0.6157643,-1.0480646,-0.31638154,0.3400093,-2.699758e-06,2.9002324e-06,-0.019382529,-0.032990124,-2.6997616e-06,2.9002283e-06,-0.019382477,-0.032990035,0.29267655423724365,0.27488671489543864
2,2,2,1.7095000000001692e-05,-0.00026223654,0.00021917172,-7.369854e-05,-0.21331388,-0.3650525,-0.6136557,-1.0501733,-0.31753415,0.34139237,-5.4088746e-06,5.8122864e-06,-0.019316155,-0.0330565,-5.4088896e-06,5.8122696e-06,-0.019316051,-0.033056322,0.2937081565802493,0.2757619214010604
3,3,3,2.564099999999986e-05,-0.0002631245,0.0002199117,-7.384652e-05,-0.21404687,-0.36578548,-0.6157643,-1.052282,-0.31868678,0.34254503,-8.127843e-06,8.735177e-06,-0.019382529,-0.033122875,-8.127877e-06,8.735139e-06,-0.01938237,-0.033122607,0.29456708873780707,0.2766363777566199
4,4,4,3.4190000000003384e-05,-0.0002638644,0.00022079959,-7.39945e-05,-0.21331388,-0.3665185,-0.6136557,-1.0543907,-0.31983927,0.34392804,-1.0856663e-05,1.1668904e-05,-0.019316155,-0.033189252,-1.0856722e-05,1.1668837e-05,-0.019315945,-0.03318889,0.2955966990008849,0.2775099640327865
5,5,5,4.2737000000001024e-05,-0.00026460434,0.00022168753,-7.429047e-05,-0.21258074,-0.3679845,-0.61154664,-1.058608,-0.3208766,0.34531114,-1.3594841e-05,1.4614453e-05,-0.019249767,-0.033322003,-1.3594934e-05,1.4614347e-05,-0.019249506,-0.03332155,0.2966253171559645,0.27829560709657913
6,6,6,5.128199999999972e-05,-0.0002653443,0.00022257547,-7.443849e-05,-0.21184777,-0.3687177,-0.609438,-1.0607172,-0.32202917,0.34669423,-1.6342377e-05,1.7571823e-05,-0.019183394,-0.0333884,-1.6342512e-05,1.7571669e-05,-0.01918308,-0.033387855,0.29765287091726816,0.2791678062390149
7,7,7,5.983200000000272e-05,-0.00026623224,0.00022346342,-7.4586475e-05,-0.2118477,-0.36945075,-0.60943776,-1.062826,-0.323297,0.34807736,-1.9100258e-05,2.0541016e-05,-0.019183388,-0.033454776,-1.9100442e-05,2.0540805e-05,-0.019183021,-0.033454135,0.2986793995674811,0.2801263497346732
8,8,8,6.837700000000141e-05,-0.00026697217,0.00022435136,-7.473446e-05,-0.21111456,-0.37018377,-0.6073287,-1.0649347,-0.3244496,0.34946045,-2.1868484e-05,2.3522029e-05,-0.019117001,-0.033521153,-2.1868724e-05,2.3521752e-05,-0.019116584,-0.03352042,0.2997048458956628,0.2809969769108577
9,9,9,7.692299999999958e-05,-0.0002678601,0.00022523926,-7.488244e-05,-0.2111147,-0.37091675,-0.60732913,-1.0670434,-0.32571736,0.3508435,-2.4647052e-05,2.6514865e-05,-0.019117014,-0.033587527,-2.4647356e-05,2.6514514e-05,-0.019116543,-0.0335867,0.3007292121496462,0.2819537167056244
10,10,10,8.547300000000257e-05,-0.0002686,0.0002261272,-7.517841e-05,-0.21038143,-0.3723828,-0.60521966,-1.0712608,-0.32675472,0.3522266,-2.7435472e-05,2.9519522e-05,-0.019050615,-0.03372028,-2.7435848e-05,2.9519086e-05,-0.019050092,-0.033719357,0.3017525671271624,0.28273590028501877
11,11,11,9.40170000000018e-05,-0.000269488,0.00022686717,-7.532639e-05,-0.21111463,-0.37311578,-0.60732895,-1.0733695,-0.32790735,0.35337916,-3.0233252e-05,3.2535016e-05,-0.019117007,-0.033786654,-3.0233708e-05,3.2534484e-05,-0.01911643,-0.033785634,0.3026045464411902,0.283604282054177
12,12,12,0.000102567,-0.00027022793,0.00022775511,-7.5474374e-05,-0.21038151,-0.3738488,-0.6052199,-1.0754782,-0.32905993,0.35476232,-3.304088e-05,3.5561345e-05,-0.01905062,-0.03385303,-3.304143e-05,3.556071e-05,-0.01904999,-0.033851914,0.30362602935150623,0.28447187277008296
13,13,13,0.000111114,-0.00027111586,0.00022864301,-7.577039e-05,-0.21038164,-0.37531504,-0.6052203,-1.0796963,-0.3302124,0.35614532,-3.5858364e-05,3.8599497e-05,-0.019050634,-0.033985805,-3.5859008e-05,3.859875e-05,-0.01904995,-0.033984587,0.3046463519177017,0.28533862873121524
14,14,14,0.00011966,-0.00027200382,0.00022953095,-7.591837e-05,-0.21038172,-0.37604803,-0.6052205,-1.081805,-0.3314803,0.35752845,-3.868619e-05,4.164947e-05,-0.019050641,-0.03405218,-3.8686936e-05,4.16486e-05,-0.019049903,-0.03405086,0.30566573024907073,0.2862913308188002
15,15,15,0.000128209,-0.00027274375,0.0002304189,-7.606635e-05,-0.2096486,-0.37678105,-0.60311145,-1.0839137,-0.33263284,0.35891154,-4.152436e-05,4.471126e-05,-0.018984253,-0.034118555,-4.152522e-05,4.4710265e-05,-0.018983465,-0.03411714,0.30668404107103525,0.28715656439660703
16,16,16,0.000136755,-0.0002736317,0.00023130684,-7.636232e-05,-0.20964867,-0.37824705,-0.6031117,-1.0881311,-0.33378547,0.36029464,-4.437238e-05,4.778488e-05,-0.01898426,-0.034251306,-4.4373362e-05,4.778374e-05,-0.018983418,-0.034249786,0.3077013233421991,0.28802111746952275
17,17,17,0.0001453049999999,-0.00027451964,0.00023219474,-7.65103e-05,-0.2096488,-0.37898007,-0.6031121,-1.0902398,-0.3350533,0.36167768,-4.7230744e-05,5.0870316e-05,-0.018984273,-0.034317683,-4.723186e-05,5.0869025e-05,-0.018983377,-0.034316063,0.30871752773844285,0.28897121614886045
18,18,18,0.00015385,-0.0002754075,0.00023308268,-7.665833e-05,-0.20964845,-0.37971333,-0.6031111,-1.0923492,-0.33632103,0.36306077,-5.0099945e-05,5.3967575e-05,-0.01898424,-0.03438408,-5.01012e-05,5.396612e-05,-0.018983288,-0.03438236,0.3097327371937137,0.2899203381651433
19,19,19,0.000162397,-0.0002761475,0.00023397063,-7.680632e-05,-0.2089156,-0.38044634,-0.6010029,-1.0944579,-0.33747366,0.3644439,-5.297949e-05,5.7076657e-05,-0.01891788,-0.034450457,-5.2980893e-05,5.7075027e-05,-0.018916877,-0.03444863,0.3107469463598961,0.290782506136162
20,20,20,0.000170947,-0.00027703543,0.00023500655,-7.710228e-05,-0.20818256,-0.38191235,-0.598894,-1.0986753,-0.33874148,0.3660575,-5.586938e-05,6.0198545e-05,-0.0188515,-0.034583207,-5.587094e-05,6.0196733e-05,-0.018850448,-0.034581274,0.31192885396692915,0.29172997861391187
21,21,21,0.000179492,-0.00027792336,0.00023589449,-7.725027e-05,-0.20818248,-0.38264537,-0.5988938,-1.100784,-0.34000936,0.36744058,-5.8770103e-05,6.333324e-05,-0.018851493,-0.034649584,-5.877183e-05,6.333124e-05,-0.018850384,-0.034647547,0.3129408028160226,0.2926765990130514
22,22,22,0.000188037,-0.00027866336,0.00023678245,-7.739825e-05,-0.20744957,-0.38337836,-0.59678537,-1.1028926,-0.34116197,0.3688237,-6.1681174e-05,6.6479755e-05,-0.018785125,-0.034715958,-6.168307e-05,6.647754e-05,-0.018783966,-0.034713816,0.31395175788195595,0.2935363800036253
23,23,23,0.0001965869999999,-0.00027955123,0.00023781837,-7.769421e-05,-0.20671622,-0.38484436,-0.5946757,-1.1071099,-0.34242976,0.37043732,-6.460259e-05,6.963908e-05,-0.01871872,-0.03484871,-6.4604676e-05,6.9636655e-05,-0.01871751,-0.03484646,0.31512990058165724,0.2944812257341765
24,24,24,0.000205133,-0.00028043918,0.00023870626,-7.784224e-05,-0.20671658,-0.3855776,-0.59467673,-1.1092193,-0.34369755,0.37182033,-6.7534835e-05,7.2811206e-05,-0.018718751,-0.034915105,-6.753712e-05,7.280856e-05,-0.018717486,-0.034912746,0.31613856591786804,0.2954251795739061
25,25,25,0.0002136819999999,-0.0002813271,0.00023959421,-7.8138204e-05,-0.20671643,-0.3870436,-0.5946763,-1.1134367,-0.34485012,0.37320346,-7.047743e-05,7.599516e-05,-0.018718738,-0.035047855,-7.047991e-05,7.599227e-05,-0.01871742,-0.035045385,0.31714630226032875,0.29628257190022983
26,26,26,0.0002222269999999,-0.00028221507,0.00024048216,-7.828619e-05,-0.20671651,-0.3877766,-0.59467655,-1.1155454,-0.346118,0.37458655,-7.343037e-05,7.919093e-05,-0.018718746,-0.035114232,-7.343306e-05,7.91878e-05,-0.01871737,-0.035111655,0.318152994992868,0.29722489454195633
27,27,27,0.000230774,-0.00028310303,0.0002413701,-7.843417e-05,-0.20671658,-0.3885096,-0.59467673,-1.1176541,-0.34738585,0.37596968,-7.639414e-05,8.2398525e-05,-0.018718751,-0.035180606,-7.639706e-05,8.2395134e-05,-0.01871732,-0.03517792,0.31915870438465926,0.29816630778228786
28,28,28,0.0002393229999999,-0.00028384294,0.000242258,-7.873014e-05,-0.20598352,-0.38997564,-0.5925679,-1.1218715,-0.34842312,0.37735268,-7.936777e-05,8.561794e-05,-0.018652372,-0.03531336,-7.937092e-05,8.561428e-05,-0.018650891,-0.03531056,0.3201633089572339,0.2989358504781778
29,29,29,0.000247869,-0.0002847308,0.00024329398,-7.887812e-05,-0.20524989,-0.39070863,-0.59045744,-1.1239802,-0.34980622,0.3789664,-8.235173e-05,8.885017e-05,-0.018585939,-0.035379734,-8.235512e-05,8.884622e-05,-0.018584408,-0.03537682,0.321334233032088,0.2999610414066393
30,30,30,0.000256417,-0.0002857668,0.00024418187,-7.9026155e-05,-0.20598346,-0.39144188,-0.5925677,-1.1260896,-0.35118926,0.38034943,-8.534753e-05,9.209519e-05,-0.018652365,-0.035446133,-8.535117e-05,9.209095e-05,-0.018650772,-0.03544311,0.32233667726176257,0.3009851379896329
31,31,31,0.0002649649999999,-0.00028665477,0.0002450698,-7.932212e-05,-0.20598374,-0.3929079,-0.5925685,-1.130307,-0.3523419,0.38173246,-8.835415e-05,9.535204e-05,-0.01865239,-0.035578884,-8.835806e-05,9.53475e-05,-0.018650742,-0.03557574,0.3233381176032616,0.30183783026623223
32,32,32,0.00027351,-0.00028754264,0.00024610574,-7.9470105e-05,-0.20525025,-0.39364094,-0.59045845,-1.1324157,-0.353725,0.38334614,-9.1371614e-05,9.8621706e-05,-0.018585972,-0.03564526,-9.137579e-05,9.861684e-05,-0.018584274,-0.035642006,0.32450530336296907,0.30286005194185883
33,33,33,0.00028206,-0.00028843057,0.00024699364,-7.961808e-05,-0.2052504,-0.3943739,-0.59045887,-1.1345243,-0.35499278,0.38472915,-9.4400406e-05,0.00010190417,-0.018585986,-0.035711635,-9.4404866e-05,0.00010189898,-0.01858423,-0.035708264,0.3255045609482495,0.303796125904184
34,34,34,0.0002906069999999,-0.00028931853,0.0002480296,-7.991405e-05,-0.20451733,-0.3958399,-0.58835,-1.1387417,-0.35626063,0.3863428,-9.744004e-05,0.00010519944,-0.018519605,-0.035844386,-9.744478e-05,0.0001051939,-0.0185178,-0.03584089,0.32666920063390914,0.30473137606393574
35,35,35,0.000299152,-0.00029020646,0.00024891752,-8.006203e-05,-0.20451733,-0.39657292,-0.58835,-1.1408504,-0.3575285,0.3877259,-0.000100490506,0.00010850752,-0.018519605,-0.035910763,-0.000100495556,0.000108501634,-0.018517744,-0.035907153,0.3276663641970216,0.3056657670807106
36,36,36,0.000307701,-0.0002910944,0.00024995342,-8.035805e-05,-0.20378442,-0.3980392,-0.5862416,-1.1450685,-0.3587962,0.38933945,-0.00010355181,0.000111828405,-0.018453237,-0.036043536,-0.00010355717,0.00011182215,-0.018451326,-0.036039803,0.32882841836443555,0.3065991607151591
37,37,37,0.0003162469999999,-0.00029198232,0.00025084137,-8.050603e-05,-0.20378429,-0.3987722,-0.5862412,-1.1471772,-0.36006412,0.39072257,-0.00010662394,0.000115162096,-0.018453224,-0.036109913,-0.00010662963,0.00011515546,-0.018451257,-0.03610606,0.3298234466078102,0.3075318456953966
38,38,38,0.000324797,-0.00029287027,0.0002518773,-8.0802e-05,-0.20305137,-0.40023822,-0.5841328,-1.1513946,-0.36133194,0.39233616,-0.00010970692,0.00011850859,-0.018386858,-0.036242664,-0.000109712935,0.00011850157,-0.01838484,-0.03623869,0.3309830270100581,0.30846358812741925
39,39,39,0.000333342,-0.0002937582,0.00025276525,-8.094998e-05,-0.20305122,-0.40097123,-0.5841324,-1.1535033,-0.36259985,0.3937193,-0.00011280073,0.000121867895,-0.018386845,-0.03630904,-0.000112807094,0.000121860474,-0.018384771,-0.036304947,0.3319759290778663,0.30939452927376115
40,40,40,0.0003418869999999,-0.00029479415,0.0002538012,-8.124594e-05,-0.20305122,-0.4024372,-0.5841324,-1.1577206,-0.36398295,0.39533293,-0.000115905874,0.00012524001,-0.018386845,-0.036441788,-0.00011591259,0.00012523217,-0.018384714,-0.036437564,0.33313304629688917,0.3104090593431447
41,41,41,0.000350437,-0.00029568208,0.00025483704,-8.139397e-05,-0.20231861,-0.40317044,-0.58202475,-1.15983,-0.36536592,0.39694643,-0.000119022836,0.0001286259,-0.018320503,-0.036508188,-0.000119029915,0.00012861764,-0.018318322,-0.036503844,0.33428873308288776,0.3114224659717801
42,42,42,0.0003589839999999,-0.00029656998,0.00025572503,-8.1541955e-05,-0.20231818,-0.40390345,-0.5820235,-1.1619387,-0.3666338,0.3983296,-0.00012215112,0.00013202462,-0.018320464,-0.036574565,-0.00012215858,0.0001320159,-0.018318227,-0.0365701,0.33527838140244215,0.3123506359724881
43,43,43,0.000367533,-0.0002974579,0.00025676092,-8.1689934e-05,-0.20158526,-0.40463644,-0.5799151,-1.1640474,-0.36801687,0.39994314,-0.00012529074,0.00013543614,-0.018254096,-0.03664094,-0.0001252986,0.00013542696,-0.018251808,-0.03663635,0.3364316215107162,0.3133621509956668
