Time,Incident
0.053050626,-0.000334455
0.053060003,-0.000335195
0.05306938,-0.000335935
0.05307876,-0.000336527
0.053088136,-0.000337267
0.053097513,-0.000338007
0.053106893,-0.000338599
0.05311627,-0.000339339
0.05312565,-0.000340079
0.053135026,-0.000340671
0.053144403,-0.000341411
0.053153783,-0.000342003
0.05316316,-0.000342743
0.053172536,-0.000343483
0.053181916,-0.000344222
0.053191293,-0.000344814
0.05320067,-0.000345554
0.05321005,-0.000346294
0.053219426,-0.000346886
0.053228803,-0.000347626
0.053238183,-0.000348366
0.05324756,-0.000349106
0.053256936,-0.000349846
0.053266317,-0.000350438
0.053275693,-0.000351178
0.053285073,-0.000351918
0.05329445,-0.000352658
0.053303827,-0.000353398
0.053313207,-0.000354138
0.053322583,-0.00035473
0.05333196,-0.00035547
0.05334134,-0.00035621
0.053350717,-0.00035695
0.053360093,-0.000357689
0.053369474,-0.000358429
0.05337885,-0.000359169
0.053388227,-0.000359909
0.053397607,-0.000360649
0.053406984,-0.000361389
0.05341636,-0.000362129
0.05342574,-0.000363017
0.053435117,-0.000363757
0.053444497,-0.000364497
0.053453874,-0.000365237
0.05346325,-0.000365977
0.05347263,-0.000366717
0.053482007,-0.000367457
0.053491384,-0.000368197
0.053500764,-0.000368937
0.05351014,-0.000369825
0.053519517,-0.000370564
0.053528897,-0.000371304
0.053538274,-0.000372044
0.05354765,-0.000372932
0.05355703,-0.000373672
0.053566407,-0.000374412
0.053575784,-0.000375152
0.053585164,-0.00037604
0.05359454,-0.00037678
0.05360392,-0.00037752
0.053613298,-0.000378408
0.053622674,-0.000379148
0.053632054,-0.000379888
0.05364143,-0.000380776
0.053650808,-0.000381516
0.053660188,-0.000382256
0.053669564,-0.000383144
0.05367894,-0.000383883
0.05368832,-0.000384771
0.053697698,-0.000385511
0.053707074,-0.000386399
0.053716455,-0.000387287
0.05372583,-0.000388027
0.053735208,-0.000388915
0.053744588,-0.000389655
0.053753965,-0.000390543
0.053763345,-0.000391283
0.05377272,-0.000392171
0.053782098,-0.000393059
0.05379148,-0.000393947
0.053800855,-0.000394835
0.05381023,-0.000395575
0.05381961,-0.000396463
0.05382899,-0.000397351
0.053838365,-0.00039809
0.053847745,-0.000398978
0.05385712,-0.000399866
0.0538665,-0.000400754
0.05387588,-0.000401642
0.053885255,-0.00040253
0.05389463,-0.000403418
0.05390401,-0.000404306
0.05391339,-0.000405194
0.05392277,-0.000406082
0.053932145,-0.00040697
0.05394152,-0.000407858
0.053950902,-0.000408746
0.05396028,-0.000409634
0.053969655,-0.000410522
0.053979035,-0.00041141
0.053988412,-0.000412297
0.05399779,-0.000413185
0.05400717,-0.000414073
0.054016545,-0.000414961
0.054025922,-0.000415997
0.054035302,-0.000416885
0.05404468,-0.000417773
0.054054055,-0.000418661
0.054063436,-0.000419697
0.054072812,-0.000420585
0.054082192,-0.000421473
0.05409157,-0.000422509
0.054100946,-0.000423397
0.054110326,-0.000424285
0.054119702,-0.000425172
0.05412908,-0.000426208
0.05413846,-0.000427096
0.054147836,-0.000427984
0.054157212,-0.00042902
0.054166593,-0.000429908
0.05417597,-0.000430944
0.054185346,-0.000431832
0.054194726,-0.000432868
0.054204103,-0.000433756
0.054213483,-0.000434792
0.05422286,-0.000435828
0.054232236,-0.000436864
0.054241616,-0.000437752
0.054250993,-0.000438787
0.05426037,-0.000439823
0.05426975,-0.000440859
0.054279126,-0.000441747
0.054288503,-0.000442783
0.054297883,-0.000443819
0.05430726,-0.000444707
0.054316636,-0.000445743
0.054326016,-0.000446779
0.054335393,-0.000447815
0.05434477,-0.000448851
0.05435415,-0.000449887
0.054363526,-0.000450923
0.054372907,-0.000451958
0.054382283,-0.000452994
0.05439166,-0.00045403
0.05440104,-0.000454918
0.054410417,-0.000456102
0.054419793,-0.000457138
0.054429173,-0.000458174
0.05443855,-0.00045921
0.054447927,-0.000460246
0.054457307,-0.000461282
0.054466683,-0.000462318
0.05447606,-0.000463354
0.05448544,-0.00046439
0.054494817,-0.000465573
0.054504193,-0.000466609
0.054513574,-0.000467645
0.05452295,-0.000468681
0.05453233,-0.000469865
0.054541707,-0.000470901
0.054551084,-0.000471937
0.054560464,-0.000473121
0.05456984,-0.000474157
0.054579217,-0.000475341
0.054588597,-0.000476377
0.054597974,-0.000477561
0.05460735,-0.000478744
0.05461673,-0.00047978
0.054626107,-0.000480964
0.054635484,-0.000482148
0.054644864,-0.000483184
0.05465424,-0.000484368
0.054663617,-0.000485552
0.054672997,-0.000486588
0.054682374,-0.000487772
0.054691754,-0.000488956
0.05470113,-0.000489991
0.054710507,-0.000491176
0.054719888,-0.00049236
0.054729264,-0.000493543
0.05473864,-0.000494727
0.05474802,-0.000495911
0.054757398,-0.000497095
0.054766774,-0.000498279
0.054776154,-0.000499463
0.05478553,-0.000500647
0.054794908,-0.000501831
0.054804288,-0.000503015
0.054813664,-0.000504199
0.05482304,-0.000505382
0.05483242,-0.000506714
0.054841798,-0.000507898
0.054851178,-0.000509082
0.054860555,-0.000510266
0.05486993,-0.000511598
0.05487931,-0.000512782
0.054888688,-0.000514114
0.054898065,-0.000515298
0.054907445,-0.000516482
0.05491682,-0.000517813
0.054926198,-0.000518997
0.05493558,-0.000520329
0.054944955,-0.000521513
0.05495433,-0.000522845
0.05496371,-0.000524029
0.05497309,-0.000525361
0.054982465,-0.000526693
0.054991845,-0.000527877
0.05500122,-0.000529209
0.055010602,-0.000530541
0.05501998,-0.000531724
0.055029355,-0.000533056
0.055038735,-0.000534388
0.05504811,-0.00053572
0.05505749,-0.000537052
0.05506687,-0.000538384
0.055076245,-0.000539716
0.05508562,-0.000541048
0.055095002,-0.00054238
0.05510438,-0.000543712
0.055113755,-0.000545044
0.055123135,-0.000546376
0.055132512,-0.000547856
0.055141892,-0.000549187
0.05515127,-0.000550519
0.055160645,-0.000551851
0.055170026,-0.000553331
0.055179402,-0.000554663
0.05518878,-0.000555995
0.05519816,-0.000557474
0.055207536,-0.000558806
0.055216912,-0.000560138
0.055226292,-0.000561618
0.05523567,-0.000563098
0.055245046,-0.00056443
0.055254426,-0.000565762
0.055263802,-0.000567242
0.05527318,-0.000568722
0.05528256,-0.000570054
0.055291936,-0.000571534
0.055301316,-0.000573014
0.055310693,-0.000574493
0.05532007,-0.000575973
0.05532945,-0.000577453
0.055338826,-0.000578785
0.055348203,-0.000580265
0.055357583,-0.000581745
0.05536696,-0.000583225
0.055376336,-0.000584705
0.055385716,-0.000586185
0.055395093,-0.000587664
0.05540447,-0.000589144
0.05541385,-0.000590624
0.055423226,-0.000592104
0.055432603,-0.000593584
0.055441983,-0.000595212
0.05545136,-0.000596692
0.05546074,-0.000598172
0.055470116,-0.000599651
0.055479493,-0.00060128
0.055488873,-0.000602759
0.05549825,-0.000604239
0.055507626,-0.000605867
0.055517007,-0.000607347
0.055526383,-0.000608975
0.05553576,-0.000610455
0.05554514,-0.000612083
0.055554517,-0.000613562
0.055563893,-0.000615191
0.055573273,-0.00061667
0.05558265,-0.000618298
0.055592027,-0.000619926
0.055601407,-0.000621406
0.055610783,-0.000623034
0.055620164,-0.000624662
0.05562954,-0.00062629
0.055638917,-0.000627917
0.055648297,-0.000629397
0.055657674,-0.000631025
0.05566705,-0.000632653
0.05567643,-0.000634281
0.055685807,-0.000635909
0.055695184,-0.000637537
0.055704564,-0.000639165
0.05571394,-0.000640792
0.055723317,-0.000642568
0.055732697,-0.000644196
0.055742074,-0.000645824
0.05575145,-0.000647452
0.05576083,-0.000649228
0.055770207,-0.000650856
0.055779587,-0.000652483
0.055788964,-0.000654112
0.05579834,-0.000655887
0.05580772,-0.000657515
0.055817097,-0.000659291
0.055826474,-0.000660919
0.055835854,-0.000662695
0.05584523,-0.000664471
0.055854607,-0.000666099
0.055863988,-0.000667874
0.055873364,-0.00066965
0.05588274,-0.000671426
0.05589212,-0.000673202
0.055901498,-0.000674978
0.055910874,-0.000676754
0.055920254,-0.00067853
0.05592963,-0.000680305
0.05593901,-0.000682081
0.055948388,-0.000683857
0.055957764,-0.000685633
0.055967145,-0.000687409
