Time (ms),Velocity (mm/ms)
0.0,0.0073303697
7.547155380791895e-06,0.0073303697
1.509431076158379e-05,0.0073303697
2.2641466142375685e-05,0.0073303697
3.018862152316758e-05,0.0073303697
3.773577690395948e-05,0.0073303697
4.528293228475137e-05,0.0073303697
5.283008766554327e-05,0.0080634
6.037724304633516e-05,0.0073303697
6.792439842712706e-05,0.0073303697
7.547155380791895e-05,0.0080634
8.301870918871085e-05,0.0080634
9.056586456950274e-05,0.0080634
9.811301995029463e-05,0.0080634
0.00010566017533108654,0.0073303697
0.00011320733071187843,0.0073303697
0.00012075448609267032,0.0073303697
0.00012830164147346223,0.0073303697
0.00013584879685425412,0.0073303697
0.00014339595223504601,0.0073303697
0.0001509431076158379,0.0073303697
0.0001584902629966298,0.0073303697
0.0001660374183774217,0.0073303697
0.00017358457375821359,0.0080634
0.00018113172913900548,0.0073303697
0.00018867888451979737,0.0073303697
0.00019622603990058926,0.0073303697
0.00020377319528138118,0.0073303697
0.00021132035066217308,0.0073303697
0.00021886750604296497,0.0073303697
0.00022641466142375686,0.0073303697
0.00023396181680454875,0.0073303697
0.00024150897218534065,0.0073303697
0.00024905612756613257,0.0073303697
0.00025660328294692446,0.0073303697
0.00026415043832771635,0.0073303697
0.00027169759370850824,0.0073303697
0.00027924474908930014,0.0073303697
0.00028679190447009203,0.0073303697
0.0002943390598508839,0.0073303697
0.0003018862152316758,0.0073303697
0.0003094333706124677,0.0073303697
0.0003169805259932596,0.0073303697
0.0003245276813740515,0.0073303697
0.0003320748367548434,0.0073303697
0.0003396219921356353,0.0073303697
0.00034716914751642717,0.0073303697
0.00035471630289721906,0.0073303697
0.00036226345827801096,0.0073303697
0.00036981061365880285,0.0073303697
0.00037735776903959474,0.0073303697
0.00038490492442038663,0.0073303697
0.0003924520798011785,0.0073303697
0.0003999992351819704,0.0073303697
0.00040754639056276237,0.0073303697
0.00041509354594355426,0.0073303697
0.00042264070132434615,0.0073303697
0.00043018785670513804,0.0073303697
0.00043773501208592994,0.0073303697
0.00044528216746672183,0.0073303697
0.0004528293228475137,0.0073303697
0.0004603764782283056,0.0073303697
0.0004679236336090975,0.0073303697
0.0004754707889898894,0.0073303697
0.0004830179443706813,0.0073303697
0.0004905650997514732,0.0073303697
0.0004981122551322651,0.0073303697
0.000505659410513057,0.0073303697
0.0005132065658938489,0.0073303697
0.0005207537212746408,0.0073303697
0.0005283008766554327,0.0073303697
0.0005358480320362246,0.0073303697
0.0005433951874170165,0.0080634
0.0005509423427978084,0.0080634
0.0005584894981786003,0.0080634
0.0005660366535593922,0.0080634
0.0005735838089401841,0.0073303697
0.000581130964320976,0.0080634
0.0005886781197017678,0.0080634
0.0005962252750825597,0.0073303697
0.0006037724304633516,0.0073303697
0.0006113195858441435,0.0073303697
0.0006188667412249354,0.0080634
0.0006264138966057273,0.0080634
0.0006339610519865192,0.0080634
0.0006415082073673111,0.0080634
0.000649055362748103,0.0080634
0.0006566025181288949,0.0080634
0.0006641496735096868,0.0080634
0.0006716968288904787,0.0080634
0.0006792439842712706,0.0080634
0.0006867911396520624,0.0080634
0.0006943382950328543,0.0080634
0.0007018854504136462,0.0080634
0.0007094326057944381,0.0080634
0.00071697976117523,0.0080634
0.0007245269165560219,0.0080634
0.0007320740719368138,0.0080634
0.0007396212273176057,0.0080634
0.0007471683826983976,0.0080634
0.0007547155380791895,0.0080634
0.0007622626934599814,0.0080634
0.0007698098488407733,0.0080634
0.0007773570042215652,0.0080634
0.000784904159602357,0.0080634
0.0007924513149831489,0.0080634
0.0007999984703639408,0.0080634
0.0008075456257447328,0.0080634
0.0008150927811255247,0.0080634
0.0008226399365063166,0.0080634
0.0008301870918871085,0.0080634
0.0008377342472679004,0.0080634
0.0008452814026486923,0.0080634
0.0008528285580294842,0.0080634
0.0008603757134102761,0.0080634
0.000867922868791068,0.0080634
0.0008754700241718599,0.0080634
0.0008830171795526518,0.0080634
0.0008905643349334437,0.0080634
0.0008981114903142356,0.0080634
0.0009056586456950274,0.0080634
0.0009132058010758193,0.0080634
0.0009207529564566112,0.0073303697
0.0009283001118374031,0.0073303697
0.000935847267218195,0.0073303697
0.0009433944225989869,0.0073303697
0.0009509415779797788,0.0073303697
0.0009584887333605707,0.0073303697
0.0009660358887413626,0.0073303697
0.0009735830441221545,0.0073303697
0.0009811301995029465,0.0073303697
0.0009886773548837384,0.0073303697
0.0009962245102645303,0.0073303697
0.0010037716656453222,0.0073303697
0.001011318821026114,0.0073303697
0.001018865976406906,0.0073303697
0.0010264131317876978,0.0073303697
0.0010339602871684897,0.0073303697
0.0010415074425492816,0.0073303697
0.0010490545979300735,0.0073303697
0.0010566017533108654,0.0073303697
0.0010641489086916573,0.0073303697
0.0010716960640724492,0.0073303697
0.001079243219453241,0.0073303697
0.001086790374834033,0.0073303697
0.0010943375302148249,0.0073303697
0.0011018846855956168,0.0073303697
0.0011094318409764087,0.0073303697
0.0011169789963572005,0.0073303697
0.0011245261517379924,0.0073303697
0.0011320733071187843,0.0073303697
0.0011396204624995762,0.0073303697
0.0011471676178803681,0.0073303697
0.00115471477326116,0.0073303697
0.001162261928641952,0.0073303697
0.0011698090840227438,0.0073303697
0.0011773562394035357,0.0073303697
0.0011849033947843276,0.0073303697
0.0011924505501651195,0.0073303697
0.0011999977055459114,0.0073303697
0.0012075448609267033,0.0073303697
0.0012150920163074951,0.0073303697
0.001222639171688287,0.0073303697
0.001230186327069079,0.0073303697
0.0012377334824498708,0.0073303697
0.0012452806378306627,0.0073303697
0.0012528277932114546,0.0073303697
