,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,True Strain Rate 1W,True Strain Rate 3W
0,0,0,0,0,0.0,-0.00043582765,0.0001860222,-7.7990226e-05,-1.2373666,-0.3863106,-3.559623,-1.111328,-0.42357093,0.2897571,0.0,0.0,-0.11204693,-0.03498148,0.0,0.0,-0.11204693,-0.03498148,0.25445390607028856,0.35316845438359307
1,1,1,1,1,9.009999999996798e-06,-0.00043701156,0.00018720611,-7.8138204e-05,-1.2373666,-0.3870436,-3.559623,-1.1134367,-0.42529982,0.29160124,-3.826166e-06,2.6203913e-06,-0.11204693,-0.035047855,-3.8261733e-06,2.6203877e-06,-0.112046495,-0.03504772,0.2558827199510731,0.354382191589638
2,2,2,2,2,1.8024999999997904e-05,-0.0004380475,0.00018839003,-7.828619e-05,-1.2366335,-0.3877766,-3.5575142,-1.1155454,-0.4269134,0.29344535,-7.667398e-06,5.257407e-06,-0.11198054,-0.035114232,-7.667427e-06,5.257393e-06,-0.111979686,-0.035113964,0.25730947204131377,0.3555136498977528
3,3,3,3,3,2.703999999999901e-05,-0.0004392314,0.0001897219,-7.843417e-05,-1.2359005,-0.3885096,-3.5554059,-1.1176541,-0.42875755,0.29551995,-1.1524215e-05,7.9120855e-06,-0.11191418,-0.035180606,-1.1524281e-05,7.912054e-06,-0.11191289,-0.0351802,0.2589121203611253,0.3568052204523789
4,4,4,4,4,3.605599999999959e-05,-0.00044026732,0.00019090582,-7.8582154e-05,-1.2351675,-0.38924262,-3.553297,-1.1197628,-0.43037114,0.29736406,-1.5396618e-05,1.05844265e-05,-0.111847796,-0.035246983,-1.5396736e-05,1.0584371e-05,-0.111846074,-0.03524644,0.2603345598561627,0.35793394905907433
5,5,5,5,5,4.506999999999428e-05,-0.00044130324,0.00019223771,-7.873014e-05,-1.2337013,-0.38997564,-3.5490792,-1.1218715,-0.43210003,0.2994387,-1.9284085e-05,1.3274432e-05,-0.11171503,-0.03531336,-1.928427e-05,1.32743435e-05,-0.11171288,-0.03531268,0.261932401997548,0.3591419194507774
6,6,6,6,6,5.408599999999486e-05,-0.0004423392,0.00019342163,-7.887812e-05,-1.2329684,-0.39070863,-3.5469708,-1.1239802,-0.43371364,0.30128282,-2.3186618e-05,1.59821e-05,-0.11164867,-0.035379734,-2.3186887e-05,1.5981972e-05,-0.111646086,-0.035378914,0.26335056253099204,0.3602680290701243
7,7,7,7,7,6.309999999999649e-05,-0.00044337506,0.00019475358,-7.9026155e-05,-1.2315019,-0.39144188,-3.542752,-1.1260896,-0.43544242,0.30335754,-2.7104217e-05,1.8707431e-05,-0.11151587,-0.035446133,-2.7104585e-05,1.8707256e-05,-0.11151285,-0.035445172,0.26494365804671627,0.3614731083150737
8,8,8,8,8,7.211299999999865e-05,-0.000444559,0.00019608546,-7.9026155e-05,-1.2307692,-0.39144188,-3.540644,-1.1260896,-0.43740183,0.30543214,-3.1038442e-05,2.1451466e-05,-0.11144952,-0.035446133,-3.1038922e-05,2.1451235e-05,-0.11144606,-0.035445035,0.26653412772177615,0.3628371991834387
9,9,9,9,9,8.112799999999976e-05,-0.00044559495,0.00019741735,-7.917413e-05,-1.2293034,-0.39217487,-3.536427,-1.1281983,-0.43913072,0.30750674,-3.4989287e-05,2.4214201e-05,-0.11131678,-0.035512507,-3.4989902e-05,2.4213909e-05,-0.11131288,-0.035511263,0.2681220718193716,0.3640392646411591
