,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E,True Strain Rate 1W,True Strain Rate 3W
0,0,0,0,0.0,-0.00032010025,8.435372e-05,-6.718701e-05,-1.1677282,-0.3327988,-3.3592892,-0.95738673,-0.26267162,0.1313934,0.0,0.0,-0.10574098,-0.030135842,0.0,0.0,-0.10574098,-0.030135842,445.02982,19.60594,30.904772,394.5191,391.1996,785.7187,0.1234499704292599,0.23322980956249414
1,1,1,1,7.92400000000637e-06,-0.00032069217,8.524166e-05,-6.718701e-05,-1.1662619,-0.3327988,-3.355071,-0.95738673,-0.26382416,0.1327765,-2.0861328e-06,1.0467197e-06,-0.1056082,-0.030135842,-2.0861348e-06,1.0467191e-06,-0.10560798,-0.030135779,446.6772,19.60594,31.55883,395.51245,392.18457,787.697,0.12467169868563949,0.2341421721233756
2,2,2,2,1.5851000000004223e-05,-0.00032113618,8.598163e-05,-6.718701e-05,-1.164796,-0.3327988,-3.350854,-0.95738673,-0.26474628,0.13392912,-4.1804856e-06,2.1034866e-06,-0.105475456,-0.030135842,-4.1804947e-06,2.1034846e-06,-0.105475016,-0.030135715,447.91492,19.60594,32.10912,396.19986,392.8662,789.06604,0.12568869894290718,0.23487153289283721
3,3,3,3,2.377500000000365e-05,-0.00032172815,8.672154e-05,-6.7334986e-05,-1.1640631,-0.3335318,-3.3487456,-0.95949537,-0.26566833,0.13508163,-6.282146e-06,3.1693874e-06,-0.1054091,-0.030202216,-6.2821655e-06,3.1693824e-06,-0.10540844,-0.030202026,449.5678,19.692398,32.664127,397.21127,393.8691,791.0804,0.1267045690520419,0.23560030677610946
4,4,4,4,3.169700000000414e-05,-0.00032232006,8.7609485e-05,-6.7334986e-05,-1.1625968,-0.3335318,-3.3445275,-0.95949537,-0.26682088,0.13646474,-8.392027e-06,4.245335e-06,-0.10527632,-0.030202216,-8.392061e-06,4.2453257e-06,-0.10527543,-0.030201962,451.22354,19.692398,33.33645,398.19467,394.84424,793.03894,0.1279223387521825,0.2365105180220421
5,5,5,5,3.962200000000304e-05,-0.00032276404,8.849743e-05,-6.7334986e-05,-1.1603976,-0.3335318,-3.338201,-0.95949537,-0.2678582,0.13784784,-1.0510584e-05,5.332243e-06,-0.105077185,-0.030202216,-1.0510639e-05,5.3322287e-06,-0.10507608,-0.030201899,452.46747,19.692398,34.015617,398.75946,395.40427,794.1637,0.12913861850428748,0.23732902010863552
6,6,6,6,4.755000000000037e-05,-0.000323356,8.9237394e-05,-6.748297e-05,-1.1596646,-0.3342648,-3.3360922,-0.96160406,-0.26878032,0.13900045,-1.2636905e-05,6.429198e-06,-0.1050108,-0.030268593,-1.2636985e-05,6.4291776e-06,-0.105009474,-0.03026821,454.12872,19.779053,34.586838,399.76282,396.39917,796.162,0.1301510795483735,0.2380560610593647
7,7,7,7,5.547300000000033e-05,-0.00032394796,9.012529e-05,-6.763096e-05,-1.1581987,-0.33499783,-3.331875,-0.9637128,-0.26981756,0.14038348,-1.477099e-05,7.5362004e-06,-0.10487805,-0.03033497,-1.4771099e-05,7.536172e-06,-0.1048765,-0.030334521,455.7929,19.865896,35.278526,400.64847,397.2774,797.9259,0.13136459180624255,0.23887323660803422
8,8,8,8,6.339699999999976e-05,-0.00032453993,9.101323e-05,-6.763096e-05,-1.1567326,-0.33499783,-3.3276575,-0.9637128,-0.27097017,0.14176658,-1.6913751e-05,8.654162e-06,-0.1047453,-0.03033497,-1.6913895e-05,8.654125e-06,-0.104743525,-0.030334458,457.46024,19.865896,35.977097,401.61722,398.238,799.8552,0.13257669454530321,0.23978052222300844
9,9,9,9,7.132100000000613e-05,-0.00032498385,9.1753194e-05,-6.763096e-05,-1.1552662,-0.33499783,-3.3234391,-0.9637128,-0.27189222,0.14291918,-1.9064733e-05,9.782172e-06,-0.104612514,-0.03033497,-1.9064915e-05,9.782125e-06,-0.10461052,-0.030334393,458.71255,19.865896,36.564487,402.28217,398.89734,801.1795,0.13358567365128107,0.2405057286235095
10,10,10,10,7.924700000000451e-05,-0.00032557582,9.2641145e-05,-6.777898e-05,-1.1538001,-0.33573103,-3.3192215,-0.96582204,-0.27292955,0.1443023,-2.1223479e-05,1.0920229e-05,-0.10447976,-0.030401362,-2.1223705e-05,1.0920169e-05,-0.10447754,-0.030400718,460.38522,19.952951,37.275623,403.15662,399.76447,802.9211,0.13479510630193456,0.2413209763313702
11,11,11,11,8.717200000000341e-05,-0.00032616782,9.352904e-05,-6.777898e-05,-1.1523346,-0.33573103,-3.3150053,-0.96582204,-0.2740821,0.14568533,-2.3390903e-05,1.2069247e-05,-0.10434704,-0.030401362,-2.3391176e-05,1.2069174e-05,-0.1043446,-0.03040065,462.061,19.952951,37.99356,404.11447,400.71423,804.82874,0.13600299943640887,0.24222599777378698
12,12,12,12,9.509700000000232e-05,-0.00032675973,9.441698e-05,-6.777898e-05,-1.1508682,-0.33573103,-3.3107867,-0.96582204,-0.27523467,0.14706843,-2.5567459e-05,1.3229223e-05,-0.10421426,-0.030401362,-2.5567786e-05,1.3229136e-05,-0.10421159,-0.030400585,463.73953,19.952951,38.718388,405.06818,401.6599,806.7281,0.1372094963502109,0.24313021657632497
13,13,13,13,0.000103019,-0.00032735168,9.5304924e-05,-6.7926965e-05,-1.149402,-0.33646405,-3.306569,-0.9679308,-0.27627197,0.14845152,-2.7752692e-05,1.44001615e-05,-0.1040815,-0.03046774,-2.7753076e-05,1.4400058e-05,-0.104078606,-0.030466894,465.42126,20.040174,39.45007,405.93103,402.5155,808.44653,0.13841453067575996,0.2439433048441631
14,14,14,14,0.000110947,-0.00032779563,9.6192874e-05,-6.7926965e-05,-1.1472027,-0.33646405,-3.3002422,-0.9679308,-0.27730927,0.14983463,-2.9946144e-05,1.558206e-05,-0.10388234,-0.03046774,-2.9946594e-05,1.5581938e-05,-0.10387923,-0.030466827,466.6845,20.040174,40.188602,406.45572,403.03577,809.49146,0.13961813203494738,0.24475573253653976
15,15,15,15,0.00011887,-0.0003283876,9.708082e-05,-6.807494e-05,-1.1457367,-0.33719704,-3.2960248,-0.9700394,-0.27834666,0.15121774,-3.214782e-05,1.6774919e-05,-0.10374959,-0.030534113,-3.2148335e-05,1.6774778e-05,-0.10374625,-0.030533131,468.3716,20.127584,40.933975,407.3101,403.88297,811.19305,0.14082028647923725,0.24556757112936403
16,16,16,16,0.000126794,-0.0003289796,9.796871e-05,-6.807494e-05,-1.1442711,-0.33719704,-3.2918086,-0.9700394,-0.2794992,0.15260077,-3.435817e-05,1.7978738e-05,-0.10361688,-0.030534113,-3.435876e-05,1.7978577e-05,-0.10361332,-0.030533064,470.06183,20.127584,41.686157,408.2481,404.81308,813.06116,0.14202092807503836,0.246468751373275
17,17,17,17,0.000134717,-0.0003295715,9.8708675e-05,-6.822293e-05,-1.1435378,-0.33793005,-3.2896988,-0.9721482,-0.28042126,0.15375337,-3.657674e-05,1.9192605e-05,-0.10355047,-0.03060049,-3.657741e-05,1.9192421e-05,-0.10354669,-0.03059937,471.75488,20.215189,42.318253,409.22147,405.77826,814.99976,0.14302042774073484,0.2471891331619148
18,18,18,18,0.000142645,-0.00033016352,9.959662e-05,-6.822293e-05,-1.1420717,-0.33793005,-3.2854817,-0.9721482,-0.28157386,0.15513647,-3.8803533e-05,2.0416517e-05,-0.103417724,-0.03060049,-3.8804286e-05,2.041631e-05,-0.10341371,-0.030599304,473.45123,20.215189,43.083035,410.15298,406.70193,816.8549,0.14421849283806074,0.2480889007444231
19,19,19,19,0.000150567,-0.00033075543,0.00010048457,-6.822293e-05,-1.1406054,-0.33793005,-3.2812634,-0.9721482,-0.28272644,0.15651959,-4.1039457e-05,2.1651393e-05,-0.10328494,-0.03060049,-4.10403e-05,2.1651158e-05,-0.1032807,-0.030599235,475.15033,20.215189,43.854668,411.08047,407.62164,818.70215,0.14541514158610044,0.24898784388116618
20,20,20,20,0.000158492,-0.00033134743,0.00010137246,-6.8370915e-05,-1.1391399,-0.33866307,-3.2770472,-0.9742569,-0.28376374,0.15790261,-4.328406e-05,2.2897226e-05,-0.10315223,-0.030666867,-4.3285e-05,2.2896964e-05,-0.10314777,-0.03066554,476.85272,20.302984,44.633102,411.91666,408.45078,820.36743,0.14661027371421317,0.24979618522185448
