,Unnamed: 0,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E,True Strain Rate 1W,True Strain Rate 3W
0,0,0.0,-7.9470105e-05,3.596133e-05,-7.325459e-05,-0.21551292,-0.36285347,-0.6199818,-1.0438472,-0.032848343,0.056015093,0.0,0.0,-0.019515283,-0.032857373,0.0,0.0,-0.019515283,-0.032857373,27.429926,23.307018,5.6167946,-1.4938868,-1.4813172,-2.975204,0.05450247779556773,0.03232036716205281
1,1,7.337999999999095e-06,-7.961808e-05,3.596133e-05,-7.340257e-05,-0.2162459,-0.36358646,-0.62209046,-1.0459558,-0.032848343,0.056015093,-2.4106208e-07,4.1107447e-07,-0.019581659,-0.032923747,-2.410621e-07,4.1107438e-07,-0.019581653,-0.03292374,27.532173,23.401278,5.6167946,-1.4858977,-1.4733952,-2.959293,0.05450247779556773,0.03232036716205281
2,2,1.4677000000001134e-05,-7.961808e-05,3.596133e-05,-7.355055e-05,-0.2162459,-0.36431947,-0.62209046,-1.0480646,-0.03273309,0.056015093,-4.8170125e-07,8.2214893e-07,-0.019581659,-0.032990124,-4.8170136e-07,8.2214865e-07,-0.01958165,-0.03299011,27.532173,23.495731,5.6167946,-1.5803511,-1.5670539,-3.1474051,0.05450247779556773,0.03220877340130513
3,3,2.2015999999999702e-05,-7.976607e-05,3.596133e-05,-7.369854e-05,-0.21697892,-0.3650525,-0.62419915,-1.0501733,-0.032733083,0.056015093,-7.219175e-07,1.2332234e-06,-0.019648034,-0.0330565,-7.219178e-07,1.2332226e-06,-0.01964802,-0.03305648,27.634617,23.590372,5.6167946,-1.572551,-1.5593195,-3.1318705,0.05450247779556773,0.03220876662317436
4,4,2.9352999999999324e-05,-7.991405e-05,3.596133e-05,-7.384652e-05,-0.21771191,-0.36578548,-0.6263078,-1.052282,-0.032733083,0.056015093,-9.621338e-07,1.6442979e-06,-0.01971441,-0.033122875,-9.621342e-07,1.6442966e-06,-0.01971439,-0.03312284,27.737246,23.685202,5.6167946,-1.5647509,-1.5515851,-3.1163359,0.05450247779556773,0.03220876662317436
5,5,3.669200000000136e-05,-8.006203e-05,3.596133e-05,-7.39945e-05,-0.21844493,-0.3665185,-0.62841654,-1.0543907,-0.03273309,0.056015093,-1.20235e-06,2.0553723e-06,-0.019780787,-0.033189252,-1.2023507e-06,2.0553703e-06,-0.019780762,-0.03318921,27.840069,23.780228,5.6167946,-1.5569528,-1.5438524,-3.1008053,0.05450247779556773,0.03220877340130513
6,6,4.403000000000046e-05,-8.006203e-05,3.610932e-05,-7.414248e-05,-0.2177119,-0.3672515,-0.6263078,-1.0564992,-0.032733094,0.056245606,-1.4425663e-06,2.4672927e-06,-0.019714408,-0.033255626,-1.4425674e-06,2.4672897e-06,-0.01971438,-0.033255577,27.840069,23.875437,5.663119,-1.6984862,-1.684195,-3.3826814,0.05472073968059378,0.032208777274522635
7,7,5.13699999999985e-05,-8.021006e-05,3.610932e-05,-7.429047e-05,-0.21844512,-0.3679845,-0.62841713,-1.058608,-0.032733127,0.056245606,-1.6827828e-06,2.880059e-06,-0.019780803,-0.033322003,-1.6827842e-06,2.8800546e-06,-0.01978077,-0.033321947,27.943113,23.97084,5.663119,-1.6908462,-1.6766194,-3.3674655,0.05472073968059378,0.03220880922856742
8,8,5.8708000000001065e-05,-8.035805e-05,3.610932e-05,-7.443849e-05,-0.21917816,-0.3687177,-0.6305258,-1.0607172,-0.0327331,0.056245606,-1.9229992e-06,3.2928249e-06,-0.01984718,-0.0333884,-1.923001e-06,3.2928197e-06,-0.019847143,-0.033388335,28.046316,24.066458,5.663119,-1.6832583,-1.6690953,-3.3523536,0.05472073968059378,0.032208783084349074
9,9,6.604699999999963e-05,-8.035805e-05,3.610932e-05,-7.443849e-05,-0.21917816,-0.3687177,-0.6305258,-1.0607172,-0.0327331,0.056245606,-2.1632156e-06,3.705591e-06,-0.01984718,-0.0333884,-2.163218e-06,3.7055843e-06,-0.019847138,-0.033388328,28.046316,24.066458,5.663119,-1.6832583,-1.6690953,-3.3523536,0.05472073968059378,0.032208783084349074
10,10,7.33859999999982e-05,-8.050603e-05,3.596133e-05,-7.4586475e-05,-0.2206442,-0.36945075,-0.6347434,-1.062826,-0.03261784,0.056015093,-2.403009e-06,4.1175113e-06,-0.019979937,-0.033454776,-2.4030119e-06,4.117503e-06,-0.019979889,-0.033454694,28.14971,24.162243,5.6167946,-1.6293272,-1.6156179,-3.244945,0.05450247779556773,0.03209717009123739
11,11,8.072500000000024e-05,-8.065401e-05,3.596133e-05,-7.473446e-05,-0.2213772,-0.37018377,-0.636852,-1.0649347,-0.032617833,0.056015093,-2.6423795e-06,4.528586e-06,-0.02004631,-0.033521153,-2.642383e-06,4.5285756e-06,-0.020046258,-0.033521064,28.25329,24.258217,5.6167946,-1.62172,-1.6080748,-3.2297947,0.05450247779556773,0.03209716331235011
12,12,8.806399999999881e-05,-8.065401e-05,3.596133e-05,-7.488244e-05,-0.2213772,-0.37091675,-0.636852,-1.0670434,-0.032502584,0.056015093,-2.881327e-06,4.9396604e-06,-0.02004631,-0.033587527,-2.8813313e-06,4.939648e-06,-0.020046253,-0.03358743,28.25329,24.354376,5.6167946,-1.7178804,-1.703426,-3.4213064,0.05450247779556773,0.03198554851335732
13,13,9.540200000000136e-05,-8.0802e-05,3.596133e-05,-7.5030424e-05,-0.22211021,-0.37164977,-0.6389607,-1.0691521,-0.03250259,0.056015093,-3.1198517e-06,5.3507347e-06,-0.020112688,-0.033653904,-3.1198567e-06,5.3507206e-06,-0.020112624,-0.0336538,28.357063,24.450731,5.6167946,-1.7104621,-1.6960702,-3.4065323,0.05450247779556773,0.031985554324480824
14,14,0.00010274,-8.094998e-05,3.596133e-05,-7.517841e-05,-0.22284323,-0.3723828,-0.6410695,-1.0712608,-0.032502584,0.056015093,-3.3583765e-06,5.7618095e-06,-0.020179065,-0.03372028,-3.3583822e-06,5.7617926e-06,-0.020178998,-0.03372017,28.461031,24.547277,5.6167946,-1.703042,-1.6887126,-3.3917546,0.05450247779556773,0.03198554851335732
15,15,0.0001100779999999,-8.094998e-05,3.596133e-05,-7.517841e-05,-0.22284323,-0.3723828,-0.6410695,-1.0712608,-0.032502584,0.056015093,-3.5969013e-06,6.172884e-06,-0.020179065,-0.03372028,-3.5969076e-06,6.1728647e-06,-0.020178992,-0.033720158,28.461031,24.547277,5.6167946,-1.703042,-1.6887126,-3.3917546,0.05450247779556773,0.03198554851335732
16,16,0.000117417,-8.1097955e-05,3.596133e-05,-7.532639e-05,-0.22357619,-0.37311578,-0.643178,-1.0733695,-0.032502584,0.056015093,-3.835426e-06,6.583958e-06,-0.020245435,-0.033786654,-3.8354333e-06,6.5839367e-06,-0.020245356,-0.033786524,28.565174,24.644009,5.6167946,-1.6956297,-1.6813625,-3.3769922,0.05450247779556773,0.03198554851335732
17,17,0.000124756,-8.1097955e-05,3.596133e-05,-7.5474374e-05,-0.22357619,-0.3738488,-0.643178,-1.0754782,-0.03238733,0.056015093,-4.0735276e-06,6.995033e-06,-0.020245435,-0.03385303,-4.073536e-06,6.9950083e-06,-0.020245353,-0.033852894,28.565174,24.740934,5.6167946,-1.7925558,-1.7774731,-3.5700288,0.05450247779556773,0.031873916411967046
18,18,0.0001320949999999,-8.124594e-05,3.596133e-05,-7.56224e-05,-0.2243092,-0.37458202,-0.64528674,-1.0775876,-0.03238729,0.056015093,-4.3112063e-06,7.406107e-06,-0.020311812,-0.033919428,-4.3112154e-06,7.40608e-06,-0.020311724,-0.033919282,28.66952,24.83808,5.6167946,-1.7853537,-1.7703315,-3.555685,0.05450247779556773,0.031873877666818214
19,19,0.000139433,-8.139397e-05,3.596133e-05,-7.56224e-05,-0.22504245,-0.37458202,-0.6473961,-1.0775876,-0.032502584,0.056015093,-4.549308e-06,7.8171815e-06,-0.020378208,-0.033919428,-4.5493184e-06,7.8171515e-06,-0.020378115,-0.033919275,28.774086,24.83808,5.6167946,-1.6807876,-1.6666453,-3.3474329,0.05450247779556773,0.03198554851335732
