Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E,True Strain Rate 1W,True Strain Rate 3W
0.00011195356,-0.00022731112,5.9195503e-07,-0.00013555792,-1.1230128,-0.6714618,-3.230653,-1.9316435,-0.071920626,0.0009220576,-8.02504e-06,2.3410593e-07,-0.10169187,-0.060802706,-8.025073e-06,2.341059e-07,-0.10169105,-0.060802218,336.62756,119.71762,0.002282894,216.90765,215.08258,431.99023,0.00092165894,0.06945203
0.000119950244,-0.00022760709,5.9195503e-07,-0.00013585393,-1.1244788,-0.6729281,-3.2348704,-1.9358616,-0.071920596,0.0009220576,-8.600166e-06,2.414793e-07,-0.10182463,-0.06093548,-8.600204e-06,2.4147928e-07,-0.10182375,-0.060934953,337.50476,120.24105,0.002282894,217.26141,215.43336,432.69476,0.00092165894,0.06945203
0.00012794693,-0.00022819906,2.9597996e-07,-0.00013614989,-1.128877,-0.6743941,-3.2475233,-1.9400789,-0.071920626,0.00046103259,-9.175293e-06,2.4700938e-07,-0.102222905,-0.061068226,-9.175335e-06,2.4700935e-07,-0.102221966,-0.061067667,339.26263,120.7655,0.000570733,218.49655,216.65811,435.15466,0.00046087606,0.06945203
0.0001359436,-0.00022879099,2.9597996e-07,-0.00013674183,-1.131809,-0.67732614,-3.255958,-1.9485137,-0.07192062,0.00046103259,-9.750419e-06,2.5069613e-07,-0.102488406,-0.061333735,-9.750467e-06,2.506961e-07,-0.10248741,-0.061333135,341.02496,121.8179,0.000570733,219.20647,217.36206,436.56854,0.00046087606,0.06945203
0.00014394028,-0.000229087,0.0,-0.00013703784,-1.1347414,-0.6787924,-3.2643938,-1.9527318,-0.0716901,0.0,-1.0324624e-05,2.5253948e-07,-0.10275394,-0.061466508,-1.03246775e-05,2.5253945e-07,-0.10275288,-0.061465874,341.90796,122.34589,0.0,219.56209,217.71468,437.27676,0.0,0.06923691
0.00015193697,-0.00022967893,0.0,-0.0001373338,-1.1376734,-0.6802584,-3.2728286,-1.9569491,-0.0719206,0.0,-1.0898829e-05,2.5253948e-07,-0.10301944,-0.061599255,-1.0898888e-05,2.5253945e-07,-0.10301831,-0.061598584,343.67715,122.874916,0.0,220.80222,218.94438,439.74658,0.0,0.06945203
0.00015993365,-0.0002299749,0.0,-0.00013762977,-1.1391394,-0.6817244,-3.277046,-1.9611666,-0.0719206,0.0,-1.1473955e-05,2.5253948e-07,-0.10315219,-0.06173201,-1.14740205e-05,2.5253945e-07,-0.10315101,-0.0617313,344.56348,123.4051,0.0,221.15837,219.29753,440.4559,0.0,0.06945203
0.00016793034,-0.00023056687,0.0,-0.00013792573,-1.1420717,-0.6831904,-3.2854815,-1.9653839,-0.07215115,0.0,-1.2050003e-05,2.5253948e-07,-0.10341772,-0.061864756,-1.2050075e-05,2.5253945e-07,-0.10341647,-0.06186401,346.3396,123.93641,0.0,222.4032,220.53189,442.9351,0.0,0.069667086
0.00017592702,-0.00023115882,0.0,-0.00013851772,-1.1450038,-0.6861227,-3.2939162,-1.9738194,-0.07215112,0.0,-1.2626972e-05,2.5253948e-07,-0.103683226,-0.062130287,-1.26270525e-05,2.5253945e-07,-0.103681915,-0.0621295,348.12024,125.00259,0.0,223.11765,221.24031,444.35797,0.0,0.06966697
0.00018392371,-0.00023175079,0.0,-0.00013881369,-1.147936,-0.68758875,-3.3023517,-1.9780369,-0.072381645,0.0,-1.3204864e-05,2.5253948e-07,-0.10394874,-0.062263038,-1.3204952e-05,2.5253945e-07,-0.10394737,-0.062262215,349.90552,125.53734,0.0,224.36818,222.48033,446.8485,0.0,0.069881976
0.00019192038,-0.00023204676,0.0,-0.0001391097,-1.149402,-0.68905497,-3.306569,-1.982255,-0.072381616,0.0,-1.3783677e-05,2.5253948e-07,-0.1040815,-0.062395815,-1.3783772e-05,2.5253945e-07,-0.10408006,-0.062394954,350.7998,126.07331,0.0,224.72652,222.83565,447.56216,0.0,0.069881976
0.00019991706,-0.00023263873,0.0,-0.00013940566,-1.1523343,-0.69052094,-3.3150046,-1.9864722,-0.07261216,0.0,-1.43634115e-05,2.5253948e-07,-0.10434702,-0.06252856,-1.4363515e-05,2.5253945e-07,-0.10434552,-0.06252766,352.59192,126.61033,0.0,225.98161,224.08018,450.0618,0.0,0.07009695
