,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E,True Strain Rate 1W,True Strain Rate 3W
11,11,11,11,11,11,11,11,11,11,11,11,8.584100000000316e-05,-0.00022731112,-2.071846e-05,-0.00016929943,-1.22857,-0.8385944,-3.5343175,-2.4124458,-0.029044861,-0.03227207,-2.4501503e-06,-2.8063396e-06,-0.11125037,-0.07593701,-2.4501535e-06,-2.8063434e-06,-0.111250095,-0.075936824,224.41838,124.48816,1.8643698,98.065865,97.24073,195.3066,-0.032804295261049415,0.02863105259742545
12,12,12,12,12,12,12,12,12,12,12,12,9.364600000000278e-05,-0.00022790309,-2.0422483e-05,-0.0001698914,-1.2300363,-0.84152657,-3.5385356,-2.4208813,-0.029275382,-0.03181104,-2.6777157e-06,-3.0563915e-06,-0.11138315,-0.076202534,-2.6777193e-06,-3.0563963e-06,-0.11138285,-0.07620233,225.58878,125.36025,1.8114825,98.417046,97.58896,196.00601,-0.03232800414432128,0.028855042039056547
13,13,13,13,13,13,13,13,13,13,13,13,0.00010145,-0.00022849502,-2.0422483e-05,-0.00017018737,-1.2329682,-0.84299266,-3.5469701,-2.4250987,-0.02950588,-0.03181104,-2.90708e-06,-3.3046447e-06,-0.11164864,-0.07633529,-2.9070843e-06,-3.3046501e-06,-0.11164831,-0.076335065,226.76213,125.797424,1.8114825,99.15324,98.318954,197.4722,-0.03232800414432128,0.029078958979838528
14,14,14,14,14,14,14,14,14,14,14,14,0.000109254,-0.000229087,-2.0422483e-05,-0.0001707793,-1.2359005,-0.8459247,-3.5554059,-2.4335334,-0.029505925,-0.03181104,-3.1373438e-06,-3.5528979e-06,-0.11191418,-0.07660079,-3.1373488e-06,-3.5529042e-06,-0.11191383,-0.07660055,227.93864,126.67401,1.8114825,99.45315,98.61634,198.06949,-0.03232800414432128,0.02907900269012697
15,15,15,15,15,15,15,15,15,15,15,15,0.000117059,-0.00022967893,-2.0126505e-05,-0.00017107531,-1.2373664,-0.8473909,-3.5596225,-2.4377515,-0.0299669,-0.031350013,-3.3694066e-06,-3.799352e-06,-0.11204691,-0.07673357,-3.3694123e-06,-3.7993593e-06,-0.11204653,-0.076733306,229.1181,127.113525,1.7593563,100.24522,99.40174,199.64696,-0.03185194286992239,0.02952666580284451
16,16,16,16,16,16,16,16,16,16,16,16,0.000124864,-0.00023027092,-2.0126505e-05,-0.00017166724,-1.2402987,-0.8503229,-3.5680585,-2.4461863,-0.029966945,-0.031350013,-3.6032682e-06,-4.0440073e-06,-0.11231244,-0.07699907,-3.6032748e-06,-4.0440154e-06,-0.11231204,-0.07699879,230.3007,127.99468,1.7593563,100.54666,99.70065,200.24731,-0.03185194286992239,0.029526709493567935
17,17,17,17,17,17,17,17,17,17,17,17,0.000132668,-0.00023086285,-2.0126505e-05,-0.00017225923,-1.2432307,-0.8532552,-3.576493,-2.4546218,-0.0299669,-0.031350013,-3.83713e-06,-4.2886622e-06,-0.11257794,-0.07726459,-3.8371372e-06,-4.288672e-06,-0.112577505,-0.077264294,231.48624,128.87897,1.7593563,100.8479,99.99936,200.84726,-0.03185194286992239,0.02952666580284451
18,18,18,18,18,18,18,18,18,18,18,18,0.000140469,-0.00023145482,-1.983053e-05,-0.00017285116,-1.244697,-0.8561872,-3.5807111,-2.4630566,-0.030197443,-0.030888984,-4.071891e-06,-4.5315187e-06,-0.112710714,-0.07753009,-4.071899e-06,-4.531529e-06,-0.11271025,-0.07752978,232.6749,129.76622,1.7079915,101.20068,100.34918,201.54987,-0.03137610605827728,0.02975047610394569
19,19,19,19,19,19,19,19,19,19,19,19,0.000148274,-0.00023204676,-1.983053e-05,-0.00017314713,-1.247629,-0.85765326,-3.589146,-2.467274,-0.030427953,-0.030888984,-4.308451e-06,-4.772576e-06,-0.11297622,-0.07766285,-4.30846e-06,-4.7725875e-06,-0.11297574,-0.07766251,233.86655,130.21098,1.7079915,101.94756,101.089775,203.03734,-0.03137610605827728,0.029974204299675896
20,20,20,20,20,20,20,20,20,20,20,20,0.000156078,-0.00023263873,-1.983053e-05,-0.0001737391,-1.2505612,-0.8605855,-3.5975814,-2.4757094,-0.030427953,-0.030888984,-4.5459105e-06,-5.0136337e-06,-0.11324174,-0.07792837,-4.5459205e-06,-5.013646e-06,-0.113241225,-0.077928014,235.0613,131.10286,1.7079915,102.250435,101.39009,203.64053,-0.03137610605827728,0.029974204299675896
