,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,True Strain Rate 1W,True Strain Rate 3W
14,14,14,14,14,14,14,14,14,14,14,14,0.000134525,-0.0005047907,0.00035783742,-0.00015198471,-0.7279067,-0.752829,-2.0940225,-2.1657186,-0.55346614,0.5573847,-7.147401e-05,7.1660616e-05,-0.065913945,-0.06817073,-7.147656e-05,7.165805e-05,-0.06590924,-0.06816585,0.44300794004674166,0.44048865366878887
15,15,15,15,15,15,15,15,15,15,15,15,0.0001441309999999,-0.0005073062,0.00036020525,-0.00015257664,-0.7286382,-0.755761,-2.0961268,-2.1741533,-0.5568084,0.561073,-7.680819e-05,7.7034114e-05,-0.06598018,-0.06843623,-7.6811135e-05,7.7031145e-05,-0.065975115,-0.06843097,0.44537340533414993,0.44263782811850017
16,16,16,16,16,16,16,16,16,16,16,16,0.0001537419999999,-0.00050982216,0.00036242508,-0.00015316863,-0.730105,-0.75869334,-2.1003466,-2.1825888,-0.5600357,0.56453073,-8.217393e-05,8.244194e-05,-0.066113,-0.06870176,-8.217731e-05,8.243854e-05,-0.06610757,-0.06869611,0.4475859259920626,0.4447087056149815
17,17,17,17,17,17,17,17,17,17,17,17,0.0001633499999999,-0.0005121898,0.00036479297,-0.00015376056,-0.73010385,-0.76162535,-2.1003432,-2.1910236,-0.5632629,0.56821907,-8.757068e-05,8.7884095e-05,-0.0661129,-0.06896726,-8.757452e-05,8.788023e-05,-0.06610711,-0.06896122,0.4499406251794666,0.4467752394702436
18,18,18,18,18,18,18,18,18,18,18,18,0.000172957,-0.0005147058,0.00036701275,-0.00015435254,-0.73157096,-0.76455766,-2.104564,-2.199459,-0.5664901,0.5716767,-9.299844e-05,9.3360584e-05,-0.06624575,-0.069232784,-9.300277e-05,9.3356226e-05,-0.06623959,-0.06922635,0.45214301127816436,0.44883751156888163
19,19,19,19,19,19,19,19,19,19,19,19,0.000182569,-0.0005172218,0.00036938055,-0.00015494453,-0.73230517,-0.76748997,-2.106676,-2.2078946,-0.5698327,0.5753649,-9.8457764e-05,9.887141e-05,-0.06631224,-0.069498315,-9.846261e-05,9.886652e-05,-0.06630571,-0.069491476,0.4544869279830238,0.45096905317268815
20,20,20,20,20,20,20,20,20,20,20,20,0.000192175,-0.0005197373,0.00037174838,-0.00015553646,-0.73303664,-0.770422,-2.1087804,-2.2163293,-0.57317495,0.5790531,-0.000103949205,0.00010441767,-0.066378474,-0.06976382,-0.00010395461,0.00010441222,-0.066371575,-0.06975657,0.45682536358710424,0.4530958384891728
21,21,21,21,21,21,21,21,21,21,21,21,0.000201785,-0.00052225334,0.0003739682,-0.00015612843,-0.7345038,-0.7733542,-2.1130009,-2.2247648,-0.5764023,0.5825108,-0.00010947221,0.00010999826,-0.066511326,-0.07002934,-0.000109478206,0.00010999221,-0.06650405,-0.070021674,0.4590126996574562,0.4551452253582004
22,22,22,22,22,22,22,22,22,22,22,22,0.000211395,-0.00052476884,0.00037633604,-0.00015672037,-0.7352353,-0.7762863,-2.1151052,-2.2331996,-0.5797445,0.5861991,-0.00011502678,0.000115613184,-0.06657756,-0.07029484,-0.00011503339,0.000115606505,-0.0665699,-0.07028676,0.46134065127314994,0.4572631251018283
23,23,23,23,23,23,23,23,23,23,23,23,0.0002210019999999,-0.0005272848,0.00037870384,-0.00015731234,-0.7359692,-0.7792185,-2.1172166,-2.241635,-0.583087,0.58988726,-0.00012061346,0.00012126355,-0.06664402,-0.070560366,-0.00012062073,0.0001212562,-0.06663598,-0.07055186,0.46366310805783767,0.4593767383274118
24,24,24,24,24,24,24,24,24,24,24,24,0.0002306099999999,-0.00052994874,0.00038107167,-0.00015790429,-0.7374359,-0.78215057,-2.1214359,-2.2500699,-0.586545,0.59357554,-0.00012623282,0.00012694935,-0.066776834,-0.070825875,-0.00012624079,0.00012694129,-0.06676841,-0.070816934,0.4659802588348189,0.46155869596283705
25,25,25,25,25,25,25,25,25,25,25,25,0.0002402209999999,-0.00053246424,0.00038329154,-0.00015849624,-0.73890024,-0.78508276,-2.1256485,-2.258505,-0.58977187,0.5970333,-0.00013188428,0.00013266949,-0.06690944,-0.07109139,-0.00013189299,0.00013266069,-0.06690062,-0.07108202,0.4681477206122278,0.4635905279507676
26,26,26,26,26,26,26,26,26,26,26,26,0.000249829,-0.00053498027,0.00038565937,-0.00015908817,-0.73963434,-0.78801477,-2.1277602,-2.2669399,-0.59311455,0.60072154,-0.00013756732,0.00013842396,-0.06697591,-0.07135689,-0.00013757678,0.00013841437,-0.06696669,-0.07134707,0.4704544900927073,0.4656909366916572
27,27,27,27,27,27,27,27,27,27,27,27,0.000259435,-0.00053764414,0.0003880272,-0.00015982815,-0.7411007,-0.7916801,-2.1319788,-2.2774842,-0.59645706,0.6044098,-0.00014328246,0.00014421386,-0.0671087,-0.0716888,-0.00014329274,0.00014420347,-0.06709908,-0.07167853,0.472755963097549,0.4677868364752524
28,28,28,28,28,28,28,28,28,28,28,28,0.000269047,-0.000540308,0.00039039503,-0.00016042008,-0.7425671,-0.7946121,-2.1361973,-2.285919,-0.59991485,0.60809803,-0.0001490303,0.00015003921,-0.06724148,-0.0719543,-0.0001490414,0.00015002795,-0.06723146,-0.07194358,0.4750521328288979,0.46995040907956764
29,29,29,29,29,29,29,29,29,29,29,29,0.000278655,-0.0005428235,0.00039276286,-0.00016101207,-0.7432986,-0.7975444,-2.1383016,-2.2943544,-0.6032571,0.6117863,-0.00015481078,0.0001559,-0.06730772,-0.07221983,-0.00015482277,0.00015588784,-0.067297295,-0.07220864,0.4773430670582775,0.47203724754162946
30,30,30,30,30,30,30,30,30,30,30,30,0.000288263,-0.0005454874,0.0003951307,-0.000161604,-0.744765,-0.80047643,-2.14252,-2.3027892,-0.6067149,0.6154745,-0.00016062395,0.00016179623,-0.06744051,-0.07248533,-0.00016063685,0.00016178313,-0.06742968,-0.07247368,0.4796287215710227,0.4741916596906736
31,31,31,31,31,31,31,31,31,31,31,31,0.000297875,-0.00054815126,0.0003974985,-0.00016234395,-0.74623156,-0.80414164,-2.146739,-2.3133333,-0.61005735,0.61916274,-0.00016646978,0.00016772788,-0.06757331,-0.07281722,-0.00016648365,0.00016771382,-0.06756206,-0.0728051,0.4819091884826076,0.47626979947996706
32,32,32,32,32,32,32,32,32,32,32,32,0.0003074809999999,-0.00055081514,0.0003998663,-0.00016293589,-0.74769807,-0.8070737,-2.1509578,-2.321768,-0.61351514,0.62285095,-0.00017234829,0.00017369499,-0.06770611,-0.07308273,-0.00017236314,0.0001736799,-0.06769444,-0.07307013,0.4841844482092843,0.47841511579402496
33,33,33,33,33,33,33,33,33,33,33,33,0.0003170889999999,-0.00055347907,0.00040223412,-0.00016352786,-0.74916476,-0.81000596,-2.155177,-2.3302035,-0.616973,0.6265392,-0.00017826002,0.00017969753,-0.06783892,-0.073348254,-0.0001782759,0.00017968139,-0.06782683,-0.07333518,0.48645456747085175,0.48055588286743733
34,34,34,34,34,34,34,34,34,34,34,34,0.0003266999999999,-0.00055614294,0.000404602,-0.00016411979,-0.75063086,-0.812938,-2.159395,-2.3386383,-0.6204308,0.6302275,-0.00018420498,0.00018573551,-0.06797168,-0.073613755,-0.00018422195,0.00018571827,-0.06795915,-0.073600195,0.488719575631755,0.4826920398181867
35,35,35,35,35,35,35,35,35,35,35,35,0.000336308,-0.00055880635,0.00040696983,-0.00016485975,-0.752095,-0.81660324,-2.1636066,-2.3491824,-0.6237729,0.6339158,-0.0001901826,0.00019180894,-0.06810426,-0.07394566,-0.00019020069,0.00019179055,-0.06809131,-0.07393159,0.49097946512233565,0.48475239205949777
36,36,36,36,36,36,36,36,36,36,36,36,0.000345915,-0.0005614702,0.00040933766,-0.00016545173,-0.7535614,-0.8195355,-2.1678252,-2.3576179,-0.6272307,0.637604,-0.0001961929,0.00019791779,-0.068237044,-0.07421118,-0.00019621215,0.00019789822,-0.068223655,-0.07419662,0.49323419796088486,0.48687961289917847
37,37,37,37,37,37,37,37,37,37,37,37,0.000355525,-0.0005641341,0.00041170543,-0.00016619163,-0.75502807,-0.82320046,-2.1720445,-2.3681612,-0.6305733,0.64129215,-0.00020223587,0.0002040621,-0.06836986,-0.07454305,-0.00020225631,0.00020404128,-0.06835603,-0.07452798,0.49548382795018864,0.48893167077187893
38,38,38,38,38,38,38,38,38,38,38,38,0.000365135,-0.0005669458,0.00041422126,-0.00016678362,-0.75649375,-0.8261328,-2.176261,-2.3765967,-0.63426137,0.6452109,-0.0002083126,0.00021024294,-0.068502575,-0.07480858,-0.00020833431,0.00021022085,-0.06848831,-0.074792996,0.49786858268649037,0.4911909408063713
39,39,39,39,39,39,39,39,39,39,39,39,0.000374741,-0.00056960975,0.0004165891,-0.0001675236,-0.75796044,-0.8297981,-2.1804805,-2.387141,-0.637604,0.6488992,-0.00021442313,0.00021646034,-0.06863539,-0.07514049,-0.00021444612,0.00021643692,-0.068620674,-0.07512438,0.500107913752735,0.49323419796088486
40,40,40,40,40,40,40,40,40,40,40,40,0.000384353,-0.00057242153,0.0004189569,-0.00016811553,-0.7601596,-0.8327301,-2.186807,-2.3955758,-0.64117694,0.6525874,-0.00022056687,0.00022271318,-0.06883453,-0.07540599,-0.0002205912,0.00022268838,-0.068819344,-0.07538936,0.5023421809063716,0.49541363079256834
41,41,41,41,41,41,41,41,41,41,41,41,0.0003939599999999,-0.00057523325,0.00042132472,-0.00016870748,-0.76235837,-0.8356623,-2.1931322,-2.404011,-0.6447499,0.65627563,-0.00022674496,0.00022900145,-0.06903363,-0.07567151,-0.00022677066,0.00022897523,-0.06901798,-0.07565435,0.5045714853496442,0.4975883361844547
42,42,42,42,42,42,42,42,42,42,42,42,0.000403568,-0.0005778971,0.0004238405,-0.0001694474,-0.76309186,-0.83932734,-2.1952422,-2.4145546,-0.64820766,0.6601943,-0.00023295681,0.00023532627,-0.06910005,-0.07600339,-0.00023298395,0.00023529858,-0.06908395,-0.075985685,0.5069346437116178,0.4996884308305827
43,43,43,43,43,43,43,43,43,43,43,43,0.0004131789999999,-0.00058070896,0.00042620834,-0.00017003939,-0.76529115,-0.84225965,-2.201569,-2.42299,-0.65178066,0.6638826,-0.00023920245,0.00024168764,-0.069299206,-0.07626891,-0.00023923106,0.00024165843,-0.06928263,-0.076250665,0.5091537870254296,0.5018538938866569
44,44,44,44,44,44,44,44,44,44,44,44,0.000422785,-0.0005835207,0.00042857617,-0.0001707793,-0.7674899,-0.8459247,-2.2078943,-2.4335334,-0.65523833,0.6675708,-0.00024548188,0.00024808443,-0.06949831,-0.07660079,-0.000245512,0.00024805366,-0.069481246,-0.076581985,0.5113679566769084,0.5039450045034475
45,45,45,45,45,45,45,45,45,45,45,45,0.000432395,-0.00058633246,0.00043109202,-0.00017137128,-0.7689557,-0.8488569,-2.2121112,-2.441969,-0.6589266,0.67148966,-0.0002517956,0.0002545178,-0.06963104,-0.07686632,-0.00025182732,0.0002544854,-0.06961351,-0.076846965,0.5137152407984578,0.5061707667093411
46,46,46,46,46,46,46,46,46,46,46,46,0.000442005,-0.0005891442,0.00043345982,-0.00017211123,-0.7711546,-0.85252213,-2.218437,-2.452513,-0.6623843,0.6751779,-0.00025814367,0.0002609877,-0.06983016,-0.077198215,-0.000258177,0.00026095365,-0.069812134,-0.077178285,0.5159193685924819,0.5082528971411361
47,47,47,47,47,47,47,47,47,47,47,47,0.000451613,-0.000591956,0.00043597564,-0.00017285116,-0.77262086,-0.8561872,-2.222655,-2.4630566,-0.6659573,0.67909664,-0.00026452553,0.00026749415,-0.06996293,-0.07753009,-0.00026456054,0.00026745838,-0.06994443,-0.07750958,0.5182559345092815,0.5103999131640896
