,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E,True Strain Rate 1W,True Strain Rate 3W
0,0,0,0,0,0,0,0,0,0,0,0.0,-0.000103148355,-8.5093685e-05,-8.1985905e-05,-0.9324232,-0.40610248,-2.6823702,-1.1682647,0.049791183,-0.13254601,0.0,0.0,-0.084433466,-0.03677369,0.0,0.0,-0.084433466,-0.03677369,46.21061,29.194124,31.449356,-14.43287,-14.311431,-28.7443,-0.14219280603163575,-0.05107351117322961
1,1,1,1,1,1,1,1,1,1,1,7.800035e-06,-0.0001035923,-8.49457e-05,-8.228187e-05,-0.93388915,-0.40756848,-2.6865873,-1.1724821,0.049560677,-0.1323155,3.8747402e-07,-1.0329646e-06,-0.08456621,-0.03690644,3.8747393e-07,-1.0329651e-06,-0.08456624,-0.036906455,46.609238,29.405283,31.340063,-14.136109,-14.017167,-28.153276,-0.14192710965905858,-0.050830956019249265
2,2,2,2,2,2,2,2,2,2,2,1.560007e-05,-0.00010388827,-8.49457e-05,-8.2577884e-05,-0.93535525,-0.40903476,-2.690805,-1.1767002,0.04956071,-0.1323155,7.7404917e-07,-2.0650302e-06,-0.084698975,-0.037039217,7.740489e-07,-2.0650323e-06,-0.08469904,-0.037039246,46.875954,29.617239,31.340063,-14.08135,-13.962869,-28.04422,-0.14192710965905858,-0.05083099074003546
3,3,3,3,3,3,3,3,3,3,3,2.3400104e-05,-0.000104332255,-8.479772e-05,-8.287385e-05,-0.93682146,-0.41050076,-2.6950228,-1.1809176,0.04933018,-0.13208501,1.1597253e-06,-3.0961967e-06,-0.084831744,-0.037171967,1.1597247e-06,-3.0962015e-06,-0.08483184,-0.037172012,47.277477,29.82992,31.230967,-13.78341,-13.667436,-27.450846,-0.14166150690602358,-0.05058846915101434
4,4,4,4,4,4,4,4,4,4,4,3.120014e-05,-0.000104776205,-8.4649735e-05,-8.316981e-05,-0.9382875,-0.41196677,-2.6992404,-1.185135,0.04909967,-0.13185449,1.5436035e-06,-4.1255653e-06,-0.0849645,-0.037304718,1.5436024e-06,-4.125574e-06,-0.08496463,-0.037304774,47.680676,30.043362,31.122055,-13.484741,-13.37128,-26.856022,-0.1413959401226601,-0.050346027397152104
5,5,5,5,5,5,5,5,5,5,5,3.9000173e-05,-0.000105220206,-8.4501706e-05,-8.346583e-05,-0.9397535,-0.41343302,-2.7034576,-1.1893531,0.048869126,-0.13162391,1.9256836e-06,-5.1531356e-06,-0.085097246,-0.03743749,1.9256818e-06,-5.1531492e-06,-0.08509741,-0.037437562,48.085636,30.257599,31.013304,-13.185268,-13.0743265,-26.259594,-0.14113037475180018,-0.05010360866012593
6,6,6,6,6,6,6,6,6,6,6,4.6800207e-05,-0.000105664156,-8.435372e-05,-8.361381e-05,-0.9412195,-0.41416603,-2.7076752,-1.1914618,0.048523366,-0.1313934,2.3055159e-06,-6.178908e-06,-0.08523,-0.03750387,2.3055134e-06,-6.178927e-06,-0.085230194,-0.037503954,48.49226,30.36499,30.904772,-12.7775,-12.66999,-25.44749,-0.14086496047602146,-0.049740149562700356
7,7,7,7,7,7,7,7,7,7,7,5.460024e-05,-0.0001061081,-8.435372e-05,-8.390978e-05,-0.94341844,-0.41563204,-2.714001,-1.1956792,0.048408117,-0.1313934,2.6835505e-06,-7.203781e-06,-0.08542912,-0.03763662,2.6835469e-06,-7.203807e-06,-0.08542935,-0.03763672,48.900597,30.580332,30.904772,-12.584509,-12.4786215,-25.06313,-0.14086496047602146,-0.04961903043418627
8,8,8,8,8,8,8,8,8,8,8,6.240028e-05,-0.00010640411,-8.420574e-05,-8.420574e-05,-0.9441518,-0.41709805,-2.7161107,-1.1998966,0.04829283,-0.13116291,3.0606857e-06,-8.227756e-06,-0.085495524,-0.03776937,3.0606811e-06,-8.227789e-06,-0.085495785,-0.037769485,49.173813,30.796436,30.796436,-12.41906,-12.314566,-24.733625,-0.14059963964556382,-0.04949788604548986
9,9,9,9,9,9,9,9,9,9,9,7.020031e-05,-0.00010684806,-8.405776e-05,-8.4501706e-05,-0.94561774,-0.41856405,-2.7203279,-1.204114,0.048062325,-0.1309324,3.4364725e-06,-9.249931e-06,-0.08562827,-0.03790212,3.4364666e-06,-9.249974e-06,-0.08562856,-0.03790225,49.585007,31.013304,30.688293,-12.11659,-12.01464,-24.13123,-0.14033436617840758,-0.049255713770832675
