,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E,True Strain Rate 1W,True Strain Rate 3W
0,0,0,0,0.0,-0.00024980545,0.00013851772,-9.145723e-05,-0.55124384,-0.453017,-1.5858036,-1.3032272,-0.23120633,0.21576186,0.0,0.0,-0.04991664,-0.04102193,0.0,0.0,-0.04991664,-0.04102193,271.0322,36.328976,83.33506,151.36816,150.09454,301.4627,0.19537092554926086,0.2079944448548519
1,1,1,1,7.48000000000068e-06,-0.00025098937,0.0001402936,-9.1753194e-05,-0.54831165,-0.454483,-1.5773683,-1.3074446,-0.23328097,0.21852806,-1.7372953e-06,1.6243497e-06,-0.049651116,-0.04115468,-1.7372968e-06,1.6243484e-06,-0.04965103,-0.041154608,273.60733,36.564487,85.48557,151.55725,150.28204,301.8393,0.19764362213147646,0.20967807332399874
2,2,2,2,1.4961000000000836e-05,-0.00025217328,0.00014206945,-9.2049166e-05,-0.54537964,-0.45594904,-1.5689335,-1.3116621,-0.23535562,0.2212942,-3.49011e-06,3.2693918e-06,-0.049385615,-0.041287433,-3.4901161e-06,3.2693863e-06,-0.049385443,-0.041287288,276.1946,36.80076,87.66342,151.73044,150.45378,302.1842,0.19991111614571866,0.21135888004689216
3,3,3,3,2.2441000000001515e-05,-0.0002530612,0.00014384533,-9.234513e-05,-0.5409813,-0.45741504,-1.5562805,-1.3158795,-0.23719974,0.2240604,-5.2575815e-06,4.935126e-06,-0.048987333,-0.041420184,-5.2575956e-06,4.935114e-06,-0.048987076,-0.041419968,278.14307,37.03779,89.86874,151.23653,149.96402,301.20056,0.20217352927786925,0.21285055167679928
4,4,4,4,2.992200000000167e-05,-0.00025424513,0.00014562118,-9.2641145e-05,-0.5380493,-0.45888132,-1.5478457,-1.3200974,-0.23927434,0.22682653,-7.0397105e-06,6.621553e-06,-0.04872183,-0.041552957,-7.0397355e-06,6.6215307e-06,-0.04872149,-0.041552663,280.75165,37.275623,92.10138,151.37465,150.10098,301.47565,0.20443077839094256,0.21452599863750782
5,5,5,5,3.740200000000235e-05,-0.00025542904,0.00014739708,-9.293711e-05,-0.535117,-0.46034732,-1.5394102,-1.3243148,-0.241349,0.22959276,-8.837358e-06,8.328672e-06,-0.048456304,-0.041685708,-8.837397e-06,8.328637e-06,-0.048455875,-0.04168534,283.37244,37.51417,94.36149,151.49678,150.22208,301.71887,0.20668302513122522,0.21619869150487767
6,6,6,6,4.488400000000198e-05,-0.00025661296,0.0001491729,-9.323307e-05,-0.532185,-0.46181333,-1.5309757,-1.3285322,-0.24342363,0.23235889,-1.0650526e-05,1.0056483e-05,-0.04819081,-0.04181846,-1.0650582e-05,1.0056433e-05,-0.048190296,-0.04181801,286.0054,37.753487,96.64891,151.60298,150.3274,301.93036,0.20893012950791695,0.21786856701545063
7,7,7,7,5.236500000000213e-05,-0.00025779687,0.00015094879,-9.352904e-05,-0.5292528,-0.46327934,-1.5225403,-1.3327496,-0.24549828,0.23512508,-1.2479212e-05,1.1804987e-05,-0.04792529,-0.04195121,-1.24792905e-05,1.1804917e-05,-0.04792469,-0.041950684,288.65054,37.99356,98.9638,151.69319,150.41684,302.11005,0.2111722443037599,0.21953567474764718
8,8,8,8,5.984500000000281e-05,-0.0002586848,0.0001527247,-9.412102e-05,-0.5248544,-0.4662116,-1.5098871,-1.3411851,-0.24711187,0.23789132,-1.4321694e-05,1.3574183e-05,-0.047527,-0.042216733,-1.4321797e-05,1.3574091e-05,-0.04752632,-0.04221613,290.64236,38.476036,101.3061,150.86023,149.59088,300.4511,0.21340938365609463,0.2208303739812178
9,9,9,9,6.732600000000297e-05,-0.0002598687,0.00015450054,-9.441698e-05,-0.5219224,-0.4676776,-1.5014523,-1.3454024,-0.24918652,0.24065746,-1.617797e-05,1.5364072e-05,-0.0472615,-0.042349484,-1.61781e-05,1.5363954e-05,-0.047260735,-0.0423488,293.3088,38.718388,103.67571,150.9147,149.6449,300.5596,0.21564144878287866,0.2224925554623843
10,10,10,10,7.480600000000018e-05,-0.00026105263,0.00015657238,-9.4712945e-05,-0.5175242,-0.4691436,-1.4887998,-1.3496197,-0.25149167,0.24388465,-1.8050629e-05,1.7176377e-05,-0.04686323,-0.042482235,-1.805079e-05,1.717623e-05,-0.046862386,-0.042481467,295.9874,38.961506,106.47493,150.55095,149.2842,299.83514,0.21823926493736584,0.22433617585475588
