,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E,True Strain Rate 1W,True Strain Rate 3W
0,0,0,0,0.0,-8.746151e-05,-2.989378e-05,-9.412102e-05,-0.5812984,-0.4662116,-1.6722637,-1.3411851,0.02846858,-0.046563987,0.0,0.0,-0.05263816,-0.042216733,0.0,0.0,-0.05263816,-0.042216733,33.223927,38.476036,3.8813136,-9.133422,-9.056573,-18.189995,-0.04768296369216124,-0.02888166894804705
1,1,1,1,7.514000000000132e-06,-8.7609485e-05,-2.989378e-05,-9.441698e-05,-0.58203137,-0.4676776,-1.6743723,-1.3454024,0.028583836,-0.046563987,2.1434096e-07,-3.498737e-07,-0.05270453,-0.042349484,2.1434093e-07,-3.4987374e-07,-0.052704543,-0.04234949,33.33645,38.718388,3.8813136,-9.263253,-9.185311,-18.448565,-0.04768296369216124,-0.02900030930776069
2,2,2,2,1.5028000000000263e-05,-8.7609485e-05,-2.989378e-05,-9.4564966e-05,-0.58203137,-0.4684106,-1.6743723,-1.3475112,0.02869909,-0.046563987,4.2954792e-07,-6.997474e-07,-0.05270453,-0.04241586,4.2954784e-07,-6.997476e-07,-0.052704554,-0.04241588,33.33645,38.839855,3.8813136,-9.384721,-9.3057575,-18.69048,-0.04768296369216124,-0.02911896168558524
3,3,3,3,2.2542000000000395e-05,-8.775747e-05,-2.989378e-05,-9.4712945e-05,-0.5827644,-0.4691436,-1.676481,-1.3496197,0.028699085,-0.046563987,6.4518787e-07,-1.049621e-06,-0.05277091,-0.042482235,6.4518764e-07,-1.0496216e-06,-0.052770942,-0.04248226,33.449165,38.961506,3.8813136,-9.393656,-9.314617,-18.708273,-0.04768296369216124,-0.02911895653784985
4,4,4,4,3.0057e-05,-8.775747e-05,-2.989378e-05,-9.486093e-05,-0.5827644,-0.46987662,-1.676481,-1.3517286,0.02881434,-0.046563987,8.612608e-07,-1.3994947e-06,-0.05277091,-0.04254861,8.6126045e-07,-1.3994958e-06,-0.052770954,-0.04254865,33.449165,39.083355,3.8813136,-9.515506,-9.435442,-18.950947,-0.04768296369216124,-0.029237624024790236
5,5,5,5,3.757000000000066e-05,-8.790545e-05,-2.989378e-05,-9.500896e-05,-0.5834974,-0.47060984,-1.6785897,-1.3538378,0.02881438,-0.046563987,1.0777669e-06,-1.7493684e-06,-0.052837282,-0.042615008,1.0777663e-06,-1.74937e-06,-0.05283734,-0.042615052,33.562065,39.205425,3.8813136,-9.524675,-9.444534,-18.96921,-0.04768296369216124,-0.029237665211560643
6,6,6,6,4.508400000000079e-05,-8.805348e-05,-2.989378e-05,-9.5156945e-05,-0.5842306,-0.4713429,-1.680699,-1.3559467,0.028814346,-0.046563987,1.2942729e-06,-2.099242e-06,-0.05290368,-0.042681385,1.2942721e-06,-2.0992443e-06,-0.052903745,-0.04268144,33.675194,39.327656,3.8813136,-9.533775,-9.453557,-18.987331,-0.04768296369216124,-0.02923763020280563
7,7,7,7,5.259700000000145e-05,-8.805348e-05,-2.989378e-05,-9.5304924e-05,-0.5842306,-0.47207585,-1.680699,-1.3580552,0.028929595,-0.046563987,1.511212e-06,-2.4491158e-06,-0.05290368,-0.04274776,1.5112108e-06,-2.4491187e-06,-0.052903756,-0.04274782,33.675194,39.45007,3.8813136,-9.656188,-9.574941,-19.231129,-0.04768296369216124,-0.029356305595374253
8,8,8,8,6.011200000000105e-05,-8.8201465e-05,-3.0041772e-05,-9.5600895e-05,-0.5856967,-0.47354192,-1.6849166,-1.3622727,0.02916011,-0.046794508,1.7294499e-06,-2.7998556e-06,-0.053036436,-0.042880513,1.7294484e-06,-2.7998594e-06,-0.05303653,-0.042880587,33.78848,39.695473,3.9198384,-9.826833,-9.744149,-19.570982,-0.04792477212916285,-0.029593716151027807
9,9,9,9,6.762600000000119e-05,-8.8201465e-05,-3.0041772e-05,-9.5748874e-05,-0.5856967,-0.47427487,-1.6849166,-1.3643813,0.02927536,-0.046794508,1.948987e-06,-3.1514612e-06,-0.053036436,-0.042946886,1.9489848e-06,-3.1514662e-06,-0.05303654,-0.04294697,33.78848,39.81846,3.9198384,-9.949818,-9.866099,-19.815918,-0.04792477212916285,-0.02971243484242806
10,10,10,10,7.514000000000132e-05,-8.834945e-05,-3.0041772e-05,-9.589686e-05,-0.5864297,-0.47500792,-1.6870253,-1.3664901,0.02927536,-0.046794508,2.1689568e-06,-3.503067e-06,-0.053102814,-0.043013263,2.1689543e-06,-3.5030732e-06,-0.05310293,-0.043013357,33.90196,39.941635,3.9198384,-9.959516,-9.875715,-19.835232,-0.04792477212916285,-0.02971243484242806
11,11,11,11,8.265400000000145e-05,-8.834945e-05,-3.0041772e-05,-9.604489e-05,-0.5864297,-0.47574115,-1.6870253,-1.3685994,0.029390648,-0.046794508,2.38936e-06,-3.8546727e-06,-0.053102814,-0.043079663,2.389357e-06,-3.8546805e-06,-0.05310294,-0.043079767,33.90196,40.065044,3.9198384,-10.082924,-9.998086,-20.081009,-0.04792477212916285,-0.02983120678029209
12,12,12,12,9.01670000000021e-05,-8.849743e-05,-3.0041772e-05,-9.6192874e-05,-0.5871627,-0.47647417,-1.689134,-1.3707081,0.029390654,-0.046794508,2.6101961e-06,-4.206279e-06,-0.053169187,-0.04314604,2.6101927e-06,-4.2062875e-06,-0.053169325,-0.043146152,34.015617,40.188602,3.9198384,-10.092822,-10.007901,-20.100723,-0.04792477212916285,-0.029831212961975738
13,13,13,13,9.768100000000224e-05,-8.849743e-05,-3.0041772e-05,-9.634085e-05,-0.5871627,-0.47720715,-1.689134,-1.3728168,0.029505903,-0.046794508,2.8314653e-06,-4.5578845e-06,-0.053169187,-0.043212414,2.8314614e-06,-4.557895e-06,-0.053169336,-0.043212537,34.015617,40.312344,3.9198384,-10.216562,-10.1306,-20.347162,-0.04792477212916285,-0.029949958823306387
14,14,14,14,0.000105195,-8.8645415e-05,-3.0041772e-05,-9.648884e-05,-0.5878957,-0.47794017,-1.6912427,-1.3749255,0.029505903,-0.046794508,3.0531676e-06,-4.90949e-06,-0.053235564,-0.04327879,3.0531628e-06,-4.9095024e-06,-0.05323573,-0.04327892,34.129475,40.436283,3.9198384,-10.226646,-10.140599,-20.367245,-0.04792477212916285,-0.029949958823306387
