Strain (mm/mm),SS316 Alloy Back Surface,SS316 Alloy Front Surface,Al 356 Alloy Back Surface,Al 356 Alloy Front Surface,SS 316 - Al 356 Composite Back Surface,SS 316 - Al 356 Composite Front Surface
-0.0016248132,293.66022,19.54558,257.08136,118.20795,453.4617,169.11375
-0.0016390951,294.27417,19.67263,256.6168,118.11586,452.7366,168.99951
-0.0016534955,294.88858,19.799118,256.15115,118.02604,452.0085,168.88818
-0.0016678958,295.50348,19.925018,255.6845,117.93848,451.27737,168.77975
-0.0016824153,296.11877,20.050348,255.21678,117.85309,450.54315,168.67433
-0.0016968151,296.73444,20.175089,254.74808,117.769966,449.80594,168.57187
-0.0017113339,297.35056,20.299213,254.2783,117.68914,449.06583,168.47234
-0.0017258526,297.96707,20.422747,253.80754,117.61052,448.3227,168.37585
-0.0017403708,298.584,20.545713,253.33583,117.5342,447.5766,168.28227
-0.0017548889,299.20135,20.668064,252.8631,117.46017,446.8275,168.19176
-0.0017695259,299.81912,20.789799,252.38939,117.38843,446.07553,168.10426
-0.0017841626,300.43735,20.91092,251.91475,117.31895,445.32068,168.01978
-0.001798799,301.0559,21.031397,251.43915,117.25178,444.5629,167.9383
-0.0018134356,301.67487,21.151281,250.96254,117.186935,443.8023,167.85985
-0.0018280714,302.29422,21.270523,250.48506,117.12438,443.0388,167.78445
-0.0018428264,302.914,21.389126,250.00668,117.06419,442.2725,167.71214
-0.0018575808,303.53418,21.50711,249.52733,117.00632,441.50333,167.6429
-0.0018723353,304.15472,21.62443,249.04712,116.9508,440.73126,167.5767
-0.0018870897,304.77567,21.741129,248.56598,116.89759,439.95657,167.5136
-0.0019019624,305.397,21.85714,248.08398,116.84675,439.17902,167.45357
-0.0019168351,306.01877,21.972528,247.60107,116.79831,438.3987,167.3967
-0.0019317076,306.64087,22.087252,247.11736,116.75219,437.61572,167.34288
-0.0019465802,307.26337,22.201283,246.63277,116.70847,436.83,167.29228
-0.0019614522,307.8862,22.314672,246.14732,116.66717,436.0415,167.24474
-0.0019764428,308.50946,22.427366,245.66106,116.6282,435.25037,167.20036
-0.0019914336,309.1331,22.539394,245.17397,116.591675,434.45654,167.15912
-0.002006424,309.75705,22.65073,244.68605,116.55754,433.66006,167.12106
-0.0020214138,310.38138,22.761398,244.19734,116.52581,432.86102,167.08612
-0.002036523,311.00607,22.87132,243.70784,116.49651,432.0593,167.0544
-0.0020516317,311.63123,22.980577,243.21754,116.469635,431.255,167.02588
-0.00206674,312.25662,23.089111,242.7265,116.4452,430.4481,167.00053
-0.0020818484,312.8824,23.196959,242.2347,116.42322,429.6386,166.97838
-0.002097075,313.50854,23.304056,241.74213,116.40366,428.82666,166.95946
-0.002112183,314.135,23.410463,241.24884,116.38659,428.01215,166.94373
-0.0021274094,314.76184,23.51615,240.75482,116.371925,427.1952,166.93127
-0.0021426356,315.38904,23.621094,240.2601,116.359764,426.37558,166.92201
-0.0021579806,316.01657,23.725319,239.76465,116.35012,425.55362,166.91605
-0.0021732063,316.6444,23.828772,239.26852,116.3429,424.72922,166.9133
-0.002188551,317.27258,23.931484,238.77167,116.33821,423.90234,166.91382
-0.0022038952,317.90115,24.033476,238.27417,116.33598,423.07306,166.91765
-0.0022193578,318.53,24.134672,237.77602,116.33628,422.24142,166.92468
-0.002234702,319.15918,24.235153,237.27719,116.3391,421.40738,166.93507
-0.0022501643,319.7887,24.334862,236.77774,116.34439,420.57098,166.94876
-0.0022656268,320.4185,24.433773,236.27765,116.35222,419.73218,166.96573
-0.0022810888,321.0486,24.531942,235.77695,116.36257,418.89114,166.98596
-0.0022966694,321.6791,24.629316,235.27562,116.37547,418.0478,167.0096
-0.00231225,322.30984,24.72587,234.7737,116.39093,417.20212,167.03656
-0.0023278298,322.94092,24.82168,234.27121,116.40889,416.35425,167.06682
-0.0023434102,323.5723,24.91667,233.76814,116.42944,415.50415,167.10045
-0.00235899,324.20392,25.010885,233.26447,116.45253,414.65176,167.13742
-0.0023746882,324.83594,25.104282,232.76028,116.4782,413.79727,167.17773
-0.0023903865,325.4682,25.196863,232.25554,116.50643,412.9405,167.22147
-0.0024060842,326.1007,25.288616,231.75026,116.53725,412.0816,167.26855
-0.002421782,326.73352,25.37955,231.24448,116.570625,411.22058,167.319
-0.0024375985,327.36664,25.469667,230.73814,116.60662,410.35742,167.37286
-0.0024534147,328.00006,25.55896,230.23137,116.64517,409.49216,167.43013
-0.0024692307,328.63373,25.647408,229.72406,116.68636,408.62485,167.49077
-0.0024850462,329.26764,25.735035,229.21626,116.73013,407.75537,167.55487
-0.0025009804,329.9019,25.821764,228.70804,116.77652,406.884,167.62233
-0.0025169144,330.53635,25.907698,228.19937,116.825516,406.0105,167.69325
-0.002532848,331.17108,25.992735,227.69023,116.87713,405.1351,167.76761
-0.0025487817,331.8061,26.07695,227.18066,116.93138,404.2576,167.84541
-0.0025648335,332.4413,26.160244,226.67067,116.988266,403.3782,167.92667
-0.0025808858,333.07687,26.242691,226.16028,117.04777,402.4969,168.0114
-0.0025969371,333.7126,26.324291,225.64948,117.10997,401.61362,168.09955
-0.0026129887,334.34857,26.404995,225.13829,117.174736,400.72845,168.19118
-0.0026290396,334.98477,26.484776,224.62671,117.24221,399.84146,168.2863
-0.0026452094,335.62128,26.563684,224.11482,117.31232,398.95258,168.38493
-0.0026613788,336.25797,26.641668,223.60251,117.38511,398.06183,168.48703
-0.0026776674,336.89493,26.718784,223.08992,117.460556,397.16928,168.59259
-0.0026938359,337.53204,26.795,222.577,117.53867,396.27493,168.70169
-0.002710124,338.16946,26.870296,222.06372,117.61949,395.37885,168.81432
-0.002726411,338.807,26.944641,221.55013,117.70298,394.481,168.9304
-0.0027426982,339.44482,27.018063,221.03627,117.78913,393.58145,169.05008
-0.002759104,340.08286,27.090588,220.52213,117.878,392.68015,169.17322
-0.0027753904,340.72104,27.162167,220.00769,117.96954,391.77722,169.29996
-0.0027917954,341.35944,27.232769,219.493,118.0638,390.8725,169.43019
-0.0028082004,341.99805,27.302475,218.97806,118.16075,389.96622,169.56401
-0.002824724,342.63687,27.371206,218.46288,118.26043,389.0583,169.70131
-0.0028412472,343.27588,27.438992,217.94748,118.36279,388.14877,169.84225
-0.0028577703,343.91504,27.5058,217.43185,118.46789,387.2377,169.98672
-0.002874293,344.5544,27.571665,216.91602,118.57571,386.32507,170.13478
-0.002890815,345.1939,27.63655,216.40001,118.68626,385.41083,170.2864
-0.0029074561,345.83362,27.70044,215.88382,118.79953,384.49515,170.44157
-0.0029240968,346.47348,27.763382,215.36743,118.91551,383.578,170.60042
-0.002940737,347.11353,27.825298,214.85092,119.03426,382.65927,170.76276
-0.0029574966,347.75372,27.886238,214.33421,119.15575,381.73914,170.92873
-0.002974255,348.3941,27.946207,213.8174,119.280014,380.81766,171.09831
-0.0029910137,349.03464,28.005125,213.30048,119.40695,379.89462,171.2715
-0.0030077717,349.67526,28.06307,212.78343,119.53669,378.97034,171.4483
-0.0030245297,350.31604,28.119986,212.26627,119.66918,378.04462,171.62875
-0.003041406,350.95697,28.175884,211.74904,119.8044,377.11752,171.81279
-0.0030582824,351.598,28.230778,211.23172,119.94242,376.1892,172.0005
-0.0030751578,352.2392,28.284597,210.71434,120.083206,375.25952,172.1918
-0.0030921525,352.88055,28.337418,210.19691,120.226746,374.32855,172.38672
-0.0031091468,353.522,28.389214,209.67941,120.37304,373.39645,172.58536
-0.0031261402,354.16357,28.43996,209.16191,120.522156,372.46298,172.7876
-0.003143134,354.8052,28.48963,208.64436,120.67402,371.52838,172.9935
-0.0031602462,355.447,28.538273,208.12685,120.828674,370.5925,173.20306
-0.0031773578,356.0889,28.585842,207.60928,120.9861,369.65558,173.41628
-0.0031944695,356.73087,28.632362,207.09178,121.14632,368.71744,173.63313
-0.0032115807,357.37296,28.677807,206.57426,121.309326,367.77823,173.85371
-0.003228692,358.01505,28.722147,206.05682,121.47516,366.8379,174.07797
-0.003245921,358.6573,28.76544,205.53941,121.64377,365.89648,174.30586
-0.00326315,359.29962,28.80763,205.02206,121.815186,364.95398,174.53743
-0.0032804983,359.94205,28.848745,204.50479,121.98937,364.0105,174.77272
-0.0032977269,360.58447,28.88876,203.9876,122.16636,363.066,175.0117
-0.0033150741,361.22702,28.927671,203.4705,122.34618,362.12048,175.25438
-0.003332421,361.8696,28.965485,202.9535,122.5288,361.17404,175.5007
-0.003349886,362.51224,29.00217,202.43665,122.71424,360.22668,175.75082
-0.0033673511,363.15497,29.037756,201.91992,122.90248,359.27838,176.00455
-0.0033848155,363.79773,29.072237,201.4033,123.09354,358.32913,176.26204
-0.0034022802,364.44052,29.10557,200.88689,123.28744,357.3791,176.52327
-0.0034197443,365.0833,29.137772,200.37057,123.4841,356.4282,176.78813
-0.0034373268,365.72617,29.16885,199.85448,123.68365,355.47638,177.05676
-0.003454909,366.36905,29.198778,199.33858,123.88599,354.52386,177.3291
-0.0034724912,367.01196,29.227577,198.82286,124.091125,353.57053,177.60522
-0.0034901917,367.65488,29.255198,198.30736,124.29913,352.61642,177.885
-0.0035078917,368.29782,29.281694,197.79207,124.50995,351.66162,178.16858
-0.0035255912,368.94077,29.307037,197.27702,124.72361,350.70605,178.45583
-0.0035432908,369.5837,29.331202,196.76224,124.94009,349.74985,178.74677
-0.0035609899,370.22662,29.35419,196.24768,125.15944,348.7929,179.04155
-0.0035788082,370.86957,29.376003,195.73341,125.381546,347.83536,179.34003
-0.003596625,371.5125,29.396637,195.2194,125.60654,346.87723,179.64223
-0.0036145612,372.1554,29.41609,194.7057,125.83435,345.91846,179.94821
-0.0036323778,372.79828,29.434372,194.19232,126.064995,344.95905,180.25795
-0.0036503128,373.44113,29.451422,193.67921,126.2985,343.9992,180.57146
-0.0036683665,374.08398,29.467295,193.16647,126.53482,343.03876,180.88863
-0.003686301,374.72675,29.481989,192.65402,126.773994,342.07782,181.20963
-0.0037043537,375.3695,29.495457,192.14197,127.01604,341.11642,181.53435
-0.0037224067,376.0122,29.507696,191.63026,127.26087,340.1545,181.86288
-0.0037404587,376.65482,29.518732,191.1189,127.508575,339.19217,182.19511
-0.00375863,377.29742,29.52854,190.60796,127.75912,338.22943,182.53111
-0.0037766811,377.93988,29.537146,190.09738,128.01251,337.26627,182.87094
-0.0037949707,378.5824,29.544497,189.58725,128.26874,336.30273,183.21443
-0.0038131399,379.2248,29.550621,189.07748,128.52782,335.3389,183.56175
-0.0038314285,379.86707,29.55549,188.56818,128.78975,334.37476,183.91286
-0.0038495974,380.50925,29.55913,188.05931,129.05452,333.41025,184.2677
-0.0038680036,381.1514,29.561544,187.55089,129.32213,332.44547,184.62631
-0.0038862906,381.79343,29.562675,187.04292,129.59259,331.48047,184.98872
-0.003904696,382.43536,29.562534,186.53542,129.86589,330.51517,185.35487
-0.0039231014,383.07715,29.561161,186.02841,130.14203,329.54974,185.72478
-0.0039415066,383.71884,29.558483,185.52191,130.42102,328.58405,186.09848
-0.00396003,384.36044,29.55455,185.0159,130.70288,327.6182,186.476
-0.003978434,385.0019,29.549366,184.51044,130.98758,326.65225,186.85724
-0.003996957,385.64325,29.542877,184.00546,131.2751,325.68616,187.24228
-0.004015598,386.2845,29.53511,183.50107,131.56548,324.72,187.63106
-0.0040342384,386.92554,29.52606,182.99721,131.85867,323.7537,188.02368
-0.00405276,387.56644,29.515709,182.49391,132.15475,322.7874,188.42
-0.004071519,388.20728,29.504053,181.99121,132.45364,321.821,188.82019
-0.0040901587,388.84784,29.491095,181.48906,132.75537,320.85464,189.22408
-0.004108916,389.48837,29.476828,180.98749,133.05997,319.88837,189.63176
-0.004127674,390.1286,29.46126,180.48654,133.36743,318.92203,190.0432
-0.0041464316,390.76877,29.444386,179.98627,133.67769,317.9558,190.45847
-0.004165307,391.4087,29.426184,179.48656,133.99077,316.98962,190.87747
-0.0041841827,392.04846,29.40665,178.98749,134.3067,316.02362,191.3003
-0.0042030574,392.68808,29.385813,178.48912,134.6255,315.0577,191.72682
-0.0042219316,393.32742,29.363619,177.99136,134.94711,314.09195,192.15718
-0.0042409254,393.9666,29.340101,177.49431,135.27156,313.12634,192.59131
-0.004259918,394.6056,29.315245,176.99792,135.59879,312.16095,193.02917
-0.00427891,395.24432,29.289038,176.50224,135.9289,311.19577,193.4708
-0.00429802,395.88293,29.261503,176.00725,136.26186,310.23083,193.91623
-0.0043171304,396.52124,29.232586,175.51299,136.59758,309.26614,194.36542
-0.0043362402,397.1594,29.20234,175.01947,136.93619,308.3018,194.81837
-0.004355349,397.79727,29.170712,174.52666,137.27759,307.3377,195.27512
-0.004374577,398.43488,29.137732,174.03459,137.62183,306.37396,195.73566
-0.004393805,399.0723,29.103394,173.54332,137.96887,305.41058,196.19987
-0.0044130324,399.7094,29.06765,173.0528,138.31876,304.44754,196.66786
-0.0044322587,400.34625,29.030579,172.56302,138.67142,303.48492,197.13968
-0.0044516036,400.9829,28.992102,172.0741,139.02693,302.52277,197.61517
-0.004470948,401.6193,28.952269,171.58592,139.38524,301.56104,198.09451
-0.0044904114,402.2554,28.911005,171.09859,139.74632,300.59976,198.57756
-0.0045097554,402.89114,28.86836,170.61206,140.1103,299.63898,199.06436
-0.004529217,403.5267,28.82436,170.12637,140.47696,298.6787,199.55487
-0.004548798,404.162,28.77893,169.64153,140.84651,297.71896,200.04916
-0.0045682588,404.7969,28.732096,169.15752,141.21884,296.75974,200.54723
-0.004587839,405.43155,28.683905,168.67444,141.59396,295.80115,201.04901
-0.0046074186,406.06586,28.634258,168.19218,141.97185,294.8431,201.55457
-0.0046269973,406.69986,28.583231,167.7108,142.35255,293.88574,202.06383
-0.0046466943,407.3336,28.530746,167.23035,142.73607,292.92896,202.57681
-0.0046663913,407.96692,28.476883,166.75078,143.12236,291.97287,203.09358
-0.0046860874,408.59998,28.421589,166.27211,143.51137,291.0175,203.61401
-0.004705902,409.23273,28.364862,165.7944,143.9032,290.0628,204.1382
-0.0047255983,409.86505,28.306705,165.31763,144.2978,289.10883,204.66612
-0.004745411,410.49704,28.247145,164.84178,144.69519,288.15564,205.19775
-0.0047653443,411.12872,28.186153,164.36688,145.09534,287.2032,205.7331
-0.0047851573,411.76004,28.123678,163.89297,145.49823,286.2516,206.27216
-0.004805088,412.39093,28.059797,163.42001,145.9039,285.30075,206.81493
-0.0048251385,413.02158,27.994465,162.94809,146.31232,284.35074,207.36136
-0.0048450683,413.6517,27.927698,162.47711,146.72351,283.40164,207.91153
-0.004865117,414.28152,27.859447,162.00716,147.13739,282.45343,208.46542
-0.004885166,414.91095,27.78977,161.53824,147.55408,281.50604,209.02301
-0.0049052136,415.53995,27.718636,161.07031,147.97348,280.55966,209.58424
-0.00492538,416.16858,27.646046,160.60345,148.39565,279.61423,210.14919
-0.0049455464,416.7968,27.572,160.13762,148.82053,278.6697,210.71779
-0.0049657105,417.4246,27.496447,159.67284,149.24812,277.72617,211.2901
-0.004985994,418.052,27.419464,159.20912,149.67845,276.7837,211.8661
-0.005006278,418.679,27.341,158.7465,150.11151,275.84222,212.44577
-0.0050265607,419.30548,27.26108,158.28493,150.54727,274.9018,213.029
-0.005046843,419.93155,27.179676,157.8245,150.98573,273.9625,213.61598
-0.005067244,420.55722,27.096794,157.36514,151.42694,273.02426,214.20662
-0.0050876443,421.18243,27.01243,156.90689,151.8708,272.0871,214.80087
-0.005108044,421.80713,26.926584,156.44977,152.31738,271.15112,215.39876
-0.0051285615,422.43146,26.839258,155.9938,152.76668,270.21628,216.00034
-0.0051490786,423.0553,26.750425,155.53896,153.21864,269.28265,216.60551
-0.005169596,423.67862,26.660112,155.08525,153.67326,268.3502,217.21431
-0.0051902314,424.30148,26.568316,154.63274,154.13057,267.4189,217.82674
-0.005210748,424.92386,26.474989,154.18137,154.59056,266.48895,218.44281
-0.0052313823,425.54575,26.380209,153.73119,155.05322,265.56018,219.06245
-0.0052521345,426.16718,26.283918,153.2822,155.51854,264.63272,219.68567
-0.005272768,426.7881,26.186125,152.8344,155.9865,263.7066,220.31258
-0.0052935197,427.40848,26.086826,152.38779,156.45714,262.78174,220.94304
-0.0053143897,428.02838,25.98602,151.94238,156.9304,261.85828,221.57706
-0.0053351405,428.64767,25.883682,151.49823,157.40631,260.93613,222.21469
-0.0053560096,429.26654,25.779837,151.05534,157.88483,260.01538,222.85587
-0.0053768777,429.88483,25.674511,150.61365,158.36601,259.09604,223.50066
-0.005397746,430.5026,25.567656,150.17322,158.84981,258.1781,224.14897
-0.0054187328,431.1198,25.459269,149.73404,159.33618,257.26166,224.80089
-0.0054397183,431.7365,25.349401,149.29613,159.8252,256.34665,225.45627
-0.0054607033,432.3526,25.237974,148.85953,160.31682,255.43314,226.11523
-0.005481807,432.96814,25.125046,148.42418,160.81104,254.52107,226.77774
-0.0055029104,433.58316,25.010557,147.99013,161.30783,253.61055,227.4438
-0.0055240123,434.19757,24.89459,147.55739,161.80722,252.70161,228.11334
-0.005545233,434.81137,24.777065,147.12596,162.30919,251.79419,228.7864
-0.0055663344,435.4246,24.658037,146.69583,162.81374,250.88838,229.46298
-0.005587555,436.03726,24.537476,146.26706,163.32082,249.98415,230.14305
-0.0056088935,436.64938,24.415384,145.8396,163.83047,249.08156,230.8266
-0.00563023,437.26083,24.291737,145.41351,164.34271,248.18059,231.51363
-0.0056515667,437.8717,24.16656,144.98877,164.85747,247.28128,232.20418
-0.005672904,438.4819,24.039848,144.5654,165.37476,246.38364,232.8982
-0.0056942394,439.0915,23.911583,144.14337,165.89458,245.4877,233.59564
-0.005715694,439.70044,23.781837,143.72273,166.41692,244.5935,234.29654
-0.0057371473,440.30884,23.650484,143.30348,166.94179,243.70102,235.00087
