Time (ms),SS316 Alloy True Strain 1W,SS316 Alloy True Strain 3W,Al 356 Alloy True Strain 1W,Al 356 Alloy True Strain 3W,SS 316 - Al 356 Composite True Strain 1W,SS 316 - Al 356 Composite True Strain 3W
0.016918037,-0.00061624125,0.0003082035,-0.0005751386,0.0004087926,-0.0006226747,0.00035220626
0.016933061,-0.0006288697,0.00031452355,-0.00058645697,0.00041684252,-0.0006349454,0.0003592421
0.016948085,-0.0006414978,0.00032084365,-0.00059765595,0.00042483295,-0.00064721616,0.000366278
0.016963111,-0.0006541258,0.00032716378,-0.00060885487,0.00043282338,-0.00065960584,0.00037331396
0.016978135,-0.0006668728,0.00033348397,-0.0006200536,0.0004408139,-0.0006718762,0.0003804096
0.016993161,-0.0006795004,0.00033986382,-0.0006312523,0.00044886413,-0.0006841465,0.00038744565
0.017008185,-0.00069224706,0.0003461841,-0.00064245093,0.00045685473,-0.00069653575,0.00039454136
0.017023211,-0.00070499355,0.000352564,-0.0006536493,0.00046484545,-0.0007088055,0.0004015775
0.017038235,-0.00071773987,0.00035894397,-0.00066484755,0.00047283623,-0.00072119443,0.00040867334
0.01705326,-0.000730486,0.000365324,-0.0006760458,0.00048088667,-0.00073346414,0.0004157692
0.017068285,-0.00074335124,0.00037176366,-0.00068724377,0.0004888776,-0.0007458527,0.00042286512
0.01708331,-0.000756097,0.00037814374,-0.00069844164,0.0004968685,-0.000758122,0.0004299611
0.017098336,-0.00076896173,0.00038458352,-0.00070963945,0.0005049192,-0.0007705103,0.00043705714
0.01711336,-0.00078182644,0.0003910233,-0.0007208371,0.0005129103,-0.00078289845,0.0004441532
0.017128386,-0.00079480995,0.00039746313,-0.0007320346,0.0005209014,-0.00079516746,0.000451309
0.01714341,-0.00080767437,0.00040390302,-0.000743232,0.0005289523,-0.00080755516,0.0004584648
0.017158434,-0.0008206576,0.00041034297,-0.00075442926,0.00053694355,-0.00081994286,0.000465561
0.01717346,-0.00083352154,0.00041684252,-0.0007655074,0.0005449945,-0.0008322114,0.00047271696
0.017188484,-0.0008465044,0.00042334216,-0.0007767044,0.000552986,-0.00084459875,0.00047987292
0.01720351,-0.00085960625,0.00042984184,-0.00078790134,0.00056097744,-0.00085698586,0.00048702888
0.017218534,-0.0008725889,0.00043634156,-0.00079909817,0.0005690286,-0.00086937286,0.00049418496
0.01723356,-0.0008856903,0.00044284135,-0.00081017567,0.00057702017,-0.00088164076,0.00050140073
0.017248584,-0.0008986726,0.00044940077,-0.0008213722,0.0005850715,-0.00089402753,0.00050855696
0.017263608,-0.00091177376,0.00045596025,-0.0008325687,0.00059306325,-0.00090641406,0.0005157727
0.017278634,-0.0009248747,0.00046246016,-0.0008436459,0.00060111465,-0.00091880054,0.0005229887
0.017293658,-0.00093809457,0.00046907933,-0.00085484196,0.0006091065,-0.00093118683,0.00053014496
0.017308684,-0.00095119525,0.00047563898,-0.000866038,0.0006171581,-0.000943573,0.000537361
0.017323708,-0.0009644149,0.0004821986,-0.00087711477,0.0006252097,-0.000955959,0.00054463674
0.017338734,-0.0009776341,0.0004888179,-0.00088831055,0.00063320174,-0.0009683448,0.0005518528
0.017353758,-0.0009908534,0.00049543736,-0.00089938723,0.0006412535,-0.0009807305,0.000559069
0.017368782,-0.0010040724,0.00050205673,-0.00091058266,0.00064930535,-0.0009931162,0.0005663449
0.017383808,-0.0010172913,0.0005086762,-0.00092165894,0.0006572976,-0.0010055015,0.0005736208
0.017398832,-0.001030629,0.0005153553,-0.00093285425,0.0006653496,-0.0010178868,0.00058089674
0.017413858,-0.0010439666,0.0005219749,-0.00094393035,0.0006734016,-0.0010302718,0.00058817276
0.017428882,-0.0010573041,0.00052865414,-0.0009550063,0.000681394,-0.0010427758,0.00059544883
0.017443908,-0.0010706413,0.00053533335,-0.00096620125,0.00068944617,-0.0010551607,0.00060272496
0.017458932,-0.0010840975,0.0005420127,-0.0009772768,0.0006974983,-0.0010675453,0.0006100608
0.017473957,-0.0010974343,0.0005487517,-0.0009883525,0.0007055506,-0.0010799298,0.000617337
0.017488983,-0.0011108902,0.00055543106,-0.0009995472,0.000713603,-0.0010923139,0.0006246729
0.017504007,-0.0011243457,0.0005621702,-0.0010106222,0.0007216554,-0.0011048171,0.00063200895
0.017519033,-0.0011378011,0.00056890934,-0.0010216977,0.00072970777,-0.0011172012,0.000639345
0.017534057,-0.0011513755,0.0005756485,-0.0010327726,0.00073776033,-0.001129585,0.00064668106
0.017549083,-0.0011648306,0.00058244733,-0.0010439666,0.00074581295,-0.0011420877,0.0006540768
0.017564107,-0.0011784045,0.0005891866,-0.0010550416,0.0007538657,-0.0011544713,0.000661413
0.01757913,-0.0011919782,0.0005959856,-0.0010661162,0.0007619183,-0.0011668546,0.0006688089
0.017594157,-0.0012055518,0.0006027846,-0.0010771909,0.0007699711,-0.001179357,0.00067620486
0.01760918,-0.0012192443,0.0006095837,-0.0010882652,0.00077802397,-0.0011917402,0.0006836009
0.017624207,-0.0012328175,0.0006164424,-0.0010993397,0.00078607694,-0.0012041231,0.00069099694
0.017639231,-0.0012465096,0.00062324153,-0.0011104137,0.0007941895,-0.0012166249,0.00069839304
0.017654257,-0.0012602014,0.0006301003,-0.0011214878,0.0008022426,-0.0012290075,0.0007058488
0.017669281,-0.0012738932,0.0006369592,-0.0011325618,0.00081029575,-0.0012415091,0.00071324507
0.017684307,-0.0012877038,0.0006438182,-0.0011436358,0.0008184085,-0.0012538913,0.000720701
0.017699331,-0.0013015142,0.0006507368,-0.0011547095,0.00082646176,-0.0012663926,0.00072815694
0.017714355,-0.0013152051,0.00065759575,-0.001165664,0.00083451514,-0.0012787746,0.00073567266
0.017729381,-0.0013290155,0.0006645145,-0.0011767376,0.0008426281,-0.0012912755,0.0007431287
0.017744405,-0.0013429442,0.0006714333,-0.0011878109,0.00085068156,-0.0013036571,0.0007505849
0.017759431,-0.0013567538,0.0006783521,-0.0011988842,0.0008587948,-0.0013161576,0.0007581007
0.017774455,-0.0013706823,0.0006853306,-0.0012098381,0.00086684834,-0.0013286582,0.0007656167
0.017789481,-0.0013846104,0.0006923092,-0.0012209112,0.0008749616,-0.0013410394,0.0007731326
0.017804505,-0.0013985387,0.0006992281,-0.001231984,0.000883075,-0.0013535395,0.0007806486
0.01781953,-0.0014124665,0.0007062067,-0.0012429378,0.00089112873,-0.0013659205,0.00078822434
0.017834555,-0.0014263943,0.00071324507,-0.0012540106,0.00089924224,-0.0013784203,0.0007957405
0.01784958,-0.0014404408,0.0007202238,-0.0012649639,0.0009073558,-0.0013909198,0.00080331636
0.017864605,-0.0014544872,0.00072726223,-0.0012760361,0.0009154694,-0.0014033003,0.00081089226
0.01787963,-0.0014685332,0.00073430076,-0.0012869894,0.0009235831,-0.0014157997,0.0008184682
0.017894655,-0.0014825793,0.0007413393,-0.0012980617,0.00093169685,-0.0014282989,0.00082604424
0.01790968,-0.0014967442,0.0007483779,-0.0013090145,0.00093981065,-0.0014406788,0.00083368
0.017924704,-0.0015107895,0.0007554761,-0.0013199674,0.00094792456,-0.0014531777,0.0008412561
0.01793973,-0.001524954,0.0007625148,-0.0013310392,0.0009560385,-0.0014656764,0.0008488919
0.017954754,-0.0015392371,0.0007696132,-0.0013419918,0.00096415257,-0.0014781749,0.0008565278
0.01796978,-0.0015534011,0.0007767116,-0.0013529442,0.0009722666,-0.0014905545,0.0008641638
0.017984804,-0.0015675648,0.0007838698,-0.0013638966,0.0009803807,-0.0015030528,0.0008718595
0.01799983,-0.0015818476,0.0007909683,-0.0013749677,0.000988495,-0.0015155509,0.0008794956
0.018014854,-0.0015961301,0.0007981266,-0.0013859201,0.0009966689,-0.0015280485,0.00088719133
0.018029878,-0.0016104123,0.0008052849,-0.0013968722,0.0010047833,-0.0015404276,0.0008948872
0.018044904,-0.0016248132,0.00081244326,-0.001407824,0.0010129574,-0.0015529252,0.0009025831
0.018059928,-0.0016390951,0.00081966125,-0.0014187758,0.0010210718,-0.0015654225,0.00091027905
0.018074954,-0.0016534955,0.00082687935,-0.0014297273,0.0010292461,-0.00157792,0.00091803476
0.018089978,-0.0016678958,0.0008340379,-0.0014406788,0.0010373606,-0.001590417,0.0009257906
0.018105004,-0.0016824153,0.0008413157,-0.0014516301,0.0010455351,-0.0016027951,0.00093348674
0.018120028,-0.0016968151,0.000848534,-0.0014625815,0.0010536498,-0.0016152918,0.0009412425
0.018135052,-0.0017113339,0.00085575227,-0.0014734138,0.0010618243,-0.0016277888,0.00094905816
0.018150078,-0.0017258526,0.0008630303,-0.0014843646,0.0010699988,-0.001640285,0.00095681415
0.018165102,-0.0017403708,0.0008703084,-0.0014953157,0.0010781734,-0.0016527815,0.0009646298
0.018180128,-0.0017548889,0.00087758654,-0.0015062665,0.0010863481,-0.0016652778,0.00097244565
0.018195152,-0.0017695259,0.0008849244,-0.001517098,0.0010945229,-0.0016776547,0.0009802615
0.018210178,-0.0017841626,0.0008922026,-0.0015280485,0.0011026977,-0.0016901506,0.0009880773
0.018225202,-0.001798799,0.0008995405,-0.00153888,0.0011108725,-0.0017026465,0.0009958933
0.018240226,-0.0018134356,0.00090687856,-0.0015498305,0.0011190474,-0.001715142,0.001003769
0.018255252,-0.0018280714,0.0009142762,-0.0015606616,0.0011272224,-0.0017276376,0.0010116447
0.018270276,-0.0018428264,0.00092161435,-0.0015716116,0.0011353975,-0.0017401328,0.0010195205
0.018285302,-0.0018575808,0.00092901214,-0.0015824428,0.0011436325,-0.0017526279,0.0010273964
0.018300327,-0.0018723353,0.00093641004,-0.0015933927,0.0011518076,-0.0017650039,0.001035332
